,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600690.SH,X600276.SH,X000063.SZ,X600031.SH,X600703.SH,X000100.SZ,X600118.SH,X000157.SZ,X600372.SH,X000338.SZ,X600271.SH,X600741.SH,X002241.SZ,X002292.SZ,X000568.SZ,X000559.SZ,X002129.SZ,X600089.SH,X600066.SH,X600839.SH,X601877.SH,X002223.SZ,X002475.SZ,X000800.SZ,X600177.SH,X000016.SZ,X300124.SZ,X002236.SZ,X600582.SH,X000727.SZ,X002276.SZ,X002456.SZ,X000550.SZ,X600435.SH,X000869.SZ,X300003.SZ,X002465.SZ,X000581.SZ,X600060.SH,X000066.SZ,X600198.SH,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.021500023366594,0,0,0.0216771837076589,0,0,0,0,0,0,0,0.0757419039096001,0,0,0,0,0,0,0,0,0.184736014634854,0,0,0,0,0,0,0,0,0,0.184293626410423,0,0,0,0,0,0,0.0502523992825321,0,0,0,0,0,0,0.0154061181614436,0,0,0,0,0.00395526425489217,0.015569531244427,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0796382788495208,0.0354066358005721,0,0,0,0,0.0855483641587242,0,0.0141728491049629,0,0,0,0.0156639234608063,0,0.0159321469678368,0,0,0,0,0,0,0.133870385644983,0,0.0691116372951967,0,0,0,0,0,0,0,0,0,0,0.00200540223599126,0,0,0,0,0,2.1717688666067e-06,0,0.0218742318803979,0,0,0,0,-0.00317047583090552,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.151210756933461,0,0,0,0,0,0.0756375320223331,0.0173394789603899,0,0,0,0.068187397484934,0,0,0,0,0,0,0.105095687601042,0.0127752007177578,0,0,0,0.0422086752831107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00234896735024126,0.00345503053297206,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.121395202283002,0,0.108419330325428,0,0,0,0,0,0,0,0.169798756914755,0,0,0,0,0.0477588616627491,0,0,0,0.0585124120851528,0,0,0,0,0.225338549152497,0.0899838579343998,0,0,0,0,0,0,0,0,0,0.0139172857175727,0.0251981694405589,0,0,0.00524231881382254,-2.16840434497101e-19,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0078789701808978,0,0,0,0,0,0.121099843922429,0,0.0588768150476724,0,0,0,0,0,0,0,0,0,0,0.13052788885603,0,0,0.0182843862345433,0,0,0.137378360091846,0,0,0.137916202461076,0,0,0,0,0,0,0,0,0.044396647517384,0,0,0,-0.0246296243098184,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.168742386540014,0,0,0,0.00458105644037719,0,0.116914038334075,0,0,0,0,0.024473072888271,0.0914716426485667,0,0,0,0.127276574322343,0,0,0.140196004167646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00313972446355041,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0736980168291627,0.158529294819184,0,0,0,0,0,0,0.0494270499809201,0,0,0,0,0,0.005322877200357,0,0.157250166823462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323408159424405,0.0360685664320376,0,0,0,0,0,0,0,0,0.0755221247545754,0,0,0,0.116826168996255,0,0,0,-0.000930086015852581,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223541836635437,0,0,0,0.112634796307655,0,0,0,0,0,0.286269579244543,0,0,0,0,0,0,0.065566344791647,0,0,0,3.46944695195361e-18,0,0,0,0.0263696187161591,0,0,0,0,0,0.0342072960927717,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0186060764341006,0,0,0,0,0,0.0141103807770586,0,0,0,0,0.136264950380593,0.0693482526405209,0,0,0,0,0,0,0,0,0.0296195779263628,0,0,0,0,0.00310391237700258,0,0,0,0,0,0.0322149787693876,0,0,0,0,0,0,0.0428288893162411,0.0694807097177313,0,0,0,0,-0.0073768963719635,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656573125029472,0,0,0,0,0,0,0.0511457779644153,0,0,0,0,0.134096207439493,0,0,0.0479615843852652,0.0745817672330253,0,0,0,0,0,0,0,0.0157059420590712,0,0.0229131282570016,0,0,0,0,-0.0167142152039597,0.0131192114103014,0,0,0,0,0,0
