,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600276.SH,X600104.SH,X300124.SZ,X000725.SZ,X003816.SZ,X300014.SZ,X600031.SH,X002129.SZ,X002371.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X600703.SH,X000338.SZ,X000625.SZ,X002179.SZ,X300142.SZ,X601877.SH,X600089.SH,X000661.SZ,X600741.SH,X600460.SH,X002180.SZ,X000733.SZ,X000100.SZ,X600522.SH,X000157.SZ,X002074.SZ,X600702.SH,X600884.SH,X000799.SZ,X002236.SZ,X600584.SH,X600183.SH,X002414.SZ,X601799.SH,X600372.SH,X000977.SZ,X000800.SZ,X002432.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.279661083939988,0,0,0,0.170291691015672,0.0303750136801193,0,0,0,0,0.062366125225235,0,0.0037487783935474,0,0,0,0,0,0,0,0.170635899155055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101988132489331,0,0,0,0,0,0,0,0,-0.000720677594146111,-0.0217514210170393,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.45193329640508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580399687247606,0.0109839654852566,0,0,0,0,0,0,0,0,0,0,0,0,0.152706379159219,0,0,0.0820610165023945,0.0830454899290554,0,0,0,0,0,0,0,0,0,0,-0.0849967722110455,0,-0.0299497129454754,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0357854137231083,0,0.0716928802927453,0,0,0,0.157277147177204,0,0,0,0,0,0,-0.215413210602844,0,0.0912536349374588,0,0,0,0,0,0.015367522846887,0,0,0,0,0,0.183210459683373,0.0805036627571236,0,0.394933624950161,0,0,0,-0.0591484477503341,0,0,0,0.0472578732180643,0.16567220129736,-0.11028882322038,0.130998166910361,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.280158818611212,0,0,0,0,0,0,0,0,0,0,0,0.0515517601988118,0.0802317474657903,0,-3.46944695195361e-18,0,0,0.14555516666558,0,0,0,0,0,0,0,0,0,0,0.0258885143171068,0,0,0,0,0.263037265130159,0,0,0,0,0,0,0,0,0,0,-0.0749432382270621,0.0422527814393471,0.0239423987070976,0.00938746494852703,0,0,0,0,0,0
X000568.SZ,0,0.266775721519157,0,0.167328674975081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966092684137386,0.181345802324677,0,0,0,0,0.0316534251337352,0,0,-0.0138717862239029,0,0,0.024982954591918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411028626151852,0,0,0,0,0,0
X600690.SH,0,0.371490185650296,0,0,0.0114918467042871,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0347365392280058,0.0226126195341013,0,0,0,0,0.0242225335328678,0,0,0,-0.00694975489968709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165293485532059,0,0,0,0,0.00997731760484339,0.0858631246391749,-0.0450812214720135,0,0,0,0,0,0,0
X002304.SZ,0.127920308265186,0,0,0.226264725155539,0.0121609298371844,0,0,0,0,0,0,0.0480849436579296,0,0.324475368047101,0,0,0,-0.0386845267755176,0,0,0,0.143669628813489,0,0,0,0,0,0,0,0,0.0398323479658071,0,0,0,0,0,0,0,0.190376864826683,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130109769680648,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238182954245458,0.34858396767813,0,0,0.116689464960941,0,0,0,0,0,0,-0.199433692157998,-0.015694687522345,0,0,0,0,0,0,-0.123081800683206,0,0,0,0,0.274116374000475,0,0,0,0,0,0.0940497044843796,0,0,0,0,-0.0502266861894878,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.00822577990882346,0.193432357154096,0,0,0,0,0,0,0.0874271766910004,0,0.0625010333631808,0,0,0,0,0,0,0,0,0.033174160995825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015644624671483,0.0014105521088363,0,0.106749029653711,0,0.015225330069326,0,-0.00564936287765643,-0.0227999197592927,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663528741064065,0,0.301125033208738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113928686751173,0.156501769255202,0,0,0,0,0,0,0.12944696406326,0,0,0.102174973406102,0,-0.0411183293632988,0.0371790461232549,0,0,0,0,0,0
