,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X300014.SZ,X000725.SZ,X600031.SH,X002241.SZ,X300124.SZ,X600703.SH,X002371.SZ,X000063.SZ,X000338.SZ,X003816.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X000100.SZ,X600741.SH,X300142.SZ,X002074.SZ,X600089.SH,X600702.SH,X600460.SH,X002236.SZ,X000799.SZ,X002180.SZ,X600884.SH,X000157.SZ,X000733.SZ,X600779.SH,X601799.SH,X002414.SZ,X600584.SH,X600522.SH,X002007.SZ,X002008.SZ,X000977.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.591919349331668,0,0,0.0108127573259409,0,-0.0459138818130671,0,0,0,0,0,-0.0634875772580445,0,0.021673386609014,0,-0.00622999024901121,0,0,0,0,-4.33680868994202e-19,0,0.10528884700915,0,0,0,0,0,0,0,0,0.0357615562669226,0,0,0,0,0,0,0,0,0,0,0,0,-0.0045410747102146,0,0,0,0,0,0,-0.00219227526576894,0,0,0,-0.0119039972511594,0,0
X000858.SZ,0.379857875298553,0,0.0573772823547853,0.250044173393658,0,0,0,0,0.194116001007865,0,0,0,0,0,0,-0.0613928359530022,0,0,0,0,0,0,0.107060598718035,0,0,0.263826907611655,-0.00159802042201559,0,0,0,0,-0.0148808602873773,0,0.0102873990117845,0,0,0,0,0,0,-0.0606988004530474,0,0.053323263523217,0,0,-0.0509905222571996,0,0,0,0,0,-0.00166954346213929,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.265031863116253,0,0,0.273165046023625,0,0,0,0,0,0,0,0,0,0,0.0445644307891413,0,0,0,0,0,-0.0319346567534487,0,0.00779301359340815,0,0,0,0,-0.0197214046469219,-0.109399234957315,0,0.161342768811104,0,0,0,0,0,0,0,0.0729987330027001,0,-0.0480762814109666,0,0,0,0,0,0,0.0244209229208823,0,0,0,0,0,0
X600809.SH,0,0.382500457808974,0,0,0.0689433103138709,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.111230740162666,-0.0153738946841607,0,0,0,-0.288112800032152,0,0,0,0,0,0,0,-0.187046569725965,0,0,0,0,0,0.180098052195205,0,0,0.215136520750604,0,0,0,0,0.0133511898045377,0,0.0924274634137165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.0710890876566469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485756726602724,0,0.011651328542742,0,0,0,0,0,-0.0158161327911462,0,0,0,0,0.0601756725420298,0,0,0,0,0.042215642726909,0,-0.200344826896667,0,-0.0753084248081713,0,0,0,0,0,-1.73472347597681e-18,0.0478036031912779,0,0,0,0,0,0
X002475.SZ,0,0,0,0.125833502379014,0,0,0,0,0,0,0,-0.185253931277936,0,0,0.256725671302399,0.231870656030891,0,0.080050885781778,0,0,0,0,0,0.0223029584496676,0,0,0,0,0,0.0315213016763599,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.147548008836356,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.142824309676692,0,0,0.0349671062574133,0,0,0,0,0,-0.0737209229135983,0,0,0,0,0,0,0,0,0,0,0.0241895372360412,0,0,0,0.1153032058097,-0.208316771141166,0,0,0,0,0,0,0,0,0,0,-0.0930931377871179,0,0,0,0,0,0,0.0329777506347785,0.223420083172766,-0.0607326482358067,0,0,0,-0.0164297193155389,0.0136778597002474,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0983383229314095,0,0.217323714399712,0,0,0.287720073976218,0,0,0,0,0,0,0,-0.0530129119599389,0.031025736729639,0.0611338970631276,0,0,0,0,0.192424135224512,0,0,0,0,0,0,0,0,0,-0.00304995330808263,0,0,0,0,0,0,0,0,0,0,0.0267385365804666,0,0,-0.0118141430882603,0,0,0,0.00474615357719656,0,0
X002304.SZ,0,0.300096112157556,0.122631549915546,0.126552465266638,0,0,0,0.102940011650705,0,0,0,-0.044362517084055,0,-0.140160530066423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770578758619182,0.118778709662695,0,0,0,-0.0900684610866434,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0250836075970825,0,0,0,0,0,0,0,0,0.299825473852506,0,0.0627751326685648,0,-0.0508049354066098,0,0,0,-0.0671982623106937,0,0,0,0,0,0,0,0,-0.0490301743859133,0,0,0,0.0305306441838471,0,0,0,0,0,0,0,0,-0.0700524122272529,0,0,0,0.0462348841564462,0,0,0,0,0.0334550698942621,0,0,0,-0.0502192862077823,0,0
