,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002292.SZ,X600271.SH,X000559.SZ,X002241.SZ,X600118.SH,X600031.SH,X000100.SZ,X600066.SH,X002236.SZ,X002475.SZ,X600741.SH,X600372.SH,X000157.SZ,X000338.SZ,X600089.SH,X002049.SZ,X300124.SZ,X002465.SZ,X600177.SH,X000568.SZ,X600582.SH,X601877.SH,X002074.SZ,X002294.SZ,X300003.SZ,X002506.SZ,X002085.SZ,X000869.SZ,X000977.SZ,X600252.SH,X300001.SZ,X600867.SH,X002426.SZ,X002129.SZ,X000547.SZ,X600839.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.112435919508575,0,0,0,0,0,0,0,0,0,0,0,-0.0591084226178448,0,0,0,0,0,0,0,0,0,0,0,0,0.105918373174793,0,0,0,0.0738825743876149,0,0,0,0,0,0,0.0433944902365952,0.0270353883251974,0,-0.0479696342527153,0,0,0.0576856452852943,0,0.0138683152116306,0.0216124527552392,0,0,0,-0.0127854644444992,0.0234923851108665,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.293900822263644,0,0,0.0718281406702525,0,0,0,0,0,0.0580827326844699,0,0,0,0,0,0,0,0,0.108102718515368,0.0138617326309328,0,0,0,0,0,0,0,0,0,0,0,0,-0.150472599077529,0.0287019964398129,0,0,0,0.0383387097347765,0,0,0,0,-0.00317025224060731,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0293495188314433,0,0,0.0556862021971969,0.164414809049054,0,0,0,0,0.0874819053867362,0,0,0,0,0,0.0979377943156816,0.175147707917033,0.0169182789019973,0,0,0.000295903852472454,0,0,0,0,0.0458043397820116,0,0,0,0,0,0,0,0,0.0211786506735242,0,0.0526269341884504,0,-0.0143288390235597,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0949011413187426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183783149227874,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0726632807768221,0,0.0127660481039973,0.0146867998851271,0,0,0.129041461558203,0,0,0,0,0.00620138841532074,0.0134421926700929,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0798310400736396,0,0,0,0.00970608109897764,0,0.0457576476982111,0,0,0,0,0,0,0,0,0,0,0,0,0.0290224104441009,0,0,0,0,0,0,0,0,0,0.00811190265030118,0,0,0,0.0292112878727309,0,0,0,0.153675703782874,0.0465176998253594,0.12263598530645,0,0,-0.0080002055694281,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.093200792672084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109480183078765,0,0,0.115820239476374,0,0,0,-0.129470021370242,0,0,1.73472347597681e-18,0.0942670901336287,0.0283311903195293,0,0,1.73472347597681e-18,0,0,0,0.0582155601802286,0,0,-0.0703210273841788,-0.0575501462115678,0.0428863922559945,0,-0.0867038499527102,0,0,0,0
X002304.SZ,0,0.145390986598557,0,0.122563487280663,0,0,0,0,0,0,0,0,0.00789453215962175,0,-0.0129583697761895,0,0,0.101684312199095,0,0,0.00929159045157427,0,0,0,0,0,0,-0.0496689816602487,0,0,0,0,0,0,0,0.0258506621052823,0,0.00902705967496987,0,0,-0.0127252899576778,0,0,0,0,0.10095102161081,0.0590073740060708,0,0,0,-0.000306835448891385,0.00961980716530811,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0467336368182237,0,0,0,0,0,0,0.0486787550528982,-0.0510601147599694,0,0,0,0,0,0.168740188120923,-0.0723008021007029,-0.012089496445258,0,0,0,0,0,-0.0418611639031792,0,0,0,0,0,0,0.000776409094358991,0,0,0.0418339861318843,0,0,0,0,0.0821378361571553,0,-0.00985214532418153,0,0.0720561043130081,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0.176475925596319,0,0.0751233363107647,0,0,0,0,0,0,0,0,0,0,0.155408662057277,0,0,0,0,0.242284835457679,0,0,0,0,0,0,0,0,0,0,0.0951981570264354,0,0,0,0,0.0981510287771016,0,0,0,0,0,0,0.0381364479633819,0,0,0,0.081541155795238,0.0137936360809337,0,0,-0.00750953801680291,-0.0309830898923522,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0819324653221862,0,0.0115111472342658,0,0.0389353287779824,0,0,0,0,0,0,0,0,0,0,0,0.214961115329724,0,0.0495983944834001,0,0,0,0,0,0,0,0,0,0.0426689653389726,0,0.0297890519264806,0,0,0.10705169690103,0.00821622541153713,0,0,0,0.00349408232433615,0,0,0,0,0,0,0
