,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X002475.SZ,X600066.SH,X000338.SZ,X002241.SZ,X002456.SZ,X600271.SH,X002236.SZ,X600118.SH,X002085.SZ,X600177.SH,X000157.SZ,X002292.SZ,X002426.SZ,X002007.SZ,X600372.SH,X300124.SZ,X000559.SZ,X600867.SH,X300003.SZ,X002294.SZ,X600089.SH,X002180.SZ,X002506.SZ,X600522.SH,X601877.SH,X002074.SZ,X002508.SZ,X300136.SZ,X000623.SZ,X000981.SZ,X600498.SH,X000869.SZ,X000050.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.274603756091454,0,0,0,0,0,0.0941403039590719,0,0,0,0.0613146631238762,0,0,0,0.0730951552552526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535669061025334,0.0270271598661919,0,0.011478492666387,0,0,0,0,0,0.0301204833596988,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.170560314101016,0,0.212910578274967,-0.0183724350201052,0,0.0733028033119416,0.00243834307021287,0,-0.0476851856225746,0.00530008813931583,0.173977547707846,0,0,0,-0.0358772789449916,0,0,0,0,-0.161712542972853,0,0,0.0741965222915985,0,0,0,0,0.0173365253599185,0,0,0,0,0,-0.141132844482975,0,0,0.0532043145948995,0,0,0.0598774730548746,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0243869294781118,0,0.257271755811342,0.42467046729466,0,0,0,0,0,0,0,0,-0.0914526106150496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313586231063824,0,0,0,0,0,0,0.20510749429516,0.121612315326344,0.0148949752266174,0,0,0,0,0.0359706638771497,0.185428815817322,0,0,0,-0.20976491621201,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302883962680805,0,0,0.0986658223431008,0,0,0,0,0.0416506301726698,0,0,0,0,0.0742696653955284,0.0516681825293717,0,0,0,0,0,0,0,0,0,0,0,-0.0210208304124534,0.406377383208441,0,0.028470298152292,0,0,0,0,0,0,0,0.0161564580390594,0,0,0,0,0,0
X000858.SZ,0.173741245113697,0,0.0355064693091283,0.0266205733709959,0,0,0.129579869352851,0,0.0327301524247026,0.0355227882973724,0.00958891350783838,0,0,0.053168827178309,0.308149281362003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173140019838666,0.0315524850161803,0,0.0525870180150143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359276554821793,0,0,0,0,0,0,0
X600276.SH,0,0,0.00967970505944676,0,0,0,0,0,0,0,0,0,0,0,0.00268380432668445,0,0,0,-0.0138756632020594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131874315473718,0,0,0,0,0.00137191962732745,0.248150618911385,0,0.0249674810137533,0,0,0,0,0,-0.158006645069012,0,-0.0554062842960957,-0.0144133542127585,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.280524232797672,0,0,0,0,0,0,0,0,0,0,0,0,0.0509368557713902,0,0,0,0,0,0,0,0,0,0.0546526302967871,0.0296634846976542,0,0,0.0284330959075923,0,0,0,0,0,0,0,0,0,0,0.0241138819742258,0.0187948498715688,0,0,0.102212647978344,0,0,0,-0.0167832492974899,0,0,0,0,0,0,0
X000725.SZ,0.00810909919204471,0,0.0924229408100412,0,0,0,0,0,0,0,0,0,-0.0432851724146904,0.0569347965558405,0,0,0,0,0.116933461558019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644192208840974,0,0.0309761004117883,0.0756786746618111,0.265295862322643,0,0,0,0,0.196715070613421,0,-0.0123899872056798,0,0,0,-0.0932258504991069,0,0
X000625.SZ,0,0,0.0806774652341024,0,0.160421987825385,0,0,0,0,0,0,0.125753129684962,0,0,0,0,0,0,0,-0.0458097691779861,0,0,0,0,0,0.0855293121728157,0,0,0.0547537312525068,0,0,0,0,0,-0.114213137143187,0,0,0,0,0.0536794591236969,0.063377305605289,0,0,0.015158446283847,0.0100586904371052,0,0.0882201868568591,0,-4.33680868994202e-19,0,0.0596347922344525,-0.0213715864408919,0.0160812511280328,0,0,0,0,0
X000063.SZ,0,0.0495463767575458,0.0531489784061163,0,0,0,0,0,0,0,0,0,0,0.049477473578505,0,0,0,0.214538880720137,0,0,0,0,0,0,0,0,0,0.0301607567864121,0,0,0,0,0.291008120291448,0,0,0,0,0,0.00398613711474189,0,0,0,-0.0059699146883593,0.254507848788354,-0.0251246268398873,0,0,0,0.00172139075169584,0,0,0.00209625525990349,0,0,0,-0.261145361602835,0,0
X600690.SH,0,0,0,0,0.110201837544801,0,0,0,0,0.0699231915684973,0,0,0,0.115061075956246,0,0,0,0,0.042335452796137,0,0,0,0,0,0.0492874255268378,0,0,0,0,0,0,0,0,0,0,0,0,0.139189302641387,0.0385414050139443,0,0,0,0,0,0,0,0,0,0,0,0.0907515695659976,0.0103031733032666,0,0,0,0,0,0
X600741.SH,0,0.0194562021082505,0,0.0153901210789081,0,0,0,-0.0750722922653649,0.174805385601873,0,0,0,0,0,0,0.0227565141633775,0.0608178130343236,0,0,0,0,0,0,0,0,0,0,0.103846362551631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369806705567504,0.160951066062662,0,0,0,0.0389065727103156,-0.0280812486341415,0,0,0,0,0,0
