,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X000568.SZ,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002463.SZ,X600584.SH,X000977.SZ,X600089.SH,X600703.SH,X002028.SZ,X600372.SH,X000157.SZ,X002049.SZ,X000066.SZ,X600522.SH,X002236.SZ,X600741.SH,X600839.SH,X600183.SH,X600066.SH,X601877.SH,X002156.SZ,X600460.SH,X600487.SH,X002456.SZ,X000661.SZ,X002129.SZ,X000800.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.363296198382442,0,0,0,0,0.0722213464230209,0,0,0,0,0,0,0,0,0,0,0.158421524588424,0,0,-0.00220906991261275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269006968440041,0,0,0,0,0,-0.0345016779726102,0,0,-0.00524375677098877,0,-0.0140407651163544,0,0,0,0,0,0,-0.0969529686057958,0,0,0,-0.0681183916178672,0,0
X000858.SZ,0.535619864528777,0,0,0,0,0,0.0608098367937423,0,0,0.0828366086473415,0.15646386621183,0,0,0,0,0,0.0453347344924398,0.0291955845565189,0,0.0781853951396884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442307932336041,0,0.0941923285995485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.229893469661034,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0957715131772741,0,0,0,0.284511736153253,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0356862170857638,0.153160122651214,0,0,0.043868219076613,0,0.0329844712324235,-0.0950657543109592,0,0,0,-0.0782616199353594,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0615999545186231,0,0,0,0,0,0,0,0.0931583168801633,0.458573688183257,0,0,0,0.0629956956540154,0,0,0,0,0,0,0,0,0,0,0,0,0.0568083347679823,0.0321298583935915,0,0,0,0,0,0.005899223122607,0,0,0,0,0,0,-0.0903582615120675,0,0,0,0.00259872282152163,0,0
X002415.SZ,0.127106308729467,0,0,0,0,0.057919870023554,0.0618019242106949,0,0.0773411724999733,0,0,0,0.00471113250010563,0,0,0.0996905337855689,0,0,0,0,0.233341576187962,0,0,0,0,0.024501708465219,0,0,0,0,0,0,0,0,0.0139196603155742,0,0,0,0,0,0,0,0,0.0466328347955909,0,0,0,0,0,0,0,0,0,0,0,0,-0.036314033354178,0,0
X600690.SH,0,0,0,0.132104090228844,0,0,0,0.209558772197813,0,0,0,0,0,0,0,0,0,0,0,0.134742744908491,0,0,0,0,0,0,0,0,0,0,0.0113542077480665,0,0,0,-0.00873383262549944,0,0,0,0.0350791613450467,0,0,0,0,0,0,0.0700754653568816,0,0,0,0,0,0,0.0545970045265013,0,0,0,0.0249238502799367,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0.473446727584602,0,0,0,0,0.0397541189602796,0,0,0,0.400765875340222,8.67361737988404e-19,0,0,0,0.0144955849149403,0,-0.0112518668774382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00942932309834951,-0.0450363097233573,0,0,0,0,8.67361737988404e-19,0,0,0.0254426439877942,0,-0.00748094417789778,0,0,0,0
X000651.SZ,0,0,0,-3.46944695195361e-18,0,0.257357491490741,0,0,0,0.060608721658432,0,0,0.0083121614205267,0,0,0,0,0.189925906012794,0,0,0,0,0,0,-0.0871935888691009,0,-0.0310594020736463,0,0,0,0,0,0,0,-0.00448974778896939,0,0,0,0,0,0.21522924561001,0,-0.0104223369031839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.00665521606649059,0,0,0.380690449430632,0,0,0,0,0,0,0,0.0839952364818714,-0.035199635772001,0,0,0,0.0242892787846221,0,0.12034612765077,0,0,0.0163874591833956,0,0,0.00860126903487493,0,0,0,0,0,0,0,0,0.147220663253952,0,0,0,0,0,0,0.0295972693611656,0,0,-0.0574578625251216,0,0,0,-8.67361737988404e-19,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.00811819831229559,0.202834908008615,0,0,0,0,0.539810321595693,0,0,0,0,0,0,0,0.234628685139989,-0.212516152705602,0,0,0,0,0,0,0,0,-0.0873836114189025,0,0,0.200156555852704,0,0,0,0,0,-0.0588773161901439,0,0,0,0,0,0,0,0,0,0,0,0,0.032978838304684,0,0
X000568.SZ,0,0.15341208354926,0,0,0,0,0.338197145708733,0,0,0,0,0,0,0,0,0,0,0.313847320848222,0,0.0969116205039396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626852839414603,0,0,0,0,0,0,0,0,0,0,0,0.0352227588192307,0,0,0,-0.00336623602512066,0,0
