,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600271.SH,X600066.SH,X600741.SH,X002241.SZ,X600118.SH,X000100.SZ,X002236.SZ,X600031.SH,X600372.SH,X002292.SZ,X002475.SZ,X002074.SZ,X000559.SZ,X600177.SH,X002506.SZ,X000157.SZ,X000338.SZ,X300003.SZ,X300124.SZ,X002085.SZ,X002007.SZ,X002456.SZ,X000869.SZ,X002426.SZ,X002180.SZ,X002294.SZ,X000050.SZ,X002249.SZ,X600867.SH,X600089.SH,X000981.SZ,X002508.SZ,X002465.SZ,X002049.SZ,X600498.SH,X002179.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.27881005193103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389560231710952,0,0,0,0,0,0,0.0266560868193524,0.0371102047831871,0.0825299975294267,0,0,-0.0283647732848418,0.0738784662038274,0,0,0,0,0,0,0,0,-0.0932706169905769,0,0,0.0208954171762279,0,-0.109449619703097,0.0860554857816717,0,0,0,0,0,0
X600104.SH,0.00371193781116516,0,0,0.034204522581341,0,0,0,0.111090820529657,0,0,0,0,0.0179889791779706,0,0.0946401406992364,0,0,0,0,0,0,0,0.0737280835263688,-0.0116821100707279,0,0,0,0,0,0,0,0,0.0257646898776967,0,0,0,0.036751696861216,0,0.029937408157461,0,0,0,0,0,0,0,0,0,0,0,0,0.0392055247871017,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0445427566663825,0,0,0,0,0,0,0,0,0,0,0,0.0782607696241564,0,0.0876622315762405,0,0,0,0,0.0670568637998844,0,0,0,0,0,0,0.035311096372839,0,0.0807956987982695,0.0590702872731559,0,0,0,0,0,0.109418822629413,0,0,0,0,0,0,0,0,0.00739498043533681,0,0.00189299299943578,0.0344966931791129,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.296185419813062,0,0,0,0,0.0435627289981256,0,0,0,0,0,0.00239835594280834,0,0,0,0,0.00776520194599029,0.0264295820744114,0,0,0,0,0.0476077348515974,0,0,0,0,0,0,0,0,0.0922907307467659,-0.016671855959863,0,0,0,0,0,0.0118627483931727,0,0,0,0.0830215358213397,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.40064032956399,0,0,0,0,0,0,0,0.304080691326215,0,0.0577869870115981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160879257934947,0,0,0,-0.0446651419284331,0,-0.039689502575325,0,0,0,-2.16840434497101e-19,-0.129432390839746,0,0.0503694956398384,0,0,0.200436091315064,0,0.00872619113417662,0.0459964172139221,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0218737175382507,0.0554913253487341,0,0,0,0,0,0,0.0691748300449071,0,0,0,0,0,0,0,0,0,0,0,0,0.118908089458401,0,1.73472347597681e-18,-0.0512216146326888,0,0,0,0,0,0,0,0,0.00571384948084433,0,0,-1.0842021724855e-19,0,-0.043445281419923,0,0.0802577688523072,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.00382497137323047,0,0,0.0611586565719056,0,0,0,0,0,0,0,0,0,0,0.0885320670345962,0,0,0.184125532271235,0,0,0,0,0,0,0,0.052071388935401,0.120309874991104,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0450712453817401,0.081398027449973,0,0,0,0,0,0,0.000609020799085403,0,0,0,0,0,0
X000625.SZ,0,0,0,0.00597793800513673,0,0,0,0,0.257688711538769,0,0,0,0,0,0,0.225675317576458,0,0,0,0,-0.0645635651017028,3.46944695195361e-18,0,0,-0.0647107683156171,0,0.0536788099709301,0,0,0,-0.0579845961702737,0,0,-0.0405747350704512,0,0.183810048398983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233063567821762,0.059761554561091,0,0,0,0,0,0
X000063.SZ,0,0,0,0.110746253465015,0,0,0,0.0212686352885477,0,0.0648442566411186,0,0,0,0,0,0,0.0379858141389092,0,0,0,0,0.0462191386965443,0.205498894944006,0,0,0,0,0,0,0,0,0,2.31645086384534e-05,0.0242962641694968,0,0.026886167245319,0,0,0,0,0,0,0,0,0,0.153172236200053,0,0,0.0984160982938765,0,-0.0194707292320116,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.112364921617032,0,0,0,0,0.0367106823314978,0,0,-0.0663481764841048,0,0,0,0,0,0,0.0742914544308001,0,0,0,0,0,0.0620048656934277,0,-0.0228091021539315,0,0,0,0,0,0.0578828085104343,0,0.0898489714848269,0,0.0206279530791035,0,0.051371252784601,0,0,0,0,0.0223030199102346,0,0,0,0.0921983244712807,0.0417880288396769,0,-0.00239333268785005,0.0182379171127353,0,0,0,0,0,0
