,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X000063.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X002241.SZ,X300014.SZ,X600703.SH,X000596.SZ,X000625.SZ,X600741.SH,X000100.SZ,X002371.SZ,X002007.SZ,X600584.SH,X300142.SZ,X002129.SZ,X601877.SH,X002179.SZ,X600183.SH,X002236.SZ,X000157.SZ,X002049.SZ,X000800.SZ,X300003.SZ,X601799.SH,X002414.SZ,X002008.SZ,X000066.SZ,X002185.SZ,X300136.SZ,X300146.SZ,X000977.SZ,X002456.SZ,X002508.SZ,X600118.SH,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.230031685755306,0,-0.0504830811142599,0,0,0.0298794931432331,0,0,0,0.336811028279398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102680612729077,0,0,0,0,-0.0895976060703288,0,0,0,0,0,0.053816062473851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304407186156783,0.00942517517214214,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.185074600076805,0,0.113958397016466,0,0.0103174700757375,0,4.33680868994202e-19,0,0,0,0,0,-0.127099816410445,0.00730057096870366,0,0.0940002023751864,0.135834586236525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175334556560322,0,0,0,0,-0.00657245658693374,0,0,0,0,0.0177185448873247,0,0
X600276.SH,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.270897076931428,0,0,0,0,0,0,0,0,0,0.0368153684089966,0,0,0,0,0,0,0,0.0304066805921417,0,0,0,-0.0854116003204199,0.126364682096641,0,0,0,0,0,0.043733930046113,0,0,0,0.0479757427175272,0,0,0,0,0,0,0,0,0,0,0,0,-0.031583409714492,0,0
X002415.SZ,0,0,0,0,0,0.226809286977021,0,0,0,0,0.0133503175909079,0.0737899997409715,0,0,0,0,-0.0965745393881327,0,0,0,0,0,0,0,0.012704513834427,0,0,0,0,0.000358320409312712,0,0,0,0.190009123396567,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0148455578673072,0,0,0,0,0,0,0.108535371686915,0,-0.0444783176908753,0,0,0,0,-0.0146881864721106,0,0
X000651.SZ,0,0,0,0,0,0,0.0496175991287119,0,0,0,0,0,0,0,-0.0873835948259466,0,0,0,0,0,0,-0.0119592500351822,0.111246578457801,0,0,0,0,0,0.0581057882033637,0,0,0.0201238778951928,0,0.128012414231394,0,0,0,0.0126005828673166,0,0.0124710648083075,0,0,0.0695270408674456,0,0,0,0,0,0,0,0,-0.0145225848586439,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0769503847510349,0,-0.0108980938918268,0,0,0,0,0,0,0,0,0.381625907576955,0,0,0,0,0,0.0482652268539443,0,0,0,0,0,0.0897505526205964,0,0,0.0605641355149306,-0.035736798848139,0,0,0,0.0699457584838757,0,0.115667100371587,0,0,0.166925620713364,0,0,0.0952488040072933,0,0.000867121862844383,0,0,0.0320091841157152,0,0,0,0,0.0104197018636432,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.0304229833114623,0,0,0,0,0,0.226773073031776,0,0,0,0.130459575266771,-0.0843714332326873,0.0783492714484304,0.202596064973946,0,0.0916102960288592,0.0415313648985207,0,0,-0.0580429745409276,0,0,0,0,0,0,0.0223984814972815,0,0,0,0,0,0,0,0,0,0,0,0,0.0664226053521337,0,-0.0177623611492372,0,0,0,0,-0.0575297597470438,0,0
X000568.SZ,0,0.048663841593487,0,0,0,0,-0.11737214459976,0,0.405537911095657,0,0,0,0,0,0,0,0,0,0.164775312483043,0,0,0.253544431292755,-0.0792754380138811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630995228013378,0,0,0,0,0,0.0754738510324433,0,0,0,0,0,-0.224545959478395,0,0.0882829183972682,0,0,0,0.0100430027493619,0,0
X002304.SZ,0,0,0,0,0,0,0,0.250661425455014,0,0,0.0646472817295898,0,0,0,0,0,0,0,0.0149246031139261,0.260488597809529,0,0.0676689114074916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034144964403356,0,0,0,0,0,-0.0308477604580486,0,8.67361737988404e-19,0.0244463456132785,0,0,0,-0.023793020368379,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.197207596348343,0.0315645017630779,0,0,0.210247606177382,0,0.38672989272072,0,0,0.0145569216033339,0,0,0,0.00354954079282623,0,0,0,0,0,0.0389521559087529,0,0,0.0784231390221974,0,0,0,0,0,0.0369062712234903,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.0808329922327793,0,0,0.0979216464863877,0,0,0,0,0.0472246921090445,0,0
