,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600066.SH,X600703.SH,X600271.SH,X600741.SH,X002241.SZ,X000100.SZ,X002236.SZ,X002292.SZ,X600031.SH,X600177.SH,X600118.SH,X002475.SZ,X000568.SZ,X002506.SZ,X000559.SZ,X600372.SH,X002074.SZ,X000157.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X002007.SZ,X600867.SH,X002426.SZ,X002456.SZ,X600089.SH,X002294.SZ,X000869.SZ,X000050.SZ,X002180.SZ,X002508.SZ,X000981.SZ,X601877.SH,X002465.SZ,X600498.SH,X002179.SZ,X002008.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.157639753502367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0612124126369545,0.0393476793700986,0,0,-0.02985116513761,0,-0.0597355468192404,0.241760306394816,0,-0.0580602100759593,0,0,0,0,0,0,0.0349144311677204,0,0,-0.0516161171590338,0,0,0,0,0,-0.0534010279285366,0.05942469383346,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0777822306707613,0,0.118673004934545,0,0,0,0.185333398509393,0,0,0,0,0.00234984840123071,0.0653864844244473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164871406908405,-0.0275165319385292,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14297130379966,0.061891505676008,0,0.0430903271517581,0,0,0,0,0,0,0,0,0.0671900986495945,0,0,0.0121159752232078,0,0,0,0,0,0,0,0,0,0,0,0.0223160543051422,0,0,0,0.0949944447259521,0.0287376367784536,0,0,0,0.0455287933674936,-0.0412002982846867,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000199228487634321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.60257209525017e-06,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.130189453536032,0,0,0,0.0286550924256866,0,0,0,0.0150340521842966,0,0,0,0,0.0758098343572451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0237720278211264,0,0,0.0958041081954185,0.116625653418163,0,0,0,0,0,0,0,0,0,0,0.00997129948870986,0,0,0,0,0,0,0
X002304.SZ,0.0882095936143771,0,0,0,0.570934898801061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729175299674203,-0.0376961682516467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639567462447942,0,0,-0.107108965812183,0,0,0,0,0.0819052306193414,0,0,0,-0.0053327304138839,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152441679847291,0,0,0,0,0,0.225630370587262,0,0,0,-0.0278948616318798,0,0,0.140551201337871,0,0,0,-0.00692344368262222,0,0.044095766499683,0,0,0,0,0,0,0,0,0,0,0,0,0.0574415425857403,0,-1.73472347597681e-18,0,0,-0.00300992851660148,-0.0256758289768608,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677052488653947,0,0,2.16840434497101e-19,0,0,0,0,0,0.126560790893653,0.16565517923163,0.0244115136789811,0,0,0.0332181692514425,0,0,0,0,0,0,0.132996296735079,0,0,0,0.0665921982171327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,3.46944695195361e-18,0,0,0,0.118495473776158,0,0,0,0,0.187294871790335,0,0,0,0,0.282885813586499,0.0219000791488305,0,0,0,0,0.0124347404833426,0,0.151828124225936,0.0387899362484171,0.0684299118672522,0,-0.0873700507784049,0,0,0,0,0,-0.285869702568416,0,0,0.0142157658052006,0,0,0,0,0.155429513525897,0,0,0,0.10289839646274,0,-0.0210723503010475,0,0,0,0,0.0499132887928373,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0634869674018845,0,0,0.193646923141134,0,0.0693927167356337,0,0,0,0,0,0,0,0,0.0512040233411195,0.242976067050292,0.0422239219909065,0.0121704616917507,0,0,0.051691550564963,0,0,0,0,0,0,0,0.110569507228834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00595972575990389,0,0,0,0,0,0,0
