,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600703.SH,X000568.SZ,X600690.SH,X002236.SZ,X002475.SZ,X002241.SZ,X000625.SZ,X600741.SH,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X000100.SZ,X300124.SZ,X601877.SH,X300003.SZ,X600809.SH,X600487.SH,X002008.SZ,X300136.SZ,X002085.SZ,X002508.SZ,X600089.SH,X600177.SH,X600271.SH,X000157.SZ,X600522.SH,X002294.SZ,X600118.SH,X600867.SH,X300115.SZ,X600372.SH,X000050.SZ,X000981.SZ,X600699.SH,X000559.SZ,X600566.SH,X002074.SZ,X600498.SH,X002179.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0483206748021844,0,0.0917398487099352,0,0,0,0,0,0.22523054161565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100902267235501,0.141104831001349,0,0,0,0.0399465506370922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13244956445204,-0.00593695574888285,0.0711096555406991,0,0,0.00250781509578528,-0.00868770364701774,0,0,0,0,0,0
X600104.SH,0,0,0,0.191714032205128,0,0,0,0,0,0,0,0,0.0519281223230324,0.0265145094029903,-0.0728519107081095,0,0.341245521331853,0.00455086565472456,0,0,0.245507104022883,0,0,0.0283594441483988,0.298195694563915,0.0203039842774224,0,0,-0.0222521273615071,0.129567188819716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675759631582348,-0.377640258083333,0,0,0,0.00723107196534608,0,-8.67361737988404e-19,0,0,0,0,0
X002415.SZ,0,0,0,0,0.106681132498081,0,0,0,0,0,0,0.0895364076484716,0.240518750478144,0,0,0,0.171344211614872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137905761667019,0,0,0,0,0,0.0575852471163675,-0.0234728909921447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244335915063913,0.0397792805558107,0,0,0,0,0,0
X000651.SZ,0,0.0845602598592949,0,0,0.193972327741566,0,0,0,0,0,0,0.096902901973998,0.146863627753759,0,0,0,0,0.0647814638494779,0,0,0,0,0,0,0,-0.0425240216309184,0,0,0,0,0.0421400433711421,-0.0543019661197613,0,0,0,0,0,0,0,0,0,-0.0221300555022193,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0113669958827519,0,0,0,0,0,0,0
X000858.SZ,0.033028909623742,0,0.171506490406071,0.0874042500115039,0,0,0,0.149755381518013,0,0,0.28441015706196,0,0.00498502070556423,0,0,0,0,0,0,0,0.0665293882691369,0,0,0,0,0.0339269434607674,0,-1.73472347597681e-18,-0.0488667432945833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273546995334921,0,0,0,0,0,0,0
X600276.SH,0,-3.46944695195361e-18,0,0,0.338586491166191,0,0,-1.73472347597681e-18,-0.107223065726136,0,0,0,0,0,-0.0945060689493976,0,0.167408886323667,0,0,0,0,0,0,-0.118528473384939,0.0101612564906586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160327088370187,0,-0.122104461635637,0,0,0,0.128482105470428,0.116528617105984,-0.0436160926607709,0,-0.0734408749332043,0.0177968850558634,-0.00238333636907742,-0.0669783663331722,0,0,0,0,0
X000725.SZ,0,0,0.191462576187903,0,0,0,0,0,0,0,0,0,-0.0203861162354513,0,0,0,0,0,0,0.297187603784671,0,0,0,0,0,0.0209629046510885,0,0,0,0.269907389465388,0,0,0,0,0,0,0,0,0,-0.0768826025797202,0,0.145498319304902,0,0,0,0,-0.0296268557955247,0.119171956639981,0.189085622888834,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.00111310508155824,0,0,0.381024235564592,0,0,0,0,0.0368486951129119,0.24361331884895,0,0,0,0,0,0.0526517890360607,0.0382177405373403,-0.168649991926431,0.027966494170053,0,0,0,0,0,0.0990847633111593,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303674997760724,0,0,0,0,0,0,0,0,0,0,0,0,-0.00932341623093849,0,0,0,0,0,0,0
X000063.SZ,0,0,0.113041036788651,0,0,0,0,0,0,0.109867160916706,0,0,0.204568439174066,0,0.155154222280711,0,0.116249659820933,0,0,0,0,0,0,0,0,0.0375167071713228,0.166249656352117,0.0118605107987217,0,0,0,0,0,0,0,0,0,0,0,0,0.104787152090718,0,0,0,0,0,0,0,0,0,0,-0.0321893147781744,0.0100759776126419,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.0669624667174844,0.17424962579686,0,0,0.0726257379461965,0.0865729999016152,0,0.213960965350189,0,0.338366916422846,0.253969979940471,0,0,0,0,0.171892994450393,0,-0.130053866398037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169599419629747,0.0119542477783426,0,0,0,0,0,0
