,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000338.SZ,X600031.SH,X600703.SH,X600741.SH,X000568.SZ,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002456.SZ,X000100.SZ,X002008.SZ,X002236.SZ,X600566.SH,X600498.SH,X002007.SZ,X000625.SZ,X600487.SH,X002179.SZ,X000661.SZ,X600809.SH,X300146.SZ,X000596.SZ,X600177.SH,X002506.SZ,X000157.SZ,X300136.SZ,X002180.SZ,X600089.SH,X600867.SH,X002294.SZ,X300142.SZ,X600066.SH,X600372.SH,X002241.SZ,X000977.SZ,X000981.SZ,X600522.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.790570797252481,0,0,0,-0.0292199373063311,0.0323600561710156,0,0,0,0,0,0.0472359855049242,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.10449274934734,0,0,0,0,0,0,0,0,0,-0.0278427837385178,0,0,0,0,0.0166909052487162,0,0,0,0,0,0,0,0.0113640508609218,0.00224460454617897,0,0,0,-0.0450869781363301,0,0
X600104.SH,0,0,0,0.0777243922324378,0,0.13540491702155,0,0,0.0493998604701728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018973600451514,0,0,0,0,0,0,0.0848552900303595,0.260999556518499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227990355296656,0,0,0.0099678284915534,-0.0118740100148987,0.0382254730092386,0,0,0,0,0,0,0
X000651.SZ,0.133628619391998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292167315444084,0.018541914553139,0,0,0.129800117959637,0,0,0,0,0,0,0,0,0,0,0,0.0874452032052498,0,0,0,0,0,0,0,0,0.0452413308250273,0,0.0869559645176787,0,0,0,0,0,0,0,0,0.00669916914231806,0.007388980433357,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00611459056899001,0,0,0,0.0511379053374844,0,0,0,0,0,0.107142271586624,0.596538005225574,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.116322734411102,0,0,0,0,0,0,0,0,0,0,0,0.216422488242042,0.00523667098345479,0.103802636514435,0,0,0,0,0,0
X600276.SH,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322432037020865,0,0,0,0,0,0,0.206465593964997,0,0,0.0448941976134293,0,0,0,0,0,0.27620735837112,0,0,0,0,0,0,0,0,0.138994122848333,0,0,0,0,0,0,0,0,-0.0402748697155681,0.0259315404193773,0.00405335760149562,0,0,0,0,0,0
X000858.SZ,0.115431250624586,0,0,0,0,0,0.202722771850224,0,0,-0.0157412297004957,0,0,0,0,0,0.0605608162367003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279470242731979,0,0.198233895257611,0,0,0,0,0,0,0,0,0,0.0316483715852337,0,0,0,0,0,0,0,0.0173280835185986,0.0150802530930126,0,0,0,0,0,0
X002304.SZ,3.46944695195361e-18,0,0,0.0344580813542625,0,0.103132889945418,0,0,0,0.0473128763179947,0,0,0,0,0,0.579553145493673,0.0178568810198372,0,-0.0260762664287602,0,0,0,0,0,0,0,0,0,0,0,0,0.220703892867829,0,0,0,0,0,0,-0.0325497906318856,0,0,0,0,0,0,0,0,0,0,0,0,0.0393925600063879,0.00343112715353199,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0245388575407243,0,0,0,0.138730544070638,0,0,0,0,0.236564788258401,0,0,0,0.0941430751928925,0,0,0.17450385384367,0,0.0861124862371649,0,0,0,0,0.24788786882997,0,0,0,0,0,0,0,0,0.0931277788898798,0,0,0,0.161306892156743,0,0,0.00878861186876869,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.216209483462668,0,0,0,0,0,0,0,0,0.178154038061917,0,0,0,0,0.0658795438937272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046903922829059,0,0,0.341596473274699,0,0,0,0,0,-0.0392919056561453,0,0,0,0,0,0
X000063.SZ,0,0,0,0.014863236080199,0,0,0,0,0,0,0.223190538210182,0,0,0,0,0,-0.0145400812746654,0,0,0,0.208060436428024,0,0.0157903363679378,0,0,0,0,0,0.247437237970117,0,0,0,0,0,0,0,0,0,0.212364377955581,0,0,0,0,0,0,0,0,0,0.175364499709613,0,0,0.045386932276842,-0.0258022874252251,0,0,0,0,0,0
