,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000625.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X600031.SH,X000338.SZ,X300014.SZ,X002179.SZ,X002129.SZ,X600703.SH,X000100.SZ,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X600741.SH,X000661.SZ,X000157.SZ,X600584.SH,X600522.SH,X601877.SH,X601799.SH,X000977.SZ,X002007.SZ,X000800.SZ,X002074.SZ,X600183.SH,X002463.SZ,X002028.SZ,X300142.SZ,X600702.SH,X002223.SZ,X000066.SZ,X000921.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.156132523518079,0,0.0389633882295042,0.189384105638855,0,0,0.0944725822961624,0,0,0.198514703614645,0,0,0,0,0,0,0,0,0,0,0.0651937813837577,0,0,0.049634775035287,0,0,0,-0.120541361228594,0,0,0,0,0,0,0,0.189903849587901,-0.000924886161649745,0,0,0,0,0,0.0834587478609528,0.0811296059467583,0,0,0,0,0,0,0.0207478142713432,0.0322618091785912,0,0,0,0,0,0
X000858.SZ,0.103253942286042,0,0,0,0,0,-0.0780773822884017,0,0,0,0,0,0,0,0.142774262353173,0.253050548139827,0,-0.0309264122811338,0,0,0,0,0,0,0,0,0,0,-0.100641482618774,0,0,0,0,0,0,0,-0.129502459659582,0.0767731471784816,0,0,0,0,0,0.0599392794074241,0.126199063604678,0.122249241733354,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0985707124973912,0.0378993880029651,-0.149490252504672,0,0,0,0,0,0,0,0,0.0813793122402941,0,0.0476490465130255,0,0,0,0,0,0.0766137283847067,0,0,0,0.178835265411974,0,0,0,0,0,0,0,0,0,0,0.0323923133476119,0,0,0,0,0,0,0,0.109193124437824,0,0.0461035021457413,0,0,0.0464404853416951,0,0,0,0,0,0,0,0
X000568.SZ,0.307108944969312,0,0,0,0.114536983579732,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.310133740700284,0.015474129638949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121966781548008,0,0,0,0,0,0.0139755645638216,0.00249932541839395,0,0,0,0,0,0
X600809.SH,0,0,0,0.601215295625609,0,0,0.15417859876748,0.0569081925630558,0,0,0,0.065398015680216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411399219137993,0,0,0,0.00894616688470124,0,0,0,0,0,0,0,0,0,0,0,0,0.0323116872230558,0,0.0490076927511353,0,0,-0.110696581901355,-0.151250595035864,0,0.0437414717466198,-0.0724693567438315,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.370606466843801,0,-0.220130509884762,0.0407541159460528,0,0,0,0,0.239317438218375,0,0,0,-0.0953999523090206,0,-0.231468066394548,0,0,0.371286776841369,0,0,0,0,0.0599171937719064,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0585991471897543,0.239104043170833,0,0,-0.0252096163284232,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.176498261310939,0,0,0,0,0,0,0,0,0,0.00399808013611119,0,0,0.161402507871658,0,0,0,0,0,0,0,0,0.0156029686191402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260369287122907,0.0432819602599122,0,0,0,0,0.135044874893156,0,0,-0.107154825999743,0.144671697851702,0.0505195757936387,0,0,0,0,0
X600690.SH,0.0682369863613346,0,0,0,0.0727366974502781,0,0,0,0,0,0,0.00808891150625639,0,0,0.028422310754422,0,0,0,0.139810096245278,0.0684286675709774,0.0193441410258536,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523118627591123,0,0,0,0,0,0,0,0,0,0.00303787240351449,0,0,0,0,0,0
X000651.SZ,0,0,-0.0626014732064731,0,-0.011907921564844,0,0.0810952097560523,0,0,0,0,0.172441853853849,0,0,0,0,0,0,0.304844241601111,0,0,0,0.0407433666117807,-0.115001909782321,0,0,-0.0215481703471122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167359788719132,0,0,0,0.0614125226870435,0,0,0.00863122334775823,-0.0447061631777166,0,0,0,0,0,0
X002304.SZ,0,0,0,0.426181504024932,0,0,0,0,0,0,0,0,0,0,0.138338196051343,0,0,0.0465028712987146,0,0,0.0561750256191819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.149725292410464,0,0,0,0.121746883399544,0,0,0,0,-0.0071284227547283,0.00539081429365968,-0.00477866541162392,-0.0493174180581012,0,0,0,0,0
