,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X002371.SZ,X600703.SH,X003816.SZ,X000338.SZ,X000063.SZ,X000596.SZ,X002129.SZ,X002049.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X601877.SH,X300142.SZ,X002074.SZ,X600741.SH,X000100.SZ,X600089.SH,X600702.SH,X600460.SH,X000799.SZ,X002236.SZ,X002180.SZ,X000157.SZ,X600779.SH,X601799.SH,X000733.SZ,X002008.SZ,X600522.SH,X002414.SZ,X600584.SH,X600183.SH,X002007.SZ,X000977.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.47118498564094,0,0.100661281457133,0,0,0,0,0,0,0,0,0,0,0,0,0.0188916087975756,0,0,0,0,0.0230129568707789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046502262828302,0,0,0,0,0,0,0,-0.0136543097824357,8.67361737988404e-19,0,0,0,0,0,0
X000858.SZ,0.122848600939296,0,0,0.00351960794842677,0.410729176531246,0,0,0,0.128402155304872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00100972512222045,0,0.31042418630048,0,0,-0.0286522159661241,-0.0241866171531102,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0515481890391901,-0.0601030442196052,0,0,0,0,0.0150388192587929,0,-0.00607146952065313,0.00405976342126803,0,0,0,0,0,0
X002415.SZ,0,0.144010013878138,0,0,0,0.153424056160253,0,0.111670474582138,0.190777236024707,0,0,0,0,0,0,0,0,0,0,0.0532224004353601,0,0,0,0,0,-0.0905398111433576,0,0,0,0,0,0,-0.0340497213386144,-0.15570297293378,0,0,0,0,0,0,0,0.159608349966958,0,-0.0250136003136198,0,0,0,0,0,0,0,0.0122652375009438,8.67361737988404e-19,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.0381513858345088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553232910324453,0,0,0,0.104783709042873,0,0,-0.0525310674107143,-0.021360738515199,0,0,0,0,0,0,0,-0.0228730465662557,0,0.0546011828960457,0,0,0,-0.0607756870624813,-0.206152604207103,0,0,0,0,0,0,0,0.0355270898361953,0,0,0,0,0,0
X600809.SH,0,0.248177353076209,0,0,0,0,0,0,0,0,-0.191258541964382,0,0,0,-0.105991795487037,0,0,0,0,-0.169589066791038,0,0,0,0,-3.46944695195361e-18,0,-0.0665022905589442,0,-0.10051561205821,0,0,0,0,0.29088142868337,0.073632664921696,0.196878598873879,0,0,0,0,0.137997087704311,0,0,0,0,0,0,0,0,0,0,0,-0.00167387077639068,0,0,0,0,0,0
X002475.SZ,0.208798601232767,0.187265639226752,0,0,0,0,0.12824637474009,0,0,0,-0.139241955027439,0,0,0,0.123805737395426,0.0494174727845111,0.176677295818124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130319372609813,0,0.0934992320644202,0,0,0,0,0,-0.0342023707715771,0,0.013970285517009,0,0,0,0,0,0,0
X600276.SH,0,0,0.050659441841279,0,0,0.0856364672558523,0,0,0,0,-0.0440477325727915,0,0,0,0,0,0,0,0,0,0,0,0.0226304215322056,0,0,0,-0.185704835355964,0.109581206953761,0,0,0,0.0507476278643701,0,0,0,0,0,0,0,0,0,0,-0.0993576764143393,0,0,0,0,0.252349165367048,0,-0.101654453205299,0,-0.0177533046082884,0.0224910045986411,0,0,0,0,0,0
X600690.SH,0,0,0.0621923103729919,0,0,0,0,0,0.0607904173544739,0,0,0,0,0,0,0,-0.141910015520635,0,0,0,0,0,0,-0.0776463854786664,0,0,0,0,0,0,0,0.226358451558615,0,-0.0226982101085576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127047398862532,0,0.0038986045846679,0,0,0,0,0,0,0
X002304.SZ,0,0.399941725564566,0,0,0,0,0,0.212106226099997,0,0,-0.026756086971424,0,-0.161055284448453,0,0,0,0,0.0589867339827414,-0.107516055501011,0,0,0.000629082477461773,0,0,0.070957695316571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143568178113866,0,0,0,-0.073847968313896,0,0,0,0,0,0,0,0,-0.00508916228068907,0,0,0,0,0,0
X600104.SH,0,0,0,0.0032460377389441,0,0,-0.0808154858618243,0,0,0,0,0,0.146496182413535,0,0.104768711511916,0.00754174622594292,0,0,0,0,0,0,0,0,0.0117871097210783,0,0,0,-0.00975586387586998,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0610005085429555,0,0.0130999348366815,0,0,0,0,0,0,0,0,0,0.0438095547862583,0,0,0,-0.108182127844862,0,0
