,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600276.SH,X600104.SH,X000651.SZ,X000625.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X000725.SZ,X600031.SH,X003816.SZ,X002371.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X002241.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X601877.SH,X600522.SH,X000661.SZ,X002180.SZ,X300142.SZ,X002074.SZ,X600741.SH,X600884.SH,X000100.SZ,X000733.SZ,X600460.SH,X600702.SH,X000157.SZ,X601799.SH,X000799.SZ,X600563.SH,X002236.SZ,X600584.SH,X600418.SH,X002176.SZ,X002414.SZ,X000800.SZ,X002056.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.316224055025358,0,0,0,0,0,0,0.0377323588354391,-0.0112384718750657,0,0,0,0,0,0,0.04021948359609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015803760914212,0,0,0.10864677394114,0,0,0,0.00763623846916506,0,0.0551058747417785,0,0,0,0,0,-0.0209356115077859,-0.0177238678705387,0,0.0136677458165343,0,0,0,0,-0.0015491809792801,0,0
X000858.SZ,0,0,0.170307290174909,0.208142241837425,0,0,0,0,0,0,0,-0.00165090530472574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017671815445681,0,0,-0.0115668450777093,0,0,0,0,0,0,0.242752322432125,0,0,0.0489094982248259,0,0,0,-0.0317422510266629,0,0,-0.0151532570048392,0.0545433908783212,-0.113675782132683,0,0,0,0,0,0,0,0
X600809.SH,0,0.0228483818028817,0,0.642717727409172,0.0207380983152115,0,0,0,0,0,0,-0.0398133549473408,0.0304917506420963,0,0,0,0,0,0,0,0,0.0289367626574686,0,0,0,0,0,0,0,0,0,0,0.0570587222555323,0,0,0,0,0.0291382957805446,0.0538057854649413,0,0,0,0,0,0,0,-0.221662978431177,0,0,0,0,0,0,0,0,0,-0.00522545009029902,0,0
X000568.SZ,0,0.134740002950614,0.174587645278485,0,-0.0253474620675659,0,0.0273295848963549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632428715091016,0,0,0,0,0.140992814991533,0,0,0,0,0,0,0,0,0.282800506751716,0,0,0,-0.033807121712014,0,0,0,0,0,0,0,0,0,-0.015515928068191,0,0,0,-0.0264348782581532,0,0
X002415.SZ,0,0,0,0,0,0.530083377778593,0,0,0,0,0,-0.136842975043644,0,0,0,0,0,0,0,0,0,0,0,0,0.00374515519314314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165562353099804,0,-0.0239997415053611,0.754163730789189,0,0,-0.0264820161842032,0,0,0.0727592941352868,0,0.137731822770293,0,0,0,0,0.00126430692599711,0,0
X002304.SZ,0,0,0.0143354650228759,0.321295458987644,0,0,0,0.0440939484998406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466340398245449,0,0,0,0,0.0738006878637615,0,0.180114331882407,0,0,0,0.0243582756960978,0,0,0.00898659559216186,0.016411311692028,0,0,0.0174808399184701,0,0.00613207420622981,0,0,0,0,-0.0123487079704375,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0507786795887887,0,0,0,0,0,0,0.0163742302344304,0,0,0,0.143983193511919,0,0,0,-0.0456262051157142,0,0,0,0,0,0,0,0,0,0,0.118303213609148,0,0,0.0393190433245559,0.23903807941972,0.193404947526754,0.216354609454704,0,0,0,0,0,0,0,0,-0.20267732322294,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.00689072717481024,0,0,0,0.460699823344462,0,-0.0641680217342953,0,0,0,0.071373330354493,0,0,0,0,0,0.0990207812641958,0,0,0,0,-0.0304252288366845,0,0,0,0.208278004445199,0,0,0,0,0,0,0.0368401151561253,0,0,0,0,0,0.00915976605417063,0,0,0.0863042906584713,0,0,0,0.00286226532294562,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0368120240801255,0,0.0221086038066594,0,0,0,0.315592154383646,0,0.0289409057769569,0,0,0,0,0,0,0,0,0,0,0,0.173325822349827,0,0,0,0,0.186677470701245,0,0.0845839440631322,0,-0.0216660075566674,0,0.00939772091508166,0,0,0,0,0,0,0.0728620864135302,0,0,0,0,0,0,0,0.0313643684532724,-0.0398860121099397,0.159838413361565,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0329612218479567,0,0,0.0276096137184074,0,0,0,0,0.00395487984698694,0,0,0,0,0,0,0,0.016199865420271,0,0,0,0,0,0.181428365267981,0,0,0,0,0.167362340510443,0,0,0,0,0,0,0.0213503746311112,0,0.0624874789140489,0.215013760662227,0.0752159925610159,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174878754539131,0,0.00312093337481806,0,0,0,0,0,0,0,0,0,-0.0356396341674581,0,0,0,0,0,-0.0660622135618098,0,0.00780230462887767,0,0,-0.039803013903733,0,0,0,-0.0469685668575437,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525633811315914,0,0,0,0,0,0,-0.245957720777826,0,0,0,0,0,0,0,0,0,0,0.0216560022962122,0.400861490805831,0.412610384967884,0,0,0,-0.10523404738899,0,0.136333812278585,0,0,0,0,0.0182249376580882,0,0,0.142280897749869,0,0,0,0.0397942979649021,0,0,0,0.0472254580273987,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0.0606464902797045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210823413048923,0.162915473739978,0,0.112464305412561,0.018244616800047,0.0480967009610603,0,0.135234402866634,0,0,0,0,0,0.0572691629123424,0,0,0,0,0.0811819176839971,0,0,0,0,0,-0.126431557677853,0,0,0,0,0,0,0
