,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002456.SZ,X002085.SZ,X600271.SH,X600118.SH,X300124.SZ,X000157.SZ,X600089.SH,X600522.SH,X002508.SZ,X600177.SH,X600372.SH,X300136.SZ,X002007.SZ,X600487.SH,X600699.SH,X300003.SZ,X000981.SZ,X002074.SZ,X000066.SZ,X002294.SZ,X600867.SH,X002008.SZ,X000559.SZ,X002180.SZ,X000623.SZ,X600566.SH,X002292.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.00125690153971788,0,0,0,0,0,0,0,0,0.225203182342374,0,-0.132395850138432,0,0,0.0593411427499723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293940427138179,0,0.111203363277297,0,0,0,0,-0.00339596240421294,0,0,0,0,0,0,0,0,0,0.0382291925609964,0.00765444003796757,-0.00285041486440229,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.00476927436122019,0,0,0,0,0,0,0,0.325301228808237,-0.0060186514645519,0,0,-0.0703258613756698,0,0,0,0,0,-0.011293830481235,0,0,0,0,0.252860615199742,0,0.0364673145889233,0,0,-0.0141064513517732,0,0.230663634667064,0,0,0,0,0,0,0,-0.115608338915999,0,0,0,0,0,0,0,0.00390404897085458,-0.006243884067655,0,0,0,0,0,0
X002415.SZ,0,0,0,0.305137906488005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346106539954069,0,0,0,0,0,0,0,0,0,0,0,0,0.0855357414129223,0,0,0.0419909098558764,-0.107350782055159,-0.0300284223334206,0,0,-0.0852876335507834,0,0,0,0,-0.104444376378828,0,0,0,0,0,0,0,-0.00858612214921757,-0.00603682102889086,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0786811565707693,0,0,0,0,0,0,0.286884087180786,0,0,0,0,0.00199501668525458,0,0.0203936715708008,0,0,0,-0.0696692462188202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344687858982436,0,0,0,0.01050222433864,-0.000925148186842839,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0485458179150074,0,0.14447987030196,0,0,0.000913152672892031,0,0,0.060340281225966,0.252407515039561,0,0,0,0,0.0324212482943878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378202038924362,0,0.113420227094143,0,0,-0.0819024700801595,0,0,0,0,0,0,0,0,0,0,0,-0.00366989721512568,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0783763082549352,0,0,0,0,0,0,0,0,0.34269031493543,0,0.173937152030121,0,0,0.0256569115699394,0,0,0.132768017936117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389844007619605,0,0,0,0,0,0.0502615809732363,0.00675862414185263,0,0,0,0,0.00120682675696806,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0842960117136232,0,0,0,0.252328874180516,0,0,0,0,0.0257604970056145,-0.0225584305435607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222615098371481,0,0,-0.103539352226912,0,0.073096964804833,0,0,0,0,-0.0104957063066537,0,0.00528269102647264,0,0,0,0,0,0
X000725.SZ,0,0,0,0.199664730794809,0,0,0,0,0,0,0,0,0.0973552160713124,0.149778895561635,0,-0.458934594775632,0,0,0,0,0.104101464416892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131348907649285,0.0799549066944387,0,0,0.280761781306099,0,0,0,0.0932097319247481,0,0.231522038654206,0,0.0829832412190524,-0.0474349434984474,0.0177873367609845,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0103902819544969,0,0,0,0,0,0,0,0,0.0361869873408558,0,0,0.0412873302215674,0.153772411427935,0.117029293036002,0,0,0,0,0,0,0,0,0,0,0.0110242353157767,0,0,0.154914166964246,-0.0792974005756587,0,-6.93889390390723e-18,0,0.0623027310731598,0,0,0,0,0,0,0,0,0,0,0.151361165816261,0,0,-0.027369223552568,0.00211452628093897,0,0,0,0,0,0
X600690.SH,0,0.166852303224926,0,0,0.232334934228945,0,0,0,0,0,0,0,0,0.105812676898512,0,0,0,0,0,0,0,0,0.0688047490271508,-0.0918108723763873,0,0.0367145275364537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.0354251073190382,0,-0.010856192787265,0.00156263255345333,-0.00432024082419746,0,0,0,0,0,0
