,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X000625.SZ,X002304.SZ,X600276.SH,X600690.SH,X000063.SZ,X600031.SH,X600372.SH,X000338.SZ,X000157.SZ,X002241.SZ,X600741.SH,X600703.SH,X600089.SH,X000100.SZ,X002236.SZ,X601877.SH,X000581.SZ,X000550.SZ,X002475.SZ,X000559.SZ,X000050.SZ,X600118.SH,X000568.SZ,X600066.SH,X002294.SZ,X600271.SH,X002129.SZ,X000623.SZ,X600839.SH,X002456.SZ,X300124.SZ,X300003.SZ,X000400.SZ,X000869.SZ,X002007.SZ,X600867.SH,X002292.SZ,X000800.SZ,X600177.SH,X002038.SZ,X600435.SH,X002049.SZ,X000977.SZ,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0.0497527940497615,0,0,0,0,0,0,0.0659126684078188,0,0,0,0,0.316085985073317,0,0,0,0,0.00752931113202872,0,0,0,0.166628330908457,-0.0361986132913184,0,0,0,0,0,0,0,0,0.0554474225529592,0,0,0,0.201593911649376,0,0,0,0,0,0,0,0,0,0,0,-0.00849214968384076,0.0467599073358249,0,0,0,0,0,0
X600519.SH,0,0,0.0958962136333589,0,0,0,0,0.204834251035256,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151034394560173,0,0,0,0,0,0.0291959424846399,0,0,0,0,0,0,0,-0.0175063651794011,0,0,0,0,0,0,0.0836458778567094,0,0,0,0,0,0.105511131651624,0,0,0,-0.00695908595499258,-0.0188134600684178,0,0,0,-0.180419487156819,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435606688098292,0.122646592464017,0,0,0,0,0,-0.0227349785259614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258882395705696,0,0,0,0,-0.0131049726402651,0,-0.0639038921907416,0,0,0.0192935975626269,-0.0200407146498478,0,0,0,0,0,0
X000651.SZ,0,0,0.0467146716611998,0,0,0,0,-0.0429183584659881,0,0.241315312135384,0,0,0,0.151306723265241,0,0,0,0,-4.33680868994202e-19,0,0,0.278709914792061,0,0.07274991785822,0,0,-0.0309244425633936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131369354012613,0,0,0.0566256876627318,0.020023727089855,0,0,0,0,0,-0.0083732304049549,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0330235679679181,0,0,0,0,0,0,0,0,0.164638242092744,0,0,0,0,0.136868257758302,0,0,0.196812618252722,0,0,0,0,0,0.0571596827061004,0,0,0,0,0,0.193833765455569,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347500626675816,0,0.00448875704139539,0,0,0,0.0180260937189541,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0278021205868561,0.0444365574693362,0,0,0,0.164431518033453,0,0,0.023863629954579,0,0,0,0.0775871089420501,-0.0399406740994913,0,0,0,0.331839600793559,0,0,0,0,0,0.0290033949748678,0,0,0,0,0.0206258430359981,0,0,0,0,0,0,0,0,0,0,0,-0.0142168558184243,0,0,0,0,0,0,0
X000625.SZ,0.260762231235678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317603717710977,0,0,0,0,0.0202374142862841,0,0.0967783916836064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894935849634866,0.0684439544720479,0,-0.00173598199923155,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.110241496676252,0,0,0,0,0,0,0,0,0,0,0.147286199986929,-0.0418083399245269,0,0,0,0,0,0,0,0,-0.0488152397637161,0.0366307530890376,0.440510989868458,0,-0.257266550163438,0,0,0,0,0,0,0,0,0,0,-0.0206734715017065,0,0,0,0.384944777979747,0,0,0,0,0,0,0.0310860435674325,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139237823524792,0,0,0,0,0,0,0,0,0,0.0106652803327218,0,0,0,0,0,0,0,0.164373334117968,0,0,0,-0.0493707064154113,0.211224191188194,0,0,0,0,0,0,0,-0.0772691833442656,0,0,-0.00387769474821881,0.00834245743701543,0,0,0,-0.0912213660964956,0,0
X600690.SH,0.0707806411717909,0.27123225616457,0.112701730817139,0.0247933485597604,0,0,0,0,0,0,0,0,0,0.204218504588762,0,0,0.0906130882911677,0,0.126119153499919,0.203618887849358,0,0,0,0,-0.0465034038733795,0,0,0,0,0,0,0,0,0,0,0,-0.0222346921208009,0,0,0,0,0.0590462410153088,0,0,0,0,0,0,0,0.0368538855160817,0,-0.0250087299181601,0.115731072667058,0,0,0,0,0,0
