,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X000100.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600118.SH,X600271.SH,X000550.SZ,X601877.SH,X000581.SZ,X000800.SZ,X002236.SZ,X002475.SZ,X600582.SH,X000623.SZ,X600060.SH,X600177.SH,X000568.SZ,X300124.SZ,X002129.SZ,X000559.SZ,X000050.SZ,X000977.SZ,X002294.SZ,X000400.SZ,X002456.SZ,X300146.SZ,X600839.SH,X300003.SZ,X002465.SZ,X002292.SZ,X000869.SZ,X600312.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0,0,0,0.0703584927562656,0,0,0.160889979092298,0,0,0,0.593908970921767,0,0,0,0,0,0,0.0962793947242913,0,0,0.0122256451863589,8.67361737988404e-19,0,0,0,0.0717498477293504,0.0121582639575476,0,0,0,0,0,0,0,0,0,0,-0.0234371705151106,0,0,0,0,0,0,0,0,0,0.0154422589939715,0,0,0,0,0,0
X600372.SH,0,0,0.0899697235156746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31999756790511,0,0,0,0,0.0619821947953471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442267843647762,0.040675424837401,0,0,0,0,0,0
X000157.SZ,0,0,0,0,4.33680868994202e-19,0,0,0.0148081758918395,0,0.789519595293786,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.000159552800963234,0,0.0550558574038508,0.0334534594278478,0,0,0.225655214845164,0,0,0,0,0,0.019806816090873,0,0,0,0,0,0,0,-0.0784462077989651,0.00249908542978302,0.141408381724415,0,0,0,0,0
X600741.SH,0.394483667680779,0,0,0,0,0,0,0,0,0,0,0.150668008539976,0,0,0,0,0,0,0,0,0.101373978712529,0,-0.0046910550065474,0,0,0,0,0,0,0,0,0.0383429875609315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253154861420205,0,0,0,0,0,0
X002241.SZ,0.111394462011012,0,0.135431219435771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217928410054548,0,0,0,0.0302751876202758,0,0,0,0,0,0,0,0,0.0462729195787056,0,0,0,0,0,0.0332076326351626,0.0261754461741863,0,0,0.0105860002748298,0,0,0,0.200056853733997,0,-0.0622855230145217,-0.0357656627506568,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.0204995966970575,0,0,0,0,0,0,0,0.274739692794567,0,0,0,0,0,0.0200914021266,0,0,0.0464982492310336,0,0,0,0,0,0.0998666682769156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143296810251762,0,0,-0.0162946489580525,0,0,0,0,0,0
X600066.SH,0,0,0,0,0.173985881606916,0,0,0,0,0.0972121010568549,0.0043404282650631,0,0,0.0347636467647782,0,0,0,0,0,0,0,0,0,0.052940777987186,0,0.0614290852543883,0.136626338875908,0,0,0,0,0,0.0265665969225807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600089.SH,0.0658732657742883,0,0.0214378578814517,0,0,0,0,0,0,0,0.071544413338736,0,0,0.246884855204872,0,0,0.0982578879035456,0,0,0,0,0,0,0,0,0.166251968937905,0,0,0.0188758104709742,0,0,0,0,0,0,0,0,0,0,0,0.0941203987817941,0,0,0,-0.0661035973321818,0,0,0,0.249505346462515,0,0,-0.0186662039152792,-0.0159128726714656,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462450783804134,0.473972281293095,0,0,0,0,0,0,-0.0147721599976779,0,0.0689946354268336,0,0,0,0,0.0157563461703504,0,0,0,0.0284231997914969,0,0,0,0,0,0,0,0,0,0,0,0.237265746414498,0,0,0.118999858673508,0,0,0.0729591226607055,0.014861163034159,0.101610086545535,0,0,0,0,0
X600271.SH,0,0,0,0,0.0698841563671309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047916676107109,0,0,0.0883036844275641,0,0,0.258894161425077,0,0,0,0,0.0819942852172486,0,0,0,0,0,0,0,0.0150763204800829,0,0.0514621922738017,0.243070273946788,0,0,0,0.0342192215803607,0,-0.0568333563574275,-0.0102328990747634,0,0,0,0,0,0
X000550.SZ,0.0272042158375675,0,0,0,0,0,0,0,0,0.0938526779428117,0.0875547612906908,0.0846337241439063,0,0,0,0,0,0,0.0315590815381462,0,0,0,0,0,0,0.110878420316242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.12807466758989,0,0,0.0049238548083807,0,0,0,0,0,0
X601877.SH,0.0190625164917451,0.0581472751529917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189816556869818,0,0,0.119532821153223,0.0687796673823142,0,0,0.005289977768006,0,0,0.00637975163837458,0,0,0,0,0.196187325215078,0,0,0,0,0,0,0,0,0,0,0.00507679081485158,0.0589506237435771,0,0,-0.0630527522061823,0,0
X000581.SZ,0,0.0256576268758531,0.16152301692112,0,0,0,0.155298507810897,0,0,0,0,0,0,0.0247679278418809,0,0,0,0,0.0100502916321153,0.126511552171553,0.154657438988722,0,0.121172497893328,0.0164167132281009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198917060586963,0,-0.0175141847373336,-0.00280931441589464,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202651517608809,0,0,0.11785252101722,0.0300494646855337,0,0.0869160901422142,0,0,0,0,0.196857289292843,0,0,0,0,0,0.0638720293168353,0.0440916858764976,0,0,-0.0290095566035225,0,0,0,0.0919362934683756,0.0339023148644994,0,0,0,0,0,0.017370286840343,0,0,0,0,0,0,0
