,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600703.SH,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X002007.SZ,X300124.SZ,X002008.SZ,X600487.SH,X600498.SH,X000100.SZ,X000661.SZ,X002179.SZ,X002456.SZ,X000625.SZ,X600867.SH,X300142.SZ,X600566.SH,X300146.SZ,X000157.SZ,X600809.SH,X600177.SH,X000596.SZ,X002180.SZ,X600372.SH,X002294.SZ,X600089.SH,X600066.SH,X002506.SZ,X600522.SH,X300136.SZ,X002241.SZ,X000977.SZ,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.580054166016345,0.0817848958924838,0,0.0701221191135352,0,0,-0.0478132359110889,0,0,0,0,0,0,0,-0.0654197472983746,0,0,0,0.0181924796391976,0,0,0,0,0,0,0.0187317221798389,0,0,-0.0173681131628128,0,0,0,0.260669411661896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115829711497251,-0.00497876845158297,0,0,0,0,0,0
X600104.SH,0,0,0,0.0146342621723645,0,0,0,0,0,0,0,0,0,0,0,0.118422014732189,0.358646938908663,0,0,0.0378363682451424,0,0.188851617584246,0,0,0.107367210554364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259984405541201,0,0,0,0.000205613681765354,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19035058893241,0,-0.0200565994905004,0,0,0,0.62132339981422,0,0,0.210318853733763,0.0688832406699598,0,0,-0.0524179284734729,0,0,0.0252964493646764,0,0,0,0,0,0,0,0,0,-0.0576415529500501,0,0,0,0,0,0,0,0,0,0,0.127751856694331,0.00217074486460947,0,0,0,0,0.0852903102711097,0.049118340448735,0
X600276.SH,0,0,0.171998200448957,0,0,0,0,0,0.0246884430914025,0,0,0,0,0,0,0.433505808555401,0,0,0,0,0,0,0.0254752749396745,0,0,0,0,0,0.0511932165312834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371892344917155,0,0,0,-0.000822426778744178,0.0128225297697119,0,0,0,0,0,0
X000651.SZ,0.0754287416185695,0,0,0,0,0.237229472457061,0,0,0,0,0,0,0,0.211805654094711,0,0.05855512227746,0,0,0,0,0.00238308909843911,0,0,0,0,0,0,0,0,0,0.0273449009563539,0,0,0,0,0,0,0,0.0693684559385906,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144096917440485,0,0,0,0,0,0,0
X000858.SZ,0.0362601029292816,0,0,0,0,0,0.174825083893505,0,0,0,0,0,0,0.0604229404543557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350204659771264,0,0.197146118884196,0,0,0,0,0.0758502145189807,0,0,0,0,0,0,0,0,0.0144635779789987,0.0252788580589519,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178463815843049,0,0,0,0,0,0,0,0,0,0,0,0,0.0133185249152905,0,0,0,0,0,0,0.100484349437953,0,0.402917589400832,0,0.383138507912705,0,0,0,0,0,0,0,0,0,-0.0511766262247698,0,0,0.0595976289351553,-0.00573325485230991,0.0477236823969099,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0610645078891835,0,0,0,0,0,0,0,0.00470135293367605,0,0,0,0,0,0,0,0,0,0,0,0.0942367332063561,0.27701347544044,0.216799497858091,0,0,0.0493126618636475,0.0410510862522106,0,0,0.0656826316702205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300547884940549,0,0,0,-0.0285298459596988,0,0,0,0,0,0,0
X000063.SZ,0,0,0.236482985583723,0,0,0,0,0,0,0,0,0.273291349705545,0,0,0,-0.0246487724577319,0,0,-0.0469430006555977,6.93889390390723e-18,-0.0727619878461053,0,0,0.36591336148039,0.137449743726975,0,0,0,0.230428944250577,0,0,0,0,0,0,0,0,0,0.0162840835516325,0,0,0,-0.284554929679989,0,0,0,0,0,0,0,0,0.0178635863484188,-0.106337099950403,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.139731921067843,0,0,0,0,0,0,0,0.200985284604327,0,0,0,0,0,0,0,0.238245357015637,0,0,0,0,0,0,-0.00363798829423522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175788085174601,0,0,-0.0964160094740047,0,0.247407790383272,0,0,-0.090958275203604,-0.00582087307764715,-0.0767902607865848,0,0,0,0,0,0
X600031.SH,0,0,0.109178624630103,0.0207506456234917,0,0,0,0,0,0,0,0,0,0,0,0.115221740764692,0,0,0,0,0,0,0,0,0,0.161314340885101,0,0,0,0,0,0.159247100597979,0,0.0507849180088524,0,0,0,0.0405615559362485,0,0.20897117836934,0,0,0,0,0,0,0,0,0,0,0,-0.000657797041558903,-0.0389700603271891,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223369781516168,0,0,0,0,0.0809249958558867,0,0,0,0,0,0,0,0.0820961781541702,0,0.774645113075014,0,-0.0702389771116915,-0.0156713104425524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525302534982079,0,0,0,0.101266887173455,0,0.000282025315848411,0.123236672175201,0,0,0,0,0,0
