,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X600809.SH,X003816.SZ,X000568.SZ,X002371.SZ,X000725.SZ,X600031.SH,X600104.SH,X300124.SZ,X000063.SZ,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002179.SZ,X002463.SZ,X000100.SZ,X002241.SZ,X600089.SH,X600584.SH,X600418.SH,X600703.SH,X600372.SH,X000157.SZ,X000977.SZ,X600066.SH,X002049.SZ,X002028.SZ,X002236.SZ,X600741.SH,X600522.SH,X600183.SH,X601877.SH,X601799.SH,X002180.SZ,X600487.SH,X000921.SZ,X000661.SZ,X600460.SH,X000800.SZ,X002074.SZ,X002294.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.50013013917084,0,0,0,0,0,0.0224893303512429,0,0,0,0,0,0,-0.022768239117297,0,0,0.139654073594817,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526543556405182,-0.131406993551042,-0.0272846521799732,0,0,0,0,0
X000858.SZ,0.461112140789352,0,0,0,0,0,0,0.484499012117988,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0202720069933172,0,0,0,0,0,-0.0403977269455643,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0879104378764074,0,0,0,0,0,0,0,0.0387872097362962,0,0,0,0,0,0,0
X600276.SH,0,0.348848746228438,0,-0.150079751805271,0,0,0,0,0,0,0,0,0,0,0.104697175950204,0,0,0,0,0,0,0,0,0,0,0,-0.00385010608323107,0,0,0,0,0,0,0,0,0,0,0.121133551743705,0,0,0,-0.2709451452353,0,0.0121736107092038,0.241321316569759,0,0,0,0.145430612348208,0.212841948300194,0,0.0215164555278261,-0.111578883308859,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200760686609273,-0.0156141486519052,0,0,0,0,0,0,0,0.0251118180310421,0,0.644499986489973,0,0.1047285501547,0.0373598129618337,0,0,0,0.106552570193725,-0.0150696612645894,0,0,0,0,0.26297865378251,0,0,0,0,0.0266527133405927,0,0,-0.0955665681874225,0,0,0,0,0,-0.0777181664343998,0,0,0,0,0,0,0
X600690.SH,0.0827448813797301,0,0,0,0,0.048004942566155,0.452670495597235,0,0,0,0,0.0771044529269754,0,0,0,0,0.0188078227909382,0,0,0.0347416856972369,0,0,0,0,0,0,0,0.106988478556102,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.174587524066857,0,-0.0335530586990871,0,0,-0.118371493517023,0,0,-0.0372855020761028,0,0,0,0,0,0,0
X002415.SZ,0,0,-6.93889390390723e-18,0.0217300536427915,0,0,0.117834432903201,0,0,0,0,0,0,0,0,0,0.0621697195125156,0.113461022309548,0,0,0.059112736962778,0,0,0,0,0,0,0,0,0,0,0,0,0.158229083920201,0,0.0678318701894277,0,0,0,0,0.167796547923182,0,0,0,0,0,0,0,0.199774640390634,0,0,0,0,0.0918819413944454,0,0,0,0,0
X000651.SZ,0,0,0,0,0.242243935457278,0,0,0,0,0,-0.0653872444794349,0,0.0334910000096179,0,0.0295745834787917,0,0,0,0,0.0617751409804261,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.13159225701134,0,0,0,0,0,0,0,0,0,-0.00408970756409737,0.184826225581882,0,-0.0611227802494214,0,0,0,0,0,0,-0.07913583969085,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.110894754569434,0.614025955592559,0,0,0,0,0,0,0,0,0,0.168232624166162,0,0,0,0,0,0,0,0.0733239050016457,0,0.0456265547371079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00485893252920228,0,-0.0248179779818087,0,0.056880529735681,0,0,0,0,0
X003816.SZ,0,0,0,0.175469223366957,-0.0362082959005019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644242300304024,0,0,0,0,0,0,0.0424414252726428,0,-0.125823769465894,0,0.358631336763522,0.180650660960429,0,0,0,-0.546463953058524,0,0,0,0,0,-0.0592071230717943,0,-0.0351038657204309,-0.0925494252852549,0,0,0,0,0,-0.233755939165041,0,0,-0.0439628054633177,0.294280426398108,0,0,0,0,0
X000568.SZ,0.377678246918045,0.286022121159224,0,0,0,0,0,0.275951084497541,0,0,0,0,0,0,0,0,0,0,-0.00970104184748222,0.170872044698321,-6.93889390390723e-18,0,0,0,0,0,0.0663791528405284,0,0,0,0,0,0.0256808369259183,0,0,0,0,0,-0.0759407440722841,0,0,0,-0.106029749731144,0,0,0,0,0,0,0,0,-0.0393809931613403,0,-0.03059905401972,0,0,0,0,0
