,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X600703.SH,X000100.SZ,X600066.SH,X600271.SH,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X000581.SZ,X000623.SZ,X002475.SZ,X300124.SZ,X000568.SZ,X000800.SZ,X002294.SZ,X002129.SZ,X000400.SZ,X600582.SH,X600177.SH,X000869.SZ,X600839.SH,X000559.SZ,X000977.SZ,X002456.SZ,X002292.SZ,X000050.SZ,X600312.SH,X002007.SZ,X002465.SZ,X600252.SH,X300003.SZ,X002038.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.233300606614766,0,0,0,0.137579406081507,0,0,0,0,0,0.588805483307616,0,0,0,0,0.0548280643011764,-0.0418841316262694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,-0.0319124005519774,0.167165046439531,0,0,0,0,0,0,-0.00336597529831254,0,-0.145501876349329,0,0,0,0,0
X600519.SH,0,0,0,0,0.00801401993932365,0,0.20203459397147,-1.73472347597681e-18,0,0,0.206462852552713,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0681917987614825,0,0,0,0,0,3.46944695195361e-18,0,-0.0293295246972496,0,0,0,0,0,-0.0740503071657157,0,0,0,0,0,0,0,-0.00262043917798605,-0.0241732440615922,0,0,0,0,0
X000651.SZ,0.214035492911019,0,0,0.0675985180684896,0.153565028763691,0,0,0,0,0,0,0,0,0,0,0.14896776000929,0,0,0,0,0,2.71050543121376e-20,0,0,0.165963943326784,0,0,0,0,0,0,0,0,0.07305295111739,0,0.0651821877741814,0,0,0,0,0.0930411330687092,0,0,0,0,0,0,0,0,0,0,-0.0271089402803139,-0.0131225665061871,0,0,0,0,0,0
X002415.SZ,0,0,0.0331086468466921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228129704686173,0,0,0,0,0.192486117166546,0,-0.065592342648482,0,0,0,0,0,0,0.0179636926962682,0.0799393426290048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544359824787077,0,0,0,0,0
X000725.SZ,0,0,0.175765525584112,0,0,0,0,0,0,0,0,0,0,0,0.181899772833638,0.11118026067695,0,0,0,0,0,0.0025660189783039,0.117583845398451,0,0,0,0,0,0,0,0.128475488069601,0.0297290216387907,0,0,0,0,0.132560433333764,0,0,0,0,0,0,0,0,0,0.123598338684666,0,0,0,0,-0.00744698279814315,0.00468568281205857,0,0,0,0,0,0
X000625.SZ,0.347643838743254,0,1.73472347597681e-18,0,0,0,0,0.0654468742938309,0.155597526647406,0,0,0,0,0,0,0.00678186769688049,0,0.165401941683424,-0.0113464600229121,0,0,0,0,0,0,0,0,0.0932816680933614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700002414832996,0,0,0,0,0,-0.0337820686028785,-0.0250127823449499,-0.0164820681333564,0,0,0,0,0
X000858.SZ,0,0,0.0326366463095733,0,0,0,0,0.07078177313937,0.0719219891972837,0,0.0516697991941154,0,0.204495324690522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481920197901484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0268237515564618,0,0,0,0,0,0
X002304.SZ,0,0,0.0367987618737678,0,0,0,0.433783242894205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425504441840799,0,0,0,0,0,0,0,0,0,0.339475372645702,0,0,0,0,0,0,0,0,0,0,0,0.346237941370695,0,0.0588364836038815,0.0217094524566917,0,0,0,0,0,0
X000063.SZ,0.0553063015235531,0,0,0,0.0336931225712296,0,0,0,0,0.0222332442198907,0,0,0.0742725168693752,0,0.149123762900706,0.0943070078401614,0,0,0.0577369617742015,0,0.027651598094855,0,0.0562961494993727,0,0,0,0,0,0,0.0872048608527376,0,0,0,0,0,0,0.178470486439611,0,0,0,-0.00876628747200237,0,0,0,0,0,0,0,0,0,0,-0.0146936697244968,-0.0161109862477512,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0472815961508042,0,0,0,0,0,0,1.01884343681356,0,0,0,0,0.037309583898975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00296035030657249,0.00072213939091121,0,0,0,0,0,0
X600690.SH,0,0.0889503966606074,0.185225788043583,0,0,0,0.265106368271509,0,0,0,0,0,0.186782767233368,0,0,0.14128723175692,0,0,0,0,0,0,0,0.0744770448948724,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036454919397141,0,0,0,0,0,0
