,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X000063.SZ,X002129.SZ,X003816.SZ,X600703.SH,X000625.SZ,X002241.SZ,X000338.SZ,X601877.SH,X002049.SZ,X000596.SZ,X000661.SZ,X600089.SH,X002179.SZ,X300142.SZ,X600741.SH,X600460.SH,X000100.SZ,X002074.SZ,X000799.SZ,X600884.SH,X002236.SZ,X601799.SH,X000157.SZ,X600702.SH,X600779.SH,X600584.SH,X000733.SZ,X002007.SZ,X600183.SH,X002414.SZ,X000800.SZ,X300003.SZ,X002008.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.481078671326077,0,0.0677116887513234,0,0,0,0,0,0,0,0,0,0,0,0.0187909067262822,0.0685009205738546,0,0,0,0,0,0,0.0481372778542542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169983712341669,0,0
X000858.SZ,0.104419286700705,0,0,0,0.179129180669662,0,0,0,0,0,0,0,0,0,-0.00630928897502448,0,0,0,0,0,0,0,0,0,-0.00854131822227198,0,0.0667271429322919,0,0,0,0,0,0,0,0.169632892522451,0,0,0,0,0,0.245025554601454,0,0,0,0,0,0,0,0,0,0,-0.00797826024046455,-0.0264424659291192,0,0,0,0,0,0
X002415.SZ,0,0.0302789626674232,0,0,0,0,0,0,0.218904151778951,0,0,0.0179287665268476,0,0,0,0,0,0.0235481301561402,0,0,0,0,0,-0.0408915435962288,0,0,0.00253481176085863,0,0,0,0,0,0,0,0,0.101869018019568,0.00529043857217939,0,0,0,0.091762138297928,0,0,0,-0.0657895068638956,0,0,0,-0.0697085760628292,0,0,0,0,0,0,0,0.0378034995255796,0,0
X600809.SH,0,0,0,0,0.0393372142948121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545541021207649,0,0,0,0,0.123757109863512,0.0363304612470634,0,0,0,0,0,0,0,0,0,0,0,-0.0359904656472599,0,0,0,0.00687904208292781,0,0
X000568.SZ,0.278553502345295,0.317748231496,0,0.218086763174336,0,0,0,0,0,0,0,0,0,0,-0.0638903710100509,0,0,0,0,0,0,0,0,-0.0124914448906656,0,0,0,0,0,0.0302311669003492,0,0,0,0,0.00962724640865806,-0.0585901987121611,0,0,0,0.0572465525836686,0.0395212428637906,0,0,0,0,0,0,0,0,0,0,0.000852500154119523,0,0,0,0,0,0,0
X600276.SH,0,0.0319903830388499,0,0,0,0,0,0,0.198741901569876,0,0,0.115577767739012,0,0,0,0,0,0,0,0,0,0,0,0,-0.141289212307947,0,0,0,0,-0.0118882745444098,0,0,0,0,0.240676449239994,0,0,0,0,0,0,0,0,0,-0.0579074113353804,0,0,0.45114547737352,-0.166473593706846,0,0,-0.0253429898466643,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.340382995425201,0,0,0,0,0.059581102920682,0,0,0,0,0,0,0,0,0,-0.116827335379295,0,0.115991358740452,0,0,0,-0.0221443508593557,0.0516552520533753,0,0,0,0.0481473131704043,0,-0.117403526121459,0,0,0.0433690482442592,0,0,0,0,0,0.0979576313020402,0,0,0,0,0,0,0,0,0,0,0,-0.00644069396446147,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.134090217303226,0,0,0.116145653798482,0,0,0,0,0,0.0428910203226799,0,0,0,0,0,-0.22649194109479,0,0,0,0.149547971666876,0,0,0.0376751774613668,0,0,0.215161085336606,0,0,0,0.0156942183489129,-0.0332633457231702,0,0,0,0,0,-0.184065591842704,0,0,3.46944695195361e-18,0.0059618035637469,0,0,0,0.0130293596670924,0,0
X600690.SH,0,0,0.0983299801589957,0,0,0,0,0,0,0,0,0.0259321159184648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256587112467869,0,0,0,-0.0327568397117185,0,0,0,0,0,0,0,-0.020724438612124,0.203839429822653,0,0,0,-0.0137089948115349,0,0,0,0,0,0.0673974436628559,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00225890953613358,0.0772476420108392,0,0,0,0,0,-0.0401356135649851,0.125519908108138,0,0.0649429366592748,0,0,0,0,0,0.0177281101019729,0.0362734789568521,0.217036127337455,0,0,0.023799636337288,0.0889194638981346,0,0,0,0.0337105483884404,0,0,0.0516662278063215,0,0,0,0,0,0,-0.0457104126764666,0,0,-0.017797285211344,0,0,0,0,-0.0155351335343561,0,0
