,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X600066.SH,X002241.SZ,X000568.SZ,X000100.SZ,X600118.SH,X002292.SZ,X600031.SH,X002236.SZ,X002475.SZ,X000559.SZ,X600177.SH,X002506.SZ,X002074.SZ,X600372.SH,X300003.SZ,X000157.SZ,X002085.SZ,X000338.SZ,X300124.SZ,X002456.SZ,X000050.SZ,X002007.SZ,X002426.SZ,X002294.SZ,X002180.SZ,X002249.SZ,X600867.SH,X600089.SH,X000869.SZ,X002508.SZ,X002465.SZ,X002049.SZ,X600699.SH,X002179.SZ,X600522.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.294558669602126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461878036298675,0,0,0,0.0443130623398378,0,0.042393786909168,0,0,0.0816959752752173,-0.0399239850365894,0,0.0668459494751688,0,0,0,0,0,0,-0.0965219063779059,0,0,0,0,0,-0.105699868843341,0.0884003971431158,0,0,0,0,0,0
X600104.SH,0,0,0,0.0087884640087888,0,0,0,0.0709688238628361,0,0,0,0.112872604688612,0.0398989169335517,0,0,0,0,0,0,0,0,0,0,0,-0.00256460814491536,-0.0109985551872463,0,0,0,0,0,0,0,0,0.0231076474042019,0,0,0.0278484059853649,0,0,0,0,0,0,0,-0.0180111219531951,0,0,0,0,-5.42101086242752e-20,0.0476959160627181,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0533622961501443,0,0,0,0,0,0,0,0,0,0,0,0,0.00645650986873965,0.0201109272275007,0,0.0862009604346941,0,0,0,0,0.0745685707500332,0,0,0,0,0,0.0524050971241818,0.0827477302005181,0,0.0401111769392879,0,0,0,0.105086503134318,0,0,0,0,0,0,0,0.02400364454694,0,0,0,0,0.0381161072776394,0,0,0,0,0,0
X000858.SZ,0.00146065903464427,0,0,0,0.250538577824317,0,0,0,0,0.206475815378043,0.00273667460694916,0,0.0432555134727169,0,0,0.0395313054298259,0,0,0,0,0,0,0,0,0.0778573678474637,0,0,-0.000673702789067132,0,0,0,0,0,0,0,0.0597847006127368,0,-0.0261098655550282,0,0,0,0,0,0,0,0,0,0,0.00779726577766235,0,0,-0.01179700130633,0,0,0,0,0,0
X002304.SZ,0,0,0,0.560627886185574,0,0,0,0,0,0,0,0.0705896744881193,-0.127394928812822,0.11426201013649,0,0.170447043004711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101632474456764,0,0,0.215393059498405,0,0,-0.0604769174553051,0,0,0,0,-0.103608325158939,0,0,0,1.0842021724855e-19,0,0,0,0.0452453982968784,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0819326257728328,-0.0477794706979607,0,0,0.0349623364371407,0,0,0,0,0,0,0,0,0,0,0,0.000399144099263837,0.107907789732566,0,0,0,0,0,0.122382108643482,-0.00120794931685411,0,0,0,-0.0381904801466758,0,0,0,0,0.010563244781879,0,0,0,0.0281534917823071,0,0,0,-0.0129139086101758,0,0.123637644874647,0,0,0,0,0
X000725.SZ,0,0,0,0,-0.0264232678744122,0,0,0,0,0,0.0647062467164383,0,0,0,0,-0.0279862992514119,0.212162719329159,0,0.0192916921338936,0,0,0,0.166059533810389,0,0,0,0,0,0,0,0.0622693274634545,0,0.0390934917383061,0.0102385965115575,0.0437243286025562,0,0,0,0,0,0,0,0.0204569481776011,0.118052452287948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.016667701489874,0,0,0,0,0.102254350179403,0,0,0,0,0,0.17828921199559,0,0,0,0,0,0,0.135495343592352,-0.0360769482593279,0,0.0846009773883647,0,-1.73472347597681e-18,0,0,0,0,0,-0.0443258084586178,0.0175547913412474,0,0.0484072663434602,0,0,0,0,0,0,0,0,0.0918034512893481,0,0,0,-0.0777384329841282,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.326679598521848,0,0,0,0.109953931628074,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0432012510680287,0,0.159244985234179,0,0.0275063886633195,0,0,0,0,0,-0.00497565836740387,0,0,0,0.0321898770458651,0,0,0,0,0,0,0,0,0,0,0.142678096238878,0,0,0,0,0,-0.021464816596592,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.137643824983258,0,0,0,0,0,0,0,0,0,0,0,-0.022200867119193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070114568834382,0,0,0,0.0289563017435162,0,0,0,0.00953379918396036,0.0338063197899182,0,0,0.086875441150346,0.114002835263057,0,0,0,0,0.0400700514406307,0,0,0,0,0,0
