,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X000725.SZ,X600104.SH,X000063.SZ,X002129.SZ,X000596.SZ,X600031.SH,X002371.SZ,X003816.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X000100.SZ,X002241.SZ,X000661.SZ,X600702.SH,X002236.SZ,X002180.SZ,X600522.SH,X600584.SH,X601877.SH,X300142.SZ,X000977.SZ,X000157.SZ,X002074.SZ,X600741.SH,X600460.SH,X000733.SZ,X300003.SZ,X600183.SH,X000799.SZ,X000066.SZ,X002463.SZ,X600884.SH,X002414.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,6.93889390390723e-18,0,0.156380243904231,0.0413796418590025,0,0.0506908444383012,0,0.0836580381194186,0,0,0,0,0.0809502291816019,0,0,0,0.0294761615473891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300447694086654,0,0.0123236469259916,0.0641985650158995,-0.0221745804381157,-0.00486905577253179,0,0,0,0,-0.0326254110259347,0.0653645533289688,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.649511712188499,0,0,0.023174135254989,0,0,0,0.0013427146050226,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420235866042041,0,0,0.0860827703294253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0265227732344472,-0.0179334735682892,0,0,0,0,0,0
X002415.SZ,0,0.0384104071304015,0,0,0,0,0,0,0,0,0,0.0107728765586025,0,0,0,0,0,0.114075293179585,0,0.146436730896935,0,0,-0.0235491083297963,0.071089800830328,0,0.0868462308851995,0,0,-0.0881920944476966,0,0.308682299237984,0.062929462337647,-0.167696425243546,0,0,0,0.126408001023586,0,0,0,0,0,0,-0.0405365313580682,0,0,0,0,0,0,0,0.000829008038407889,0,0,0,0,0,0,0
X000568.SZ,0,0.413061247169842,0.156616528521672,0,0,0,0.250265959494611,0,0,0,0,0,0.0757564662269189,0,0,0,0,0.0047100688473061,0,-0.0802206479727113,0,0,0,0,0,0,0,0,0.105687629987633,0,0,0,-0.0315375693176341,-0.0174611615873825,0,0,0,0,0,0,0,-0.122541924620271,0,0.0714764861048726,0,0,0,-0.0979064699558492,0,0,0,-0.00414199656012529,0,0,0,0,0,0,0
X600809.SH,0,0.0697783688253157,0,0,0,0.0406261126119961,0.00401832539719268,0,0,0,0,0,0,0.039829401437149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125457628289312,0,-0.0272372660923092,0,0,0,0,-0.0934262975043391,0,0,0.281090773886266,-0.102320518669001,0,0,0,0,0,0.00397259963300693,0.00978680931068996,0,0,0,0,0,0
X600276.SH,0,0.0446731746756752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.100530655698299,0.00549751128465858,0,0,0,0,0,0.0462833147136131,0.0712057816106639,0,0,0,0.076826886200425,0.00418187780379322,0,-0.00541869001103633,0,0,0,0,0,0.383858915814147,0,0,-1.73472347597681e-18,0.025349953981815,0,0,0,0,-0.0291282993807466,-0.0119092823298464,0,0,0,0,0,0
X002304.SZ,0,0.373672588783323,0,0.271385465812991,0,0.0279670091226365,0,0,-0.0162676543614095,0,0,0,0,0,0,0.252122809942817,0.0107452970644485,-0.0130833231513591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535769570699748,0,-0.0449190273618617,0,-0.0291034550088018,0,0,0,-0.00601264816687476,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0430999775177234,0,0,0,0,0,0.114354450672423,0.0873812543633958,0,0,0,-0.0608291505117767,0,0.147642580904069,0,0,0,0.0449809930580141,0,0,0,0,0,0,0,0,0,-0.0240465591208107,0,0,0,0,0,0.00486145033601721,0,0,0.0683797435461015,0,0,0.063479966051495,0,0.0570068702150531,0,0,0,0,0,0,0,0.00786401652787605,0,0,0,0,0,0
X002475.SZ,0,0,0.0422078217686926,0,0,0,0,0,0,0,0.168550458159611,0,0,0,0,0,0,0,0,0.436124955636051,0,0,0,0,0,0,0,0.0637030509338205,0,0,0,0,0.223013209252702,0,0,0,-0.00674270356358885,0,0.107150951882873,0,0,0,0,0,0,0,0,0,0,0.231306074501216,0.395169585350403,0,-0.0161934576365222,0,0,0,0,0,0
X000651.SZ,0,0.132911398143487,0,0,0,0,0.0689657628884781,0.274448102392817,0,0,0,0,0,0,-0.0236134294154193,0,0,0,0,0,0.129070934003343,0.000338717869774514,0.0078164920779362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.0717515771783302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,-0.116298518686371,0,0,0,0,0,0.190728577792189,0,0,-0.154100429042013,0,0,-0.0485788991103267,0,0,0,0,0.101822308171547,0,0,0,-0.0484671705508884,0,0,-0.0473035633291363,0.0415989450761821,0.0408396223889382,0,0,0,0,6.93889390390723e-18,0,0,0.125210881781749,0,0.214356841957627,0,0.148205012851825,0,0,0,0,0,0,0,0,0,0,-0.0362674834922158,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0982684915704462,0.0240557111479218,0,0,0.0981811382909886,0,0,0,0,0,0,0,0,0,0,0.0150038199245114,0,0,0,0,0,0.122426662048116,0,0.013396500646131,0.109825976358379,0,0,0,0.0294450130424411,0,0,0.0983654278224931,0,0,0.00572514416323929,0,0,0,0,0,0,0,0,0,0.0623901793776743,0,0,0,0,-0.00647503534433185,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0459896857672993,0,0,0,0,0,0,0,0,0,0,0.204787877388325,0.05038064502663,0,0,0,0.00647292233479221,0,0,0,0,0,0,0.0371106838769599,0,0,0,0.059288006907605,0,0,0.262069796936005,0,0,0,0,0,0,0,0,0,-0.130977469456453,0,0.00245496399825378,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217063306231321,0,0,0.292375081497421,0,0,0,0,0,0,0,0,0.292149706652568,0,0,0.00524007308586001,0.14467005586998,0,0,0,0,0,0.0449274900206353,0,0,0,0,0,0,0,0,0.0283302374183058,0,0,0,0.274547018974676,0,0.0220757972142277,0,0,0,0,0,0,0
