,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000063.SZ,X000661.SZ,X003816.SZ,X300124.SZ,X000338.SZ,X000625.SZ,X600703.SH,X002241.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X600741.SH,X002007.SZ,X002371.SZ,X000157.SZ,X002129.SZ,X600584.SH,X601877.SH,X300142.SZ,X002179.SZ,X600183.SH,X002049.SZ,X002236.SZ,X002414.SZ,X000800.SZ,X300003.SZ,X601799.SH,X000066.SZ,X002185.SZ,X300136.SZ,X000977.SZ,X002456.SZ,X002008.SZ,X300146.SZ,X600118.SH,X600066.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.213388151928123,0,-0.148181848305778,0,0.102272563944993,0.0066634973699907,0,0,0,0.305521033006832,0,0,0,0,0,0,0,0.00482664766354622,0,0,0,0,0.0334689145258058,0,0,0,0,-0.116817675508387,0,0,0.107337472011462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200323804151434,0,0,0,0,0.0150076467559513,0,0
X000858.SZ,0,0,0,0,0,0,0,0.111322433901533,0,-1.73472347597681e-18,0.381382444884512,0,0,0,0,0,0.0134785459798951,0,0,-0.0438333525305042,0,0,0,0.0369225427114868,0.0687551199401441,0,0,0,0,0,0,-0.00611560430786581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287326231572615,0,0,0,0,-0.00145919597017403,0,0
X600276.SH,0,0,0,0,0,0.026580567865948,0,0.0691251466842087,0,0,0.0980232997468315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668645777995263,-0.0149965310770213,0,0,0,0,0.178694031629226,0,0,0,0.0453697886979696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00666021409997505,-0.0118339947338382,0,0,0,0.00679764699544052,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.145032226624392,0,0,0,0,0,0,0,0.012563933432663,0,0,0,0,0.0746940150216411,0,0,0.0576203736683128,0,0,0,0,0,0,0,0,0.203766643190982,0,0,0,0.046189601538185,0,0,0,0,0,0,0,0,0.00816170693465144,0,0,0,0,0,0,0,-0.00606884261587027,0,0
X000651.SZ,0,0,0,0,0,0,0.0804964921472703,-0.0218547402212042,0,0,0,0,0.211265429933381,0,-0.0279575641289563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103698548756015,0.251546970107145,0,0,0,0,0,0,-0.00521167996461025,0,0,-0.0307125315013055,0,0,0,0,0,0.0182481050081859,0,0,0.0160333016383185,-0.0281703803746293,0,0,0,-0.00169123550632909,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.0121989872323034,0,0,0,0,-6.93889390390723e-18,0,0,0.0154833092832847,0,-0.0206976805629142,0,0.494954223816425,0.046612588186919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614900508626896,0,-3.46944695195361e-18,0.178798253203592,0,0.0394067222596009,0.116130573850521,0,0,0,0,0,0.0116519445760943,0,0,0,0,0.0106042286090664,0,0
X600104.SH,0,0,0,0,0.0788260665194869,0,0,0,0,0,-0.148670954702531,0,0,0,0,0,0,0.157873785690117,0.115176037730385,0.0393302039604068,0,0,-0.0191389953473315,0,0.220931184898322,0.0290034226698646,0.0413513930229938,0,0,0,0,0.132712896651485,0,0,0,0,0,0.00979239388235906,0,0,0,0,0,0,0,0.0306274058617768,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.0356701223924726,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.219902565584815,0,0,0,0,0,0,0,0,0,-0.0995426428361964,0,0,0.229562498917861,0,0,0,0,0,0,0,0,0,0,0,0,0.0445410431725687,0,0,0,0,0.228499471159248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287806233248151,0,0
X000568.SZ,0,0,0,0,0,0,0,0.321497990692437,0,0,0.321243118967255,0,0,0,-0.0105327633347485,0,0,0,-0.139490605197022,0,0.107762639438657,0.104124722130024,0.009783939509415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800788230761411,0,0,0,0.0929534382367416,0,0,0,0,0,0.0490708616581574,0,0,0,0.00908870195474232,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0484155415278127,0,0,0,0.272389926813841,0,0,0.350603357700847,0,0,0,0.0488060800698372,0,0,0,0.0318803272932084,0,0.260642989830879,0.146634452725065,0,0,0,0,0,0,0,0,0.0268248112585951,-0.0863410339749224,0.0617106187479503,-0.121971677514167,0,0,0,0,0,0,-0.0645622576173134,0,0,0,0.0220430047486447,0,0,0,0,0.00104442828251147,0,0
