,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X000100.SZ,X002241.SZ,X000338.SZ,X002236.SZ,X600118.SH,X600271.SH,X601877.SH,X002085.SZ,X600177.SH,X000157.SZ,X002456.SZ,X600372.SH,X002007.SZ,X300124.SZ,X600699.SH,X300003.SZ,X002294.SZ,X000559.SZ,X600089.SH,X002292.SZ,X600867.SH,X002180.SZ,X600522.SH,X002426.SZ,X002074.SZ,X002506.SZ,X002508.SZ,X600498.SH,X000623.SZ,X002465.SZ,X000536.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0415075931381723,0,0,0,0,0,0,0.11961794262736,0,0,0,0,0.19477591221016,0,0.11959035795583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278265734898896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,2.16840434497101e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.0733613166815471,0,0.994008644116626,0,0,0,0,0,0,0,0,0,0,0,-0.0706620392677217,0,0,0.0555477713199457,0,0,-0.186246565455397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00681712210965779,-0.0274328278559331,0,-0.0372531004686856,0,0,-0.0074322625781691,0,0.0540278987590368,0,0,-0.0396063769036107,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.44094830017836,1.35458796801823,-0.111070929847938,0,0,0,0,0,0,0,-0.0339694618072406,0,0,0,0,-0.00812104123553283,0,0,0,0,0,0,-0.129180019636466,0,0,0,0,0,0,0.172185129249739,0,0,0,0,0,0,0.200470977750724,0,0,0,-0.045420444506062,0.0360781555039431,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0841019811055806,0.0265602382409529,0,0.111759796783874,-0.0467421222294907,0,0,0,0.0621651628684587,0,0,0,0,0.0450203319764127,0,0,0,0,0.0242967728903762,0,0,0,0.158885606118157,0,0,0,0.137978097987962,0,0,0,0,-0.0380534287909527,0,0,0,0,0,0,0,0,-0.0199290369389572,0.0129387372093275,0,0,0,0,0,0
X000858.SZ,0,0,6.93889390390723e-18,0,0,0,0,0,0.31987051724459,0,0,0,0,0,0.421343045824658,0,-0.0206636960912132,0,0,0,0,0,0,0.103757714414511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217379004588465,0,0,-0.0494188278410254,0,0,0,0,0,-0.0399946544725979,0,-0.00804886841164267,0.0133856849262153,0,0,0,0,0,0
X000725.SZ,0.0150015527433164,0,0.132577523818554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326236877413718,0.0339809280727363,0,0,0,0,0,0,0,0,0,0.0409376564166597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104116315665807,0.159721992881496,0,0.316403642325388,0,-0.00804568433281581,0.00696870250767328,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966381622167385,0,0.0166844416423273,0,0,0,-0.00481328480920695,0,0,0,-0.0120680706007297,0,0,0,0,0,0.141707181365646,-0.0696355133900336,0,0,0,0,-0.0631861123440825,0.0686173031028467,0,0,0,0,0,0,0,0,-0.0304726542239481,0,0.131188758028715,0,0,0.0109844882481112,0,0,0,0,0,0
X002304.SZ,0,0.136154069261257,0,0,0,0,0,0,0,0,0,0,0.219392188978465,0,0.159436534839253,0.0956877182566057,0,0,0.0309490186324674,0.0739303367378497,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.082862421043698,0,0,0,0,0,0,0.0696702212865752,0.0314529907698107,0,0,0,0,0,0,0,0,0.0213298923039835,0,-0.0828417816756656,0,0.00734582120362516,0,0,0,0,0,0
X000625.SZ,0,0.184145969927904,0.100209975497938,0,0.252950399825139,0,0,0,0,0,0,0,0,0.0250381423190335,0,0,0,0,0,0,0,0,0,0.0627768630682357,0,0,0,-0.071770805949957,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0840453692312146,0,0,0,0,0,-0.00441340291283048,0,-0.0144027797690461,0,0,0,0,0,0
X000063.SZ,0,0.00468932120032339,0.0928722292622593,0,0,0,0,0,0,0,0,0,0,0.0734413994524722,0,0,0,0,0,0.0320718125912483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15621333043597,0,0,0,0,-0.012527112152343,0,0,0.124694502962474,0,0,0,0.197461938224697,0,0,-0.0165701981100198,0,-0.000783760342162379,0,0,0,0,0,0,0
