,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600703.SH,X600741.SH,X600809.SH,X002241.SZ,X000100.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X601877.SH,X300014.SZ,X000157.SZ,X300124.SZ,X600183.SH,X002007.SZ,X300142.SZ,X000066.SZ,X000625.SZ,X002456.SZ,X002179.SZ,X300136.SZ,X002008.SZ,X002371.SZ,X600271.SH,X000977.SZ,X002463.SZ,X002180.SZ,X600177.SH,X600584.SH,X000050.SZ,X600066.SH,X002508.SZ,X600498.SH,X002049.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.181537144439309,0.0560040316900511,0,0,0,0,0.15543557833965,0,0.597332390553946,0,0,0,0,0.0745179372631841,0,0,0.0061974341555246,0.0948835325882105,0,0,-0.0379067604479859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00274681411800089,0.0108792795820429,0,0,0,0,-0.00644493419566525,0,0,0,0,-0.00747848353820034,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0452275183700037,0,0,0.057872983419235,0,0,0,0,0,0,0.451744390439014,0,0,0,0,0,0.0202771848908018,0,0.00196059732737758,0.00985987857002849,0.0389833700731358,0,0,0,0,0.0329488644110105,0,0,0.0164872425917756,0,0,0,0,0,0,0,0.0450129864787748,0,0,0,0,0,0,0,0,0,0,0,-0.00356829390180158,0,0,0,0,-0.00437418111594731,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0712986764030948,0,0,0,0,0.336114632724194,0,0,0.120742711321754,-0.206081752456396,0,0,0,0.0566087631643205,0,0,0,0,0,0,0,-0.154955810106669,0,0,0.00852348972012065,-0.0634130816185181,0.00405554037249048,0,0.101995820412585,0,0,0,0,0,0.0306556611593422,0,0.0628372732956501,0,0,0,0,8.67361737988404e-19,0.158467674376547,0,0.0196348033362161,0.0209262013087134,0,0,0,-0.0274420152604818,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339816070048408,0,0,0,0,-0.0149270243320647,0,0.143753444290046,0,0,-0.01937370950083,0,0,0,0.0413896595998972,0,0.0635324479247671,0.100367711867974,0,0,0,0.0722090018759448,0,0,-0.0818473206869273,0,0,0,0,0,0,0,0,0,0,0,0,-0.055417354397002,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0326949473544066,0,0,0,0,0,0,0,0.0963861936284697,0,0,0,0,0,0,0,0.506538154659366,0,0,0,0,0,0,0,0,0,-0.0268884861842522,0,0,0,0,0,0.0519724942173971,0,0,0,0,0,0,-0.0840788416922188,0,0,0,0,0.117044521974873,-0.0761868339088108,0,0,0,-0.12058075749998,0,0
X600104.SH,0,0,0,0,0,0,-0.000466636381069851,0,0,0,0,0,0,0,0,0,0.0935047137214492,0,0,0,0,0,0,0,0,0.0439268125965371,0,0.0374523594504996,0,0,0,-0.0371810122093844,0,0,0,0,0,-0.0705042425490066,0,0,0.0325263666167174,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0102165182457777,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0228466206489727,0,0,0,0,0,0,0,0,-0.045556129975482,0,0,0.283405550494895,0,0,0,0,0,0.0210963684709228,0,0,0.0315329813409134,0,0,0.22839703879034,0,0,0,0,0.320511308581032,-0.138989902681054,0,-0.0845025306908123,0.0179471531576431,0,0,0,0,0,0,0,0,0,0,-0.036873328921338,0,0,0,0,0.0278814911073452,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.0308011289413442,0,0.0971531321912102,0,0,0,0,0,0,0,0,0.0719906437128196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124407082361444,0,-0.0929963248766679,0,0.00250658002237818,0.0396850651035931,0,0,0,0.185606069284729,0,0,0,0,0.0958237602779332,0,0.0782305471632202,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0103615515550347,0,0,0,0,0,0,0,0,0,0.0428136235288843,0,0,0,0.0222597807967978,0,0,0,0,0,0.231394768579431,0,0,0,0,0,0.0507365084456378,0.0829691815442577,0,0,0,0,0,-0.0215334439299007,0,0,0,0.0228559232091502,0.00136014136961334,0,0,0,0,0,0,0,0,0,0,0.0110349161031894,0.0574429264895315,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.0195858634459879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147232601479697,0,0,0.00574827588494601,0,0.0462068962386902,0,0.0443594776297413,0,0,0,0.0332700993527655,0,0.0213493503783972,0,0.0256089310087241,0,0,0.017721034563601,0,0.026306605764952,0,0,0.0809697869933471,0.109583910166266,0,0,0,0,0.0474110361838481,0,0,0,0,0,0,0.0415323576695865,0,0
