,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X002304.SZ,X000568.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X002371.SZ,X300124.SZ,X300014.SZ,X600703.SH,X000338.SZ,X000625.SZ,X000063.SZ,X002129.SZ,X002241.SZ,X002049.SZ,X003816.SZ,X300142.SZ,X601877.SH,X000661.SZ,X002179.SZ,X000596.SZ,X000100.SZ,X600460.SH,X000799.SZ,X600089.SH,X000157.SZ,X600702.SH,X600741.SH,X002074.SZ,X002236.SZ,X002414.SZ,X002007.SZ,X600584.SH,X600779.SH,X600183.SH,X600884.SH,X000800.SZ,X601799.SH,X000733.SZ,X300146.SZ,X002008.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.225671857455127,0,0.0752675365897699,0,0,0,0,0.149476579330205,0,0,0,0,0,0.0397261640404572,0,0,0,0,0,0.0751962077100732,0,0,0,0,0,0.00151671379830236,0,0,0,8.67361737988404e-19,0,0,0,0.0639838592954402,0,0,0,0,0,0,0,0,0,0,0,0,0.042542813626479,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0821731571980474,0,0,0,0.305110780441879,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.119206484326924,0,0,0,0,0,0.00302179713164581,0,0,0,0,0.0215812249918824,0,0,0.0822853472503533,0,0,0,-0.0756722608013539,0,-0.076726106020899,0.173407435840773,0,0,0,0,0,0,0,0,0,0,-0.0028150973770947,0,0,0,0,0,0
X002415.SZ,0,0.181196857403418,0,0,0.0474490021733848,0,0.0477349745827571,0,0,0,0,0,0,0,0,0.144851765512803,0.0469403659566594,0,0,0,0.0327920648809523,0,0,0,0.0632038719905584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408003437395707,0,0.0920212481665849,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.157469763926581,0.173847775818014,0,0,0,0,0,0.0523605370131053,-0.0723384073099356,0,0,-0.105557795010933,0,-0.0370685448242094,0,0,0,0,0,0,0,0,0,-0.0444766224770803,0.470325750752777,0,0,0.132415105103777,0,0,0,0,0,-0.00165812403009409,0.0184582111578377,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0410244350081594,0.0789299256176572,0,0,0,0,0,0
X600276.SH,0,0.309017812239261,0,-0.232084269382605,0,0,-0.0391822943164517,0.0488085093002599,0,0,0,0,0,0,0.131239613815473,0,0.0784358659409226,0,0,0,0.0966910388813612,0,-0.335527291750919,0,0.101686163070482,0.0385892510550475,0.0604463462171351,0,0,0,0,0.320031160023296,-0.0406071133807048,0,0,0,0,0,0,0,0,0,0,0.0950254574044696,0,0,0,0,-0.174336801963166,0,0,0.00644330044473761,4.33680868994202e-19,0,0,0,0,0,0
X000651.SZ,0.168193477943142,0,0,0,0.0346133608747539,0,0,0,0,0.0688242956714544,0,0,0,0,0,0,0,0,0,0.1578115670134,0,0,0,0,0,1.73472347597681e-18,0.0652247727499778,0,-0.0420241162490476,0,-0.0387405110684158,0,0,0,0,0.0201947278291492,0,0,0,0,0,0.0229808562813836,0,-0.0622016384226428,0,-0.0830006836139761,0,0,0,0,0,-0.0741458198299364,0.112859394413922,0,0,0,-0.116338896950499,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0208260273699454,0,-0.0283697359639102,0,0,0,0.0318051648117105,0,0,1.73472347597681e-18,0,0,0,0,0.269353036446558,0.106538738715882,0,0,-0.0385462048578456,0,0,0,0,0.151524325253632,0,-0.108607268499241,0,0,0,0,0,0,0,0,0,0,0,0,0.244173905687342,0,0,-0.0352936238848453,0,0,-0.00633570011098099,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.389875926477291,0,0,0,0,0.418352142984311,0,0,0,0,0,0,-0.113951081995932,0.158147875191112,0,0,0.0307250256922807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0916025793013904,0,0.0324028113101195,0,0,0.0881936534501114,0.172858269287223,0,0,0,0,0,0.0155259219404412,0,0,0,0,-0.0573984259621884,0,0,0,0,0,0,0
X000568.SZ,0,0.417338438214495,0,0.150135532423218,0,0,0,0.132900181609436,0,0,0,-0.190222711267682,0,-0.0137694067198524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117739597925165,0,0,0,0,0,0,0,0,0,0,0,0,0.036178950839105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,3.46944695195361e-18,0,0,0.163697568789538,0,0,0.102974192493199,0.123892521224226,0,0,0,0,0,0,0.0300354259810757,0,0,0,0,0,0,0,0,0,0,0.108415256422418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347112202242027,0,0,0,0,0,0,0,0,0,-0.0699755959380912,-6.93889390390723e-18,0,0,0,0,0,0
X600031.SH,0,0.0461372206018238,0,0,0,0,0,0,0,0,0,0,0,-0.152713709232801,0,0.00313585972560346,0.0953606566444737,0,0,0,0,0,0,0,0,0,0,0.179757189288209,0,0,-0.0165641239524179,0,0,0.486634872801788,0.0876451496218953,0,0.0138002601912285,0,0,0,0,0,0,-0.0188887310667861,0,0.0898036210841715,0.0318996580253219,0,0,0,0,0,0.0832442636242035,0,0,0,0.101915925022383,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116908045198432,0,-0.0178468559483083,0,0,0,0.0381568524952497,0.0246061954243207,0,0.184699034128663,0,0.00472181493176725,0,0.0973676065008116,0,0,0,0.115502003523499,0,0,0,0,0,0,0,0.0369990314846247,0,0,-0.158647614844844,0,0,0,0,0,-0.00220482029883543,0,0,0,0,0,0
X000725.SZ,0,0,0,-0.00775409359768846,-0.0215336675583372,0,0,0,0,0,0,0,0,0,0,-0.0392555889354694,0,0,0,0,-0.00346497844934873,0,0,0,0,0,0,0,0,0.367297200224573,0,0,0,0,0.0182796564370269,0,0,0,0,0,0,0,0,0,0.222532251134255,0,0,-0.0219578449063761,0,0,0,-0.00871018085160139,-0.0151681089194955,0,0,0,0,0,0
