,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X000725.SZ,X600031.SH,X002241.SZ,X002371.SZ,X300124.SZ,X600703.SH,X000063.SZ,X003816.SZ,X000338.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X601877.SH,X002179.SZ,X000661.SZ,X300142.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600089.SH,X600460.SH,X600702.SH,X002236.SZ,X600884.SH,X000799.SZ,X002180.SZ,X000733.SZ,X000157.SZ,X600779.SH,X601799.SH,X600522.SH,X002008.SZ,X002414.SZ,X600584.SH,X600183.SH,X002007.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.561121615951447,0,0,0.0397492785752613,0,-0.0535482802203395,0,0,0,0,0,-0.0463437929287846,0,0,0,0,-0.0127902051483202,0,0,0,0,0,0.123340949575333,0,0,0,0,0,0,0,0,0.0333350676894358,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.0186276100360488,0,0,0,0,0,0,0,0,-0.00279523398851014,0,0,0,0,0,0
X000858.SZ,0.37717937302465,0,0,0.206245755468299,0,0,0,0,0.248744058067658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852398669950793,0.0137581114399329,0,-0.00414128119131749,0,0.276674199208313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0836229697084577,0,0,0,0,0,-0.0529814673530901,0,-0.0104576365239447,0.0127180728318402,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.187324306415245,0,0,0.350726260030599,0,0,0,0,0,0,0,-0.0207743791121966,0,0,0,0.0839044659185569,0,0,0,0,0,0,-0.0779385128986888,0,0,0,0,-0.0650299710444047,0,-0.113687733678097,0.132917633807783,0,0,0,0,0,0,0,-0.0519598023237779,0,0.079443179037242,0,0,0,0,0,0,0.0229067288884403,0,0,0,0,0,0
X600809.SH,0,0.403556939350812,0,0,0,0,0,0,0,0,-0.0390004367381391,0,0,0,-0.0374623876301905,0,0,0,0,0,-0.25806589885622,0,0,0,0,0,-0.152724985656319,0,0,0,0,0,0,0,0.297980441918671,0,0,0.0859800823954318,-0.0218617704888785,0,0,0.0509914458146632,0,0,0,0.082651710526705,0,0,0,-0.0335762113032916,0,8.67361737988404e-19,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543473917968467,0,0,0,0,-0.00611678550644898,0,0,-0.0364829680507945,0,0,0,0,0,0.0119857635956496,0,0,0,0.0925029396636321,0,-0.104844542502111,0,-0.1723759349249,0,0,0,0,0,0.0288626062041401,0,0,0,0,0,0,0
X002475.SZ,0.160255097057525,0.0691257146017795,0.109487587039256,0,0,0,0.098977871825421,0,0,0,-0.0490504248562249,0,0,0,0.0306772070276907,0.0941793831495901,0.0844256343507483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0374519065894397,0,0,0,0,-0.141185910282514,0,0,0,0,0,0,0.164381791430849,0,0,0,0,0,-0.073425707834551,0,0.00367392346746308,0,0,0,0,0,0,0
X600276.SH,0,0,0.140126831651962,0,0,0.0447984507023943,0,0,0,0,-0.0706548576791037,0,0,0,0,0,0,0,0,0,0,0,0.0210346972735639,0,0,0.121860717133298,-0.206526829920009,0,0,0,0,0,0,0,0,0,-0.0961753429985441,0,0,0,0,0,0,0.0298084801490517,-0.0649626110496896,0,0,0,0.217651774272975,0,0,-0.0183285125860669,0.0175773196541835,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.121343722206849,0,0,0.158761806159407,0,0,0,0,0,0,0,0,0,-0.0112701816857783,0,0.0879762570816058,0,0,0,0,0,0,0.179240549589946,0,0,0,0,0,-0.062069231722852,0,0,0,0.340436208427358,0,0,-0.0234721209085956,0,0,0,0.0275121439859039,0,0,0,0.00303838532522894,0,0,0,0,0,0,0
X002304.SZ,0,0.299316036941062,0.130353846764337,0.135104595636761,0,0,0,0.111717015472931,0,0,-0.0449918403670277,0,0,-0.147138631952273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610683960444885,0,0.113240623357097,0,-0.0865213513195743,0,0,0,0,0,0.00835731304765284,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202920945836189,0.161480558758341,-0.0752996865794533,0,0,0,0,0,0,0,0,0.0511484214661228,0,0,0,-0.0203607820936949,0,0,0.0137093515171644,0,0,0,0,0,0,0,0,0,0,0,0,0.0264420486812527,0,0,0,0,-0.0723856779796893,0,0,0.0475457611240903,0,0,0,-0.117100451886159,0,0
