,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X600089.SH,X002241.SZ,X000100.SZ,X600118.SH,X600703.SH,X601877.SH,X000568.SZ,X000623.SZ,X000581.SZ,X000550.SZ,X600066.SH,X600271.SH,X002236.SZ,X000800.SZ,X000869.SZ,X600177.SH,X300124.SZ,X000559.SZ,X002294.SZ,X002475.SZ,X600839.SH,X000400.SZ,X000050.SZ,X002129.SZ,X002456.SZ,X000977.SZ,X002465.SZ,X600809.SH,X002007.SZ,X002292.SZ,X300003.SZ,X600252.SH,X600312.SH,X002038.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.190380669518226,0.0949973050466126,0,0,0,0,0,0,0.335292284247332,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.117401364668883,-0.0450607862270022,0,-1.73472347597681e-18,0,0.000826395842199673,0,0,-0.0544436180708444,0,0.00662279774831262,0,-0.0845062961460549,0,0,0,0,0,0.0111127461695478,0,0,0,0.0118554317984745,0,0,-0.0483165404375086,0.00904331710682006,0,0,0,0,0,0
X600519.SH,0,0,0.0701251897173696,0,0,0.0342217046896079,0.247835196850532,0,0,0,0.33579086672847,0,0,0,0,0,0,0,0,0,0.095298406999183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366525126500097,0,-0.049214918850408,0,0,0,0,0,0,0,0,0,0,0,0,0.0271153758383749,-0.0285996047429073,-0.129563352567628,0,0,1.73472347597681e-18,0,0
X000725.SZ,0,0.0285976059164183,0,0,0,0,0,0.10210398863577,0,0,0,0,0,0,0,0,0,0,0.352421268126281,0.0939912610243689,0,0,0.0399484807098315,0.0987538453349015,0,0,0,0.166664856200834,0,0,0,0.129364867000435,0,0,0,0,0,0,0,0,0,0,0,0,0.0223307759469249,0,0,0,0,0,0,-0.038455485976139,0,0,0,0,0,0,0
X000651.SZ,0.113022810130663,0,0.170017878010839,0,0,0,-0.0053346492192556,0,-0.0845981580839106,0,0.257033360085657,0,0.0557373168744452,0,0,0,0,0.336838708547865,0,0,0,0.140571521372615,0,0,0,0,0,0,0,0,0,0.120261771919518,0,0,0,0,0,0,0,0,0,0,0,0,0.00613038489444563,0,0,0,0,0,0,-0.0290540681671036,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.00562363904440509,0,0,0.000452137514053458,0,0,0,0,0,0,0,0,0.0494898955737986,0,0,0,0,0,0,0,0,0,0,0.393515628117539,0,-0.0290987377177441,0,0,0,0,0,0.124719063665095,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198253011002154,-0.0294658769406892,-0.198150434380747,0,0,0,0,0
X000858.SZ,0,0.01010909806173,0,0,0,0,0.1332570524461,0,0.00371211185808137,0,0.0103133216290074,0,0,0,0,0,0,0,0.0106665031166618,0,0,0,0,0,0.00261611145364893,0.0596407838194494,0,0,0,0,0.00274861431317967,0,0.000195349555605783,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0293054064036384,0,0,0,0,0,0,0,-0.033519359050774,0.0250905549296299,0,0,0,0,0,0
X002304.SZ,0,0.00343278915472558,0.0720731315215108,0,0,0,0,0,0.0271044543816316,0,0,0,0,0,0,0,0,0,0.188930927960644,0,0,0,0,-0.0798552720834663,0,0,0,0,-0.0929320070697114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417808512023036,0,0,0,0,0,0.198925555705473,0,0,0.0184897681430349,0,0,0,0,0,0
X000625.SZ,0.310050752417714,0,0,0,0,0,0,0,0,0.102685974616471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124515333411297,0,0.015594137890012,0,0,0.121407232467904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728923688739938,0.0141857957344135,0,0,0,0,0,-0.0346843218275924,0,0,0,0,0,0,0
X600031.SH,0.0659592094533873,0,0,0,0,0,0,0,0,0.0804759324563772,0.230476172151199,0,0,0,0.755068942828864,0,0,0,0.0147525779647795,0,0,0.0200522303817284,0,0.0148046568361295,0.0107215420472976,0,0.0315495336412232,0,0,0,0,0,0,0,0.0594185711233385,0,0,0,0,0,0,-0.116814267844962,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X000063.SZ,0.188943924739987,0,0,0,0,0,0.0290709873015079,0,0.0187220996175154,0,0,0,0.00207925280293493,0,0,0,0,0,0,0,0.168102360774046,0,0,0,0,0,0,0,0,0,0,0.154695682264124,0,0.0543098775860234,0,0,0.0210751522870551,0,0,0,0,0,0,0,0.0393331198037911,0,0.0483576186695783,0,0,0,0,0,0,0,-0.0206014532281753,0,0,0,0
