,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000063.SZ,X000661.SZ,X003816.SZ,X000625.SZ,X300124.SZ,X000338.SZ,X002241.SZ,X300014.SZ,X600703.SH,X000596.SZ,X600741.SH,X000100.SZ,X002371.SZ,X002007.SZ,X600584.SH,X601877.SH,X000157.SZ,X002129.SZ,X300142.SZ,X002179.SZ,X600183.SH,X002236.SZ,X002049.SZ,X002414.SZ,X000800.SZ,X601799.SH,X300003.SZ,X300136.SZ,X002185.SZ,X000066.SZ,X002008.SZ,X002456.SZ,X000977.SZ,X600118.SH,X300146.SZ,X600066.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.312096410307072,0.00847167908314094,-0.119577197980715,0,0.0711856032695392,0,0,0,0,0.249261024945023,0,0,0,0,0,0.0160127361687312,0,0,0,0,0,0,0,0.0508353786307141,0,0,0,0,0,-0.135947115992605,0.121739870082646,0,0,0,0,0,0,0,0,0.0289226139506634,0,-0.0357519596732317,0,0,0,0,0,0,0,0,0.0308856733815379,0,0,0,0,0.0187273554901464,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0986375326967504,-1.73472347597681e-18,0.373815435702973,0.023490663386255,0,0,0,0,0,0.00147157604294564,0,0,0,-0.0310168809172588,0,0.106925329361621,0.0301309395878455,0,0,0,0.00899929889395844,0,0,-0.0328032256130148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246729105147992,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.039452331629505,0,0,0.035187467197861,0,0.153016985481293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606871445167833,0,0,0.0425302007665756,0,0.035180623150441,0,0,0,0.0852202906571442,0,0,0,0,0,0,0,0,-0.195301206088968,0,0,-0.0244636276726473,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0558400954528049,0,0,0,0,0.10521210348535,0,0.0557695060063335,0,0,0,0,0,0,0,0,0,0,0,0.00278920639773069,0.0548761827621519,0,0,0,0,0,0,0,0,0.291816099568212,0,0,0,0.0342868792115085,0,0,0,0,0,0,0,0,0,0.0367156543713426,0,0,0,0,0,0,0,-0.00270272204234636,0,0
X000651.SZ,0,0,0,0,0,0,0.0741179683543527,0,0,0,0,0,0.251596702598135,0,-0.0515619144069207,0,0,0,0,0,0.0383503753028117,0,-0.063524082825585,0,0,0,0,0,-0.0449924065443253,0,0,0.0645781036326386,0.170706913228625,0,0.0367722011442456,0,0,0,0,0.0216898437223197,-0.0651857347922496,0.00323257114579253,0,0,0,0,0,0,0,0,0,0,-0.0258031305740663,0,0,0,-0.00834456020848111,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0192067325780589,0,0,0,0,0,0.121289754199942,0,0,-0.0306302153918066,0,0,0.471207597507048,0.0105954532105921,0,0,0,0,0,0,0,0.0356910679609373,0,0,0,0,0,0,0,0,0,0.104609531438502,0,0.0184189804921212,0,0,0.102847997987771,0.0689415761308314,0,0,0,0,0,0,0.0261644779870109,0,0,0,0,0.00346902553151359,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0313553218365415,0,-0.03266230908158,0,0,0,0,0,0.168437714852103,0,0.220133473921563,0,0,0,-0.0206242939570304,0.0782485059622777,0,0.221628591282123,0.0985798808335372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0349226622723898,0,0,0,-0.0374566366820034,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.296320520396097,0,0.349290831565002,0,0,0,-0.0630185526874184,0,-0.0942259497648324,0,0,0.130093475105531,0.0415697160685672,0,0.00921115973634932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600565662629471,0,0.0715776106861231,0,0,0,0,0,0,0.199928825102778,0,0,0,0,0.0395836293670688,0,0,0,0.0106334381364422,0,0
X002304.SZ,0,0.0654768085246242,0,0,0,0,0,0.215202398754702,0,0,0.0378205474954902,0,0,0.00646213888845056,0,0,-0.112243850527704,0,0,0,0.267960096257379,0,0.0996003089357624,0,0,0,0,0,0,0,0,0,0.051006205185174,0,0,0,0.0640160533443985,0,0.0435555352769577,0,0,0,0,0,0,0,0,0,0,0,0,0.00238063287444361,0,0,0,0,-0.0358577583199375,0,0
X600031.SH,0,0,0,0,0,0,0.16477669694701,0,0,0,0.245912338244444,0,0,0,0.261453210814264,0,0,0,0.228852301378644,0,0.0285848387943593,0,0,0,0,0,0.00514668764577015,0,0,-8.67361737988404e-19,0,0.0710353526358441,0,0,0,0,0,0,0.0798017703348391,-0.17140020328813,0,0,0,0,0,0,0,0,0,0,0,0.0635369049269314,0,0,0,0,0.0363813124001413,0,0
