,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000625.SZ,X000725.SZ,X002371.SZ,X000338.SZ,X000063.SZ,X600031.SH,X000596.SZ,X300014.SZ,X000100.SZ,X600089.SH,X002179.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600372.SH,X000157.SZ,X002236.SZ,X000661.SZ,X600741.SH,X002049.SZ,X600584.SH,X000977.SZ,X601877.SH,X002028.SZ,X600522.SH,X600183.SH,X002463.SZ,X000800.SZ,X002074.SZ,X002007.SZ,X601799.SH,X300142.SZ,X600460.SH,X600066.SH,X002294.SZ,X002223.SZ,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0871831803008106,0.328353200459025,0,0.0924766607375535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161800636176448,0,0,0,0,0,0,0.0817780329129304,0,0,0,-0.010982573614941,0,0.0195601828742705,0,-0.00619286096675557,0,0,0,0,0.0227697438314899,0,0
X000858.SZ,0.0766084782274723,0,0,0,0,0.440168924733446,0,0.0425738154702342,0,0,0,0,0,-0.0380620794572147,0,0,0,0,0,0,0.164441425260666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327122878269693,0,0,0,0,0,0,0,0,0,0,0,-0.00280931413747118,0,0,0.00940745248271849,0,-0.0133614711453512,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.14270380861579,0,0,0,0,0,0,0,0.391727373409987,0,0,0,0.0916355090994743,0,0.119620650166997,0,0,0,0,0,0,0,0,0,0,0.0417130832512962,0,0,0,0,0,0,0,0,0,-0.0831656106452033,0,0,0,0,0.00673117964808505,0,0,0,0,-0.0112177814008925,0,0
X600276.SH,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.00153318682896687,0,0,0.182659899508248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33069579214878,0,0,0,-0.0326029432878246,0,0,0.0430328689528324,0,0,0,0,0.226436320866739,0,0,0,0.177530768723428,0,0.10509928215936,-8.67361737988404e-19,0,-0.0264698488210083,-0.000929647119429846,0.00969439744330257,0,0,-0.00699045209756091,0,0
X600809.SH,0.139633934524668,0,0,0,0,0.424014348884614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32927660598083,0.0270417221469297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293992308590668,-0.0688553704949586,0,0,0,0,0,0,0,0,0,0,0,0.00158182408908148,0,0,0,0,0,0
X000568.SZ,0,0.587672468919316,0,-0.0364555023386884,0.140231136871474,0,0,0,0,0,0,0,0.155937293567735,0.0770332126101105,0,0,0,0,0,0,0,0,0,-0.21800246423383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801944470182211,0,0,0,0,0,0.145172665331345,0,0.0196696192384321,0,0,-0.0076683894670891,0,0.0033872409037008,0,0,0,0,-0.105712380666741,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053968908205658,0,0,0,0,0,0,0,0,0,0.18924865545883,0,0,0,0,0,0,0,0.0426445332216458,-0.112520368601705,0,0,0.0847095462391783,0.0965077629348564,-0.0111423466721662,0,0,0,0.0892435962371298,0,0,-1.73472347597681e-18,0,0,0.111770869860836,0,-0.0305672814925858,0,0,0,0,0,0,0
X600690.SH,0,0.0553305633669333,0,0,0.0485767276943541,0.229092271791061,0,0,0,0,0,0,0,0,0,0,0.0736383931032916,0,0,0,0,0,0,0,0,-0.0191692834506622,0,0,0,-0.0192634785351112,0.0150765136756782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278054844818275,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.259798857041527,0,0,0,0,0,0.0383233554238402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07509864035358,0,0,0,0.0469994026028537,0,0,0,0,0,0,0,0,0.12676170710089,0.0101388459828384,0,0,0,0,0,0,0.00205545162253151,0,0,0,0,0,0,0
X003816.SZ,0,0,-0.0658354947507444,0,0,0,0,0,0,0,0,0,-0.0419441536720894,0.0368545590136413,0,0,0.110171570705967,0,0,0,0,0,0,0,0,-0.0932336291762577,0,0,0.000902376154694979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103820088287939,0,0,0,0,0,0.0512365315348747,0.121013344816282,0,0.00936259278919399,0,0,0,0.0940960947793292,0,0
