,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X000568.SZ,X003816.SZ,X002371.SZ,X300124.SZ,X000725.SZ,X600104.SH,X600031.SH,X000063.SZ,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X002463.SZ,X002241.SZ,X600089.SH,X600584.SH,X600703.SH,X600372.SH,X000977.SZ,X000157.SZ,X002236.SZ,X600418.SH,X600066.SH,X002049.SZ,X600741.SH,X002028.SZ,X600522.SH,X600183.SH,X601877.SH,X000921.SZ,X000661.SZ,X002180.SZ,X002074.SZ,X002129.SZ,X601799.SH,X600487.SH,X000800.SZ,X600460.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.494454036787211,0,0,0,0,0,0,0.10208119702841,0,0,0,0,0,0,0,0,0.174668672444422,0,0,0,0,0,1.73472347597681e-18,1.38777878078145e-17,0,0,0,0,-0.0680548366743046,0,0,0,-0.0137047597482127,0,0,0,0,0,0,0,-0.0492209913872337,0,0,0,-0.019135685324267,0,0,0,0,0,0.0699942387374649,-0.115086792430244,0,0,0,0.00571603183504909,0,0
X000858.SZ,0.423102874721253,0,0.0912965224732398,0,0,0,0,0.286898070709382,0,0,0,0,0,0,0,0,0,0,0,0,0.101706681214214,0.0147730915864538,0,-0.0678369597511424,0,0,0,0,0,0,0,0,-0.020326620286884,0,0,0,0.127219121268547,0,0,0,0.0685114014493412,0,0,0,0,0,0,0,0,0,0,0.00946705139899341,0,0,0,0,0,0,0
X600276.SH,0,0.211064510529286,0,0,0,0,0,0,0,0,0,0.0631657079067312,0,0,0,0,0,0,0,0,0,0,0,0,-0.052514748084696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148575820484792,0.367725436132501,-0.130675811568806,0,0.0988511669554332,0,0,0,0,0.216586061446758,0,0,-0.0471282286622521,0,0,0,-0.0595642822176628,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0445980682850502,0,0,0,0,0,-0.0693520769416202,0,0,0,0,0,0,0,-0.0888495659855358,0,0.118061739596716,0.504085885075785,0,0.150777920972014,0,0,-6.93889390390723e-18,0,0,0.044801972131358,0,0,0,0,0.231100213674787,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438809908316469,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0882426208958061,0.112492311904,0,0,0,0,0,0,0,0.0305081003116763,0,0,0.0717082822948589,0,0.0617320220642897,0.00352175145553755,0,0,0.0326783252607418,0,0,0,0,0,0,0,0,0,0,0.228984332444159,0,0,0,0,0,0,0,0,0,0.0182405775877936,0.134186903004708,0,0,0,0,0,0,0,0.0839527316357654,0,0,0,0,0
X600690.SH,0.0512939007179621,0,0,0,0,0,0.443943651013524,0,0,0,0,0,0.0796019997445068,0,0,0,0.0503714894779128,0,0,0.025874883798194,0.0257386525697336,0,0,0,0,0,0,0,0,0,0,0,0.0822180705596089,0,0,0,0,0,0,0,0.183648346577699,0,0,0,0,0,0.00273359263216744,0,-0.0366788264952344,-0.102745800445557,0,-0.0311861729660461,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.290244155826428,0,0,0,0,0,0,0,0,0.0338085118500779,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.109567584804858,0,0,0,0,-0.0029490094965363,0,0.144088645142721,0,0,0,0,0,-0.0452631432448938,0,0,0,0,0,-0.0752097914310313,0.0566201676361158,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.554107800383333,0.0786262778437914,0,0,0,0,0,0,0,0,0,0,0.203687563910112,-0.00139833151821941,0,0,0,0,0,0,0.0800278877820941,0,0,0,0.08440445826133,0,0,0,0,0,0,0,0,0,0,0,-0.0365036878447375,0,0,0,0,0,0,-0.0235103708119664,0,0.0403659099105407,0,0,0,0,0
X000568.SZ,0.175457593154935,0.240390161458523,0.104644026051821,0,0,0,0,0.11479320809129,0,0,0,0,0,0,0,0,0,0,-0.0452171222516443,0.00874368597465549,0.447316502420805,0,-0.148629132386611,0,0,0,0.121710087856968,0,0.0328191776191011,0.0598927443169883,0,0,0,0.0315710444423387,0,0,0,0,-0.0721325509473629,0,0,0.103976249563674,0,0,0,0,-0.0741550299804909,0,0,0,0,-0.0056187510629564,-0.00536828066947222,-0.0203975550578822,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725361596605299,0,0.214136589408614,0,0,0,0,0,0,0,0,0,0,0,0.0814410553457395,0,-0.165055667200838,0,0,0,-0.385141276426035,0,0,0,-0.142254236139155,0,0,-0.0718411064639214,-0.174544773848682,-0.0778541794894416,0,0,0,0,0.176470230106703,0,-0.00648418408788786,0.232332711267353,0,0,0,0,0
