,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X002371.SZ,X000063.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X600031.SH,X002129.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X002049.SZ,X002179.SZ,X600703.SH,X600089.SH,X002236.SZ,X600372.SH,X000100.SZ,X000661.SZ,X600702.SH,X002241.SZ,X000977.SZ,X000157.SZ,X002180.SZ,X601877.SH,X600741.SH,X300142.SZ,X600522.SH,X600584.SH,X002074.SZ,X000733.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002463.SZ,X300146.SZ,X002294.SZ,X000800.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.31861861101837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124295409766617,0.0852697172081598,0,0,0,0,0,0,0,0,0,0,0.0859248416874358,0,0,0,0,0,0,0,0,0,0.108562060733449,0,0,0,0,0,0.132709665229925,0,0,0,0,-0.0348806489331495,0.0250795786703601,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0213559869608888,0,0,0.359085723301649,0,0,0,0,0,0,0,0,0,0.0756795270408216,0,0,0,0,0,0,0,0,0,0.0610700973006009,0,0,0,0.0519451179912016,-0.0378177807059321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399604703020952,0,0,0.0309240521269665,0,-0.0535373795484931,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0526364699906898,0,0,0,0,0,-0.0695979134813789,0,0,0,0,0,0,0,0,0.163288307855607,0,0,0,0,0,0,0.125399641122461,0,0,0,0,0,0,0,0.242274194676949,0,0,0.140219196062851,0,0.0502616044159475,0,0,0,0,0.385595107767831,-0.0369838636900885,0,0,0,0,0,0,-0.0325963520576679,0,0,0,0,0,0
X000568.SZ,0,0.702796202105716,0,0,0,0,0.0785550907677584,0,0,0,0.00192471175379516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736960737223863,0,0,0,0.0638602079337487,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.00553523643793487,0,0,-0.0184155369601368,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.123350068484606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104696357572599,0,0,0,0,0.0174067941409204,0.149606812225661,0,-0.0674894501245689,0,0.0935774210350083,0,0,0,0,0.103062732981364,0,1.73472347597681e-18,0,0.0926966935744465,0.0792129641152379,0.0138280145615543,0.0104230651154136,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.566732745491474,0,0,0,0,0.0415352949692543,0,0,0,-0.0639266496882636,0,0,-0.0249212445709743,0,0,0.056556516242577,0,0,0,0,0,0,0,0.0392853361001423,0,0,0,0,0.0354776246949257,0,0,-0.0210285857582379,0,0.112081099123123,0,0,0,0,0.016392011597147,0,0,0,0,0,0,0,0,0.0542383521525448,0,0,-0.0225890326998506,0,0,0,0,0,0,0
X002304.SZ,0,0.132398806663345,0,0.221495215276929,0,0,0,0.134594882645641,0,0,0,-0.0460258784757972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0547256189437204,0,0,0.089047851135507,0.0920152146686112,-0.060613274150763,0.0653395040419784,0,0,0,0,0,0,0.00233972012482875,0,0,0,0,0,0,0,0,0,0,0,-0.0598024829049575,0.0195339017152857,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.156784640846918,0,0.13766620009739,0,0,0,0,0.0973566997798127,0,0,0,0.195661550204077,0,0,0,0,0,0,0,0,-0.210764173771179,0.0146774751600522,0,0,0,0,-0.0124789333474214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995431318553086,0,0.0090456317322715,0,0,0,0,0,0,0
X000651.SZ,0,0.0938437386319916,0,0,0,0,0,0.0138724552020772,0,0,0,0,0,0,0,0,0,0,-0.0650321731224786,0,0.100456010298657,0,0,0,0,0,0,0,0,0,0,-0.0213414199735597,0.0560864605523168,0,0,0,0.0150676086645429,0,0.0403100799270435,0,0,0,0,0,0,0,0,0,0,0.0224394858385785,0,-0.0128281310720501,-0.0306680626934869,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195067204445635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267391143799235,0,0,0,0,0,0,0.131257705171458,0,0,0,0,0,0.166380210876186,-0.126970309620118,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
