,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X600031.SH,X300014.SZ,X000725.SZ,X002241.SZ,X300124.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002371.SZ,X003816.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X601877.SH,X000661.SZ,X002179.SZ,X300142.SZ,X000100.SZ,X600741.SH,X002074.SZ,X600089.SH,X600702.SH,X600460.SH,X002236.SZ,X000157.SZ,X002180.SZ,X000799.SZ,X600884.SH,X000733.SZ,X601799.SH,X600779.SH,X600584.SH,X002007.SZ,X002414.SZ,X600522.SH,X600183.SH,X002008.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.511791259500155,0,0,0,0.00115719134063422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165110670124422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850530645064409,0,0,0,0,0,-0.0405162167683264,0,0,0,0,-4.33680868994202e-19,-0.00479242834024572,0,0,0,0.012918288024512,0,0
X000858.SZ,0.386518579335418,0,0.0745929403748586,0.242115419808254,0,0,0,0,0.191282968675721,0,0,0,0,0,0,-0.0649860370728713,0,0,0,0,0,0,0.10595211242842,0,0,0,0.26445645066714,0,0.0108708526816436,0,0,-0.0120981403954741,0,0.0100904172946168,0,0,0,0,0,0,-0.0561698479940188,0.0602561351491965,0,0,0,-0.00373986446734728,-0.0547626528048213,0,0,0,0,-0.00482312842108694,0.00297312735859048,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.109170937731246,0,0,0.355038752214342,0,0,0,0,0,0,-0.0134837645729791,0,0,0,0.086363605926702,0,0,0,0,0,0,-0.0729258794312719,0,0,0,0,0,-0.0484664738946558,-0.0367546763648613,0,0,0,0,0,0.0381190203207056,0.0775709578339953,0,0,0,0,0.0547589765237484,-0.0622777698124117,0,0,0,0,0,0,0,0,0,-0.0160625141191093,0,0
X600809.SH,0,0.386725677746044,0,0,0.0901174246264772,0,0,0,0,0,0,0,-0.0156936726069853,0,-0.119787139066339,-0.00914440309575664,0,0,-0.282321112309263,0,0,0,0,0,0,0,0,-0.155899945540682,0,0,0,0,0,0.240743055604819,0,0,0,0,0.122987636826984,0,0,0,0.0123172091307439,0,0,0.102947563830223,0,0,0,0,0,-0.00414707581876795,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0251273490138574,0,0,0,0,0,0,0.224539742513794,0,0,0,0,0,0,0,0,0,0,0,0,0.436231399776676,0,0,0.132648495352929,-0.0470509113942882,-0.0542061330302051,0,0,-0.0119052326399804,0,0,0,0,0,0,0,0,0,0,0.0481670224685291,0,0,-0.249134223379117,-0.0385335814509114,0,0,0,0,0.0234225468072214,0,0,0,0,0.0671058547582407,0,0
X002475.SZ,0.231489416402306,0,0,0,0,0,0,0,0,0,0,0,-0.110285669951938,0,0.194062402143381,0.125432397688922,0,0,0,0.132293523901629,0,0,0,0,0,0,0,0,0,0,0.0612451284836519,0,0,0,0,0,0,0,0,-0.0265742827119755,0,0,0,0,0,0,0.163679630672724,0,0,0,0,0,-0.0123335818803876,0,0,0,0,0,0
X600276.SH,0,0,0.13925621894599,0,0,0.0357426320263326,0,0,0,0,0,0,-0.0727495453530507,0,0,0,0,0,0,0,0,0,0.0367993362436503,0,0,0.0990294464778308,0,-0.209811938810516,0,0,0,0,0,0,0,0,0,0,0,-0.092296456642565,0,0,0,0,0.23350036504264,0,0.0314539544749398,0,-0.0614905641869118,0,0,-0.0145571955290796,0.00946013710815444,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.113256701485333,0,0.210445299151837,0.16494366150033,0,0,0,0,0,0,0,0,0,-0.0266840359322781,0,0.0738335116401448,0,0,0,0,0.0124947316825886,0.201817256014403,0,0,0,0,0,0,0.160352856819905,0,0,-0.022313806939835,0,0,0,0,0,0,-0.00359135862642633,0.0470016619647873,0,0,0.053019545799503,2.71050543121376e-20,-0.00597760990829275,0,0,0,0,0,0
X002304.SZ,0,0.318590786819059,0.0854118593307132,0.186520632127307,0.0171541195198094,0,0,0.18640118930153,0,0,0,-0.183243355712612,-0.0514379418154961,0,0,0,0,0,0,0,0,0.0272034144121908,0,0,0,0.0028557100138656,0,0,0.0284783904587198,0,0,0,0,0,0,0,0,0,0,0,0.0237513875694749,0,0.0517106028782788,0,0,0,-0.0786251368396544,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.102336280148126,0.0779066547875142,0,0,0,0,0,0.205463111243817,0,0,0.00270119559307277,0,0,0,0,-0.124737696153067,0,-0.0380779927614596,0,0,0.0478339203931659,0,0,0,-0.0636724189831551,0,0,0,0,0,0.0963286936117828,-0.00432989073598942,0,0,-0.0673415068357841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105821383964728,0,0,0,0,0,0
