,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X003816.SZ,X600809.SH,X002371.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600104.SH,X000063.SZ,X000625.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X002179.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X002463.SZ,X600089.SH,X000157.SZ,X002028.SZ,X600372.SH,X600066.SH,X600741.SH,X600584.SH,X600703.SH,X600418.SH,X000977.SZ,X002236.SZ,X600522.SH,X600183.SH,X601877.SH,X002049.SZ,X000921.SZ,X000800.SZ,X601799.SH,X600487.SH,X002294.SZ,X002180.SZ,X002074.SZ,X000661.SZ,X000400.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000400.SZ,0,0,0,0,0,0,0,0,-0.344637774026607,-0.106949316412868,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.167669747077608,0,0,0,0,0,0,0,0,0,0.459788631812567,0,0,0,0,0,0,0,0,0.1206245953933,0,0.024598444888986,0,-0.0152778746064609,0.0994160810186447,0,0.212968071950804,0,0,0,0,0,-0.0665315868077188,0.105416811718186,0,0,0,-0.0145176951325832,0,0
X002223.SZ,0.119171314866811,0,0.0802181550724239,0,0,0,0,-0.0260850528226405,0,0,0,0,0,0,0,0,0,0,0.258236796697488,0.181872421466826,0.206457124737093,0,0,0,0,0,0,0.437019426736411,0,0,0,-0.140984957778221,0,0,0,0,0,0,0,0,-0.00431580914805899,0,0,0,0,0,0,0,-0.278071672672486,0,0,0.00177602574041977,0,-0.229867286551751,0,0,-0.0491290138572612,0,0
Change_TY3M,0,0,0,0,-0.0206779217897911,0,0,0.0500979776581238,0,0.0877932551252414,0,0.100597206967365,-0.056370390551593,0,0,0,0.0668014091526929,0,0,0,0.118078984662086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191141465356487,0,0,0,0,0,-0.162699721260942,0,-0.0489664803613547,0,0,0,-0.0141998894568741,0,0,0,0.0559043110598026,0,0
Slope,0,0,0,0,-0.40703627890867,0,0,0,0,0.321975913407449,0,0,-0.0153743820735658,0,0,0,0,0,0,0,0,0,0.0210023403723287,0,0.0947893762442388,0,0,0,0,0,0,0,0,0,0,0,0,0.119245692711719,0,0,0,0,0,0,0,-0.515222373004683,0,0,0,0.0422638404445575,0,0,0.37319246433034,0,0,0,-0.0896544482977948,-2.41238918627822,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0895587428758624,0,0,-0.227312509382129,0,0,0,0,0,0,0,0,0,0,0,-0.0340134560294045,0,0,0,0,0,0,0.0158585321690673,0,0,0,0,0,0,0.350762293578306,0.108097886513699,0,-0.521314585100654,0.57723349636501,0,0.108734079849817,0,0,-0.269290285829979,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.0248292826157467,0,0,0,0,0,0,0,0.00304700692285229,-0.0509704727667693,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0455083822009848,-3.46944695195361e-18,0,0,0,0,0,0.0547261072459353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12356023775336,-0.153227295006555,0,-0.0422637804287717,0,0,0,0,0.0172928552559379,0,0
MKreturn,0,0,0,0,0,0,0,-0.00271982886170092,0,0,0,0,0,0.11753558434972,0,0.0481650724513313,0,-0.0688076823160736,0,-0.0629893056421805,0,0,0,0,-0.0425202867360462,0,0,0,0,0,0,0,0,0.0105120207853325,0,0,0,0,0,0,0,0,0,0,0,0.0728602618708979,0,0,-0.0178086706028492,0,0,0,-0.0123282805163646,0.107262438090209,0,0,-0.00453611679404477,0,0
MKvol,0,0,0,0,0,0,0,0.00334248667277037,0.000189932596579955,0,0,0,0,0,0,0,0,0,0,0,0.0015887106489541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000676991691603734,0,0,-0.0016639050526659,0,0,-2.21589629246266e-05,-0.000220784104348694,0,0.000435025552799266,0,0,0,0.00413165107814645,0,0.00107651759817342,0,0,0,-0.00312721600522375,0,0
CarbonVol_Shenzhen,-0.635124346775391,0,0,0,0,0,0,-0.498679379164774,0,0,0,0,0,0,0,0,0,0,-0.353721078945012,0,0,0,0.571367068793835,0,0,0,0,0.677834086834317,0,0,0,0,0,0,0,0,0.0822643110220049,0,0,0.956171015355289,0.153013605322769,0,0,0,0,-1.3769110285772,0,0,0,0,0.182631182247277,-0.021582298666664,-1.0010357762336,0.478238687897518,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0.0278707684222916,0,0,0,0,0,0,0,0,0,0,0.0041350009268138,0,0,0,0,-0.0173517854320457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00997824166721572,0,0,0,0,-0.0276149995324649,0,0,0,0,0,-0.0995024488563976,0,0,0,0,0.0103827597124206,0,0
CarbonVol_Hubei,0,0,-0.000503235152140579,0,0,0,0,0,0,0,0,0,-0.00339341532329949,0,0,0,0,0,0,0,-0.00497158559923317,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0.00165891097804497,0,0,0.00363663587612685,-0.00626924118012746,0,0,0.00381598103036151,0,0,0,0,-0.0022497043328647,0,0,0.00175387116497459,0,0,-0.0237802691365332,0.00725280991908233,0.00581241344588296,0,0,0.0108177220252627,0,0
