,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X600690.SH,X002304.SZ,X600276.SH,X000651.SZ,X300014.SZ,X600104.SH,X002129.SZ,X300124.SZ,X002371.SZ,X000625.SZ,X003816.SZ,X000725.SZ,X600031.SH,X002049.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X600703.SH,X000338.SZ,X002179.SZ,X600089.SH,X600522.SH,X000661.SZ,X300142.SZ,X601877.SH,X002180.SZ,X002074.SZ,X000733.SZ,X600741.SH,X000100.SZ,X600460.SH,X600884.SH,X600702.SH,X000157.SZ,X002414.SZ,X000799.SZ,X002236.SZ,X600584.SH,X600487.SH,X600563.SH,X601799.SH,X000800.SZ,X600183.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.376861881648067,0,0,0,0.0308084519448235,0,0,0.0490511069010722,0,0,0,0,-0.0548242551235108,0,0,-0.0656434890264945,0,0,0,0,0,0,0,0,0,0.0206127396195979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310290519069525,0,0,0,0,-0.0323997153641094,0,0.0215773250859709,0.0148433295507104,0,0,0,-0.00283745531519641,0,0
X000858.SZ,0,0,0.0692122145269701,0,0,0,0.110328105428846,0.133991048057177,0.0426743634147499,0,0,0,0,0,0.0923484597918279,0,0,0,0,0.0349184876733743,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0309025199710608,0,0,0,0,0.259153973288325,0,-0.052331863958567,0,0,0,0,0,0,0,0,0.0299213210963401,0,0.0200282628004312,0.00748162973482726,0,0,0,-0.0086244563151958,0,0
X600809.SH,0,0,0,0.235905597302722,0,0,0,0,0,0,0,0,0,0,0.158851992844335,-0.0909944468078813,0,0,0,0,0.011587247445338,0,0,0,0,0,0,0,0.00986526783366657,0,0,-0.117959417024734,0.120367654304125,0,0,0,0,0,0.121626139785736,0,0,0,0,0,0,0,0,0,0,0,0.246455442695308,-0.0712299422267131,0,0,0,0,-0.00662222758685681,0,0
X000568.SZ,0,0.126311266671953,0.180632490649312,0,0.019341202301928,0,0.0277899252439806,0,-1.73472347597681e-18,0,0,0,0,0,-0.00524436858283441,0,0,0,0,0,0.0621053893095683,0,0,0,0,0,0,0,0,0,0,0,0,0.056968245111883,0,0,0,0,0.298100859028867,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.038324525152683,0,0,0,0,-0.00570583485252203,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537695918388833,0,0,0,0,0,0,0.0216587799559248,0,-0.025120332087445,0,0,0,0,0,0.0146248995610342,0,0,0,0.598505018302248,0,0,-0.152084981725413,-0.0662910357144045,0,0,0.117236230755757,0,-0.00813389086112653,0.0358049107894298,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16859417281231,0,0.126335181514936,0,0,0,0,0,0,0.150246838287224,0.155171460122852,0,0,-0.0911269170845158,0,0,0,0,0,0,0,0,0,0.137711951337732,0,0,0,0.0432506287369389,0,0,0,-0.116357788585702,0,0,0,0,8.67361737988404e-19,0,-0.0627802322497041,0.00575959072197936,0,0,0,0,0,0
X600690.SH,0,0,0.077503082489041,0,0,0,0,0,0,0.230215190355987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00855981989146704,-0.0861264866205544,0,0,0,0.203824281705453,0,0,0.254737409203553,0,0,0,0,0.0519990011899593,-0.0918251259642283,0,0.0133210563317074,0,0,0,0,-0.00482174859363844,0,0,0,0,0,0,0
X002304.SZ,0,0.234470938398144,0,0.141945709258598,0,0.0785449879223815,0,0,0,0,0,0,0,0.0345490684776819,-0.00407878263559871,0.0313887745065048,0,0,0,0,0,0,0,0,0,0,-0.0452411792514009,0,0,0,0,0.138365634527288,0,0,0,0,0,0,0.126101836830707,0,-0.0953209441289933,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0530710144931722,0,0,0,-0.0398209178525941,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15998904690952,0.219575972067534,0,0,0,0.0614790424780846,0,0.0769510392151434,0,0,0,0,0,0,0,0,-0.0185721564762734,0,0,0,0,0.20159065837785,0,-0.0274206619267409,0.00712831806568703,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0594484386791393,0,0,0.065769465112644,0,0,0,0.104937757652977,0,0.174935635920747,0,0,0,0.00134611144519361,0.148441652224448,0,0,0,0,0.0392623476538901,0,0,-0.135917420108711,0,0,0,0.215087375910346,0,0.00325901060792992,0,0,0,0,0,0,0,0,-0.0232379403877371,0,0,0,0.0311831890129086,0,0
X300014.SZ,0,0,0,0,0,0.0952972402265246,0,0,0,0,0,0,0,0,0,0.162755683710032,0,0,0,0,0,0,0,0,0,0,0,0.101281550020449,0,0.228244180193415,0.0453249333005535,0,0.206197602319112,0,0,0,0,0,0,0,0.0537406347876883,0,0,0,0.0778691681315578,0,0.103578444270732,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0387615682650383,0,0,0,0,0,0,0,0.155958002375935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131678174308556,0.00792899897884095,0,0.361343664592099,0,0.00408724337199017,0,0.0746213517890311,0,0,0,0,0,0,0,0,0.192792442572268,0,0,0.0119336804099117,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0.0384338855865488,0,0,0,0.0328328621635828,0,0,0,0,0,0,0,0,0,0,0,0,0.303791769281819,0,0,0,0,0.214282285005286,0,0,0.107714786962258,0,0,-1.73472347597681e-18,0,0.101014321569667,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0189348126449102,0,0,0,0.0544498259132984,0,0
X300124.SZ,0,0,0,0,0,0.14128362942123,0,0,0,0,0.110749636242488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120861321606547,0,-0.00832649469186431,-0.0476605974425373,0.0485381280920801,0,0.0441171033428159,0,0.17061895108423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164398902600964,0,0,0.0411442345292395,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0.115015901343893,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263659187510984,0,0,0,0,0.386033622501852,0,0,-0.12610848525992,0,0.170610870655728,0.137656065752514,0,0,0,0,0,0,0.469377718363231,0,0,0,0,0,0,0,0,0,0,-0.0593757131271017,0,0,0,0,-0.036117324766745,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,-0.279426080228312,0,0.0967354316471717,0,-0.146237998079971,0,0,0,0,0,0,0,0,0,0.0775488132430604,0,0,0,0,-0.0696699516407059,0,0,0,-0.0428169741188288,0.0560581690872728,0,0.25346196827695,0,-0.0195578423972487,0.635439080821842,-0.041596901563079,0,-0.0260020339793559,0,0,0,0,0,0,0.0746431503923606,0,0,0,0,-0.035506806260928,0,0,0,0.0724099073958675,0,0
X003816.SZ,0,0,0,0,0.00115703612421428,0,0.125654117003602,0.0710732094335303,0,0,0,0,0,-0.101830673389766,-0.0215274641177894,0,0,0,0.148803758654036,0,0,0,0,0,0,0,0.0190816555547291,0,0,0,0,-0.00308289865406923,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0957627066706823,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0556323322514007,-0.000291084427404481,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0672264848981758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397932303138481,0,0,0,0,0,0,-0.0105650056376164,0,0,0,0,0,0,0.0681063835561641,0.430924003504065,0,0,0.0637311858277595,0,0,0,0,0,-0.0173872460242099,0,0,0.0441889876708472,0,0,0,0,0,0,0,0,0,0,0
