,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X600031.SH,X000625.SZ,X000063.SZ,X600276.SH,X600690.SH,X000157.SZ,X000338.SZ,X600372.SH,X600741.SH,X600089.SH,X002241.SZ,X000100.SZ,X600703.SH,X600118.SH,X600066.SH,X000623.SZ,X601877.SH,X000568.SZ,X600271.SH,X000581.SZ,X000550.SZ,X002236.SZ,X600177.SH,X000800.SZ,X000869.SZ,X002294.SZ,X000559.SZ,X002475.SZ,X300124.SZ,X002129.SZ,X000050.SZ,X600839.SH,X000400.SZ,X600809.SH,X000977.SZ,X002007.SZ,X002465.SZ,X000596.SZ,X300003.SZ,X600252.SH,X002456.SZ,X002292.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.0975433793672609,0.144039660257868,0,0,0,0,0,0,0.476062270598459,0,0,0,0,0,0,0,0,0,-0.126055821731114,0,0.0417506357668296,0,0,0,0.107374059693772,0,0,0,0,-0.0989218653483648,-0.173811273116713,0,0.0456122734515116,0,0,0,0.192904997770065,0,0,0,0,0,0,0,-0.0505567854126539,-0.0150084397994274,0,0,0,0,0,0
X600519.SH,0,0,0.104822894433627,0.112348053128932,0,0.334084947721005,0,0,0,0,0,0.265709992284232,0,0,0,0.109110222635259,0,0,0,0,0,0,0,0,0,0,0,0,0.0187198243099623,0,0,0,0,0,0,0,0,-0.0605811783562572,-0.0799881261290057,0,0,0,-0.0267047493147946,0,0,0,-0.0887358230154383,0,0,0,0,0,-0.0061462373175969,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.36177454010059,0,0,0,0,0,0,0,0,0,0.105105076099807,0,0.138676692074396,0,0.19349665585084,0,0.0240828131056485,0.0576618528439604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314713906875407,0,0,0,0,0,0,0
X000651.SZ,0.0501614605093726,0,0.14961294558064,0,0,0,0,-0.0656191336418046,0,0,0,0.129118734203029,0,0,0,0,0,0.0469140316347438,0,0,0,0,0,0.336038609423146,0,0,0,0,0,0.0829290016241687,0,0,0,0,0,0.0798622582540423,0,0,0.0403140125760581,0,0,0.00654689600582511,0,0,0,0,0,0,0,0,0,-0.0876244497539081,-0.0222764536556159,0,0,0,0.119509938425828,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.054207499842371,0,0,0,0,0,0,0,0,0,0,0,0.0367464057072242,0,-0.0328772435058092,0,0,0,0,0,0.0478520094969905,0,0,0.0604448580916434,0,0,0,0,0,0.169338373498262,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0337158427716664,-0.0031002372350532,-0.113632200626573,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,-0.0454652375234295,0,0,0,0,0,0,0,0,0.300167319943473,0,0,0,-0.0302325681092038,0,0,0,0,0,-0.159615991881303,0,0,0,0,0,0,0,0,0,0,0,0.248915118483407,0,0,0,0.291557344241297,0,0,0,0,0.0015214303688378,0,0,0.0168095848714501,0,0,0,0,0,0
X000858.SZ,0,0.0510050958174892,0,0,0,0.00236760674004934,0,0,0,0,0,8.67361737988404e-19,0,0.0579507749863494,0,0.188148517967058,0,0,0.0627613299910469,0,0,0,0,0,0.0775784390307365,-0.0252109816775409,0,0.0449740150307617,0,0,0,0,0,0,0,0,0,0,0,0,0.0464360858281864,0,0,0,0.0464068434064346,0,0,0,0,-0.0420477821600021,0,0.00504131707039429,-0.00335051854852094,0,0,0,0,0,0
X600031.SH,0.0204057386189648,0,0,0,0,0,0,0,0,0.096385200248145,0,0,0.940029216318341,0,0,0,0,0,0.067977352140067,0,0,0,0.00751278845553131,0.0544968544216697,0,0,0.0566646634347305,0,0,0,0,0,0.0280236686912041,0,0,0,-0.05088801822912,0,0,0,0,-0.0799260422323324,0,0,0.0515539975517595,0,0,0,0,0,0,-0.0274398862320406,0.00639278791081976,0,0,0,0,0,0
X000625.SZ,0.353742331649023,0,0,0,0,0,0,0,0,0.00773798153281172,0,0,0,0,0,0,0.00487413878915088,0,0,0,0,0,0.119439221002886,0,0,0,0,0.0232129019831714,0.157185268989672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909857082193435,0,0,0,0,0,0,0,0,-0.0296967626157035,-0.00285149820102093,0,0,0,0,0,0
X000063.SZ,0.0923860131368187,0,0,0,0,0,0,0.0154641509890208,0,0,0,0,0.0772013864058547,0,0,0,0,0,0,0.180303581214472,0.00473027716164174,0.0863566339867022,0.0381373978929257,0,0,0,0,0,0,0.0962370101996745,0,0,0,0.0625758686899245,0,0,0,0,0,0,0,0,0.010379302981595,0,0.0254505345553279,0,0,0,0,0,0,0.00336292123985158,-0.00215834272278683,0,-0.0196247574834359,0,0,0,0
