,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X600271.SH,X000568.SZ,X000100.SZ,X002292.SZ,X002236.SZ,X002241.SZ,X600118.SH,X600031.SH,X600372.SH,X600177.SH,X000559.SZ,X002456.SZ,X002506.SZ,X000338.SZ,X002074.SZ,X002475.SZ,X002426.SZ,X002180.SZ,X300003.SZ,X000157.SZ,X600522.SH,X002007.SZ,X300124.SZ,X000981.SZ,X000050.SZ,X002085.SZ,X002294.SZ,X600867.SH,X002508.SZ,X600089.SH,X002249.SZ,X000869.SZ,X600498.SH,X601877.SH,X002465.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0896598536717372,0,0,0,0,0,0,0.305622531027479,0,0,0,0,0,0,0,0,0.200078728019106,0,0,0,0,0,0,-0.147073592367804,0,0,0.0154032642589895,0,0,0,0,0,0,-3.46944695195361e-18,0.286315958327722,0,0,0,0,0,-0.0155677716470647,0,0,0,0,0,0,-0.0441810195363271,0,0.0384109586502951,0,0,0,0,0,0,0
X600104.SH,0.0295194506221522,0,0.024726667224142,0,0,0,0,0.171231293521555,0.187918547710657,0,0,0,0,0,0.0321118675604742,0,-0.0860074395534588,0,0,0.0123980291802198,0,0.00872120047746432,0,0,0,0,0,0,0,-0.00544620171178411,0,0,0,0,0,0,0,0.028693659194324,0,0,0,0,0,0,0,0,0,0,0,0,-0.00671285447397388,0.0576756224678844,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0276158832975772,0,0,0,0,0,0,0,0.0555104058271466,0.0310684475415568,0,0,0,0,0,0,0,0,0,0.100497793932883,0.0351094558637313,0,0,0,0,0,0.087666004282212,0.0662942516695409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246944223329565,0.0461166838280258,0,0,0,0,0,0
X000858.SZ,0.0179459501204866,0,0,0,0.332107909949718,0,0,0,0.31253164775339,0,0,0,0,0,0.218932374043873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518922392343656,0,0,0,0,0,0.0097034920729908,0,0,0,0,0,0,0
X002304.SZ,0,0,0.00735076891465364,0.791026362252013,0,0,0,0,-0.0162563383484593,0,0,0.0519426929126748,0.131457461652941,-0.0436865507473703,3.46944695195361e-18,0,0,-0.0237584960306333,0,0,0,0,0,0,-0.081311795112867,0,0,0,0,0,-0.0356636377259256,0.0725528733714855,0,0,0,0,0,-0.00674722477690458,0,0,0,0,0,0,0,0,0,0,0.0296342846124852,0,0.0390048067843974,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0402852024689371,0,0,0,0.00862041326182431,0.143973096792834,0,0,0,0.0992048600455687,0,0,0,0,0,0,0,0,0.0289124550565046,0,0,0.0354324618854487,0,0,0.0687605979056607,0,0,0,0,0,-0.0433286565582488,0,0,-0.0457374317464713,0,0,0,0,0,0,0,0,0.244014651278278,0,0,0.000304283412500745,0,-0.0154608830203045,0,0,0,0,0.0137011135181813,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0616000579537245,0,0,0,0,0.24771746396361,0,0,0.0142960167800058,0,0,0.052974208430003,0,0,0,0,0.222317746194957,0,0,0,0,0,0,0,0,0,0.0102394557281628,0.107400662061576,0,0,0,0,0,0,0,0,0.0627022423352195,0.0506148682009557,0,0,-0.0314631863648206,0.0352731715766526,0,0,0,0,0,0
X000625.SZ,0,0.277301886557441,0,0,0,0,0,0,0,0,0,0.246352278368411,0,0.0231458675415159,0,0,0,0,0.0776731233743562,0,0,0,0,-0.111979091497592,0,0.0162815525131336,0,0,0,0,0,0,0,0.0074914223419932,0.0931130001869322,0,0,0,0,0,0,0,0,0,0,0,0.0576013884320567,0,0,0,-0.0103373519900993,0.083093903790529,0,0,0,0,0,0
X600690.SH,0,0,0,0.140019806403362,0,0,0,0,0,0,0,0,0,0,-0.0380016566613446,0,0,0,0,0,0,0,0,0.17431397785764,0,0,0,0,0,0,0.0740748595112931,0,0,0.0287864721697951,0.0652583069988586,0,0,0.00350247211364529,0,0,0,0.0771596299120339,0,0,0.0978737970701176,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0944101358060198,0.0556761329618079,0,0,0,0.0754458472971854,0,0,0,0,0,0,0,0.0640898210060458,0,0,0,0,0,0,0,0.133302693330825,0,0,0,0,0.000410052506013073,0,0,0,0.0297983539390373,0.0698017413468087,0,0.0990229445207067,0,0,0,0,0,0,0,0,0,0,0,0.0358775054558478,0,0,0,0,0,0,0,0,0
