,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X300124.SZ,X300014.SZ,X003816.SZ,X002371.SZ,X002129.SZ,X000338.SZ,X002049.SZ,X002241.SZ,X000063.SZ,X600703.SH,X300142.SZ,X002179.SZ,X000596.SZ,X000625.SZ,X601877.SH,X600089.SH,X000100.SZ,X000661.SZ,X000157.SZ,X002180.SZ,X600741.SH,X600460.SH,X000733.SZ,X600884.SH,X600522.SH,X002074.SZ,X600702.SH,X000799.SZ,X002236.SZ,X600584.SH,X002414.SZ,X600563.SH,X000800.SZ,X600779.SH,X000977.SZ,X002008.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.18518565960597,0,0,0.111944979368778,0,0.227733651596503,0,0.124070673938108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461440882134607,0,0,0,0,-0.0360882599760773,0,0,0,0,0,0,0.0415778998498607,0,0,0,0,0,0,0,0,0.0409091103981393,0,0,0,0,-0.0269604107423381,-0.0154564597399829,0,0,0,-0.0486409765698868,0,0
X000858.SZ,0,0,0,0.00283598246396949,0.205121335156317,0,0.159912599344075,0,0.159223986413815,0,0,0,0,0,0,0,0,0,0,0,0,0.0671467875545041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477219058252371,0.0769814443257038,0,0,0,0,0,0,0,0.0327092590541107,0,0,0,-0.0126307445431271,0.0120968623401938,0,0,0,0.0086046553796175,0,0
X002415.SZ,0,0,0,0.0161858905713073,0,0,0,0.0633435503437008,0.108770512967383,0,0,0,0,0.0397214864164654,0.108403655652387,0,0,0,0,-0.0343697244548771,0,-1.38777878078145e-17,0,-0.0142957204264821,0,0,0,0,0,0,0.0284535803457764,0,0.0483305821703012,0,0,0,0,0,0,0,0.0109948073794194,0,0,0,0,0,0,0.261807658586998,0,0,0,0.00468623351681034,0.00961872780805463,0,0,0,0,0,0
X600809.SH,0,0.116531108577896,0,0,0.406153126403982,0,0,0,0,0,0,0,0,0,0,0,0.0120990208878215,0,0,0,0,0,0,0,0,0.103852775408915,0,0.120668709416598,-0.191212561114959,0,0.0134789625891007,-0.107239669911113,0,0,0,0.0546709225185824,0,0,0,0.100312649200998,0.120985990812792,0,0,0,0,0,0,0,0,0,0,0.0301994406033045,0,0,0,0,0,0,0
X000568.SZ,0.213337744940481,0.162602801067078,0,0.0655267321937817,0,0,0,0,0,0,0,0,0,0,0,0,0.0573805205667033,0,0,0,0,0.0331855657292386,0,0.0258750020516781,0,0.158557124418935,0,0,0,0,0,0,0.056223763718118,0,0,0,0,0,0,0.00882715772841157,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0482572838719873,0,0,0,0.0195275989008865,0,0
X600276.SH,0,0,0,0,0,0,0.235408533707029,0,0,0,0,-0.112135925874641,0,0,0,0,0,0,0,0,0,0.228413804363423,0,0,0,0,0,0,0,0,0.0782569184266414,0,0,0,0,0,0,0,0,0,0.132115629265481,0,0,-0.0341801797965022,0,0,0,0.00801766221169298,0,0.0991886908163381,0,0.0126587619102009,-0.0322829772402321,0,0,0,0,0,0
X600690.SH,0.124440216708823,0,0,0,0,0.0435389143466083,0,0,0,0,0,0.146153129455371,0,0,0,0,0.00374447674972047,0,0,0,0.0283010382242871,0,0,0,0,0.143994115219753,0,0,0,0,0,0,0,0,0,0,0,0.0718603425426662,0,0.0427594726888965,0,0,0,0,0,0,0,0,0.206395501471155,0,0,0,-0.00433601163107044,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.157485918101446,0,0,0,0,0,0,0,0,0,0.00605046936995799,-0.234969594335289,0.184431635341439,0.0593187555307052,0,0,0.449960966998933,0,0,0,0,0,0,-0.107209719285625,0,0,8.67361737988404e-19,-0.0543936642104695,0,0,0,0,0,0.0699002756791101,0,0,0,0,0,0,0,0,0,0,0,-0.0241931401854299,0,-0.0439743749881642,0,0,0,0,0,0,0
X002304.SZ,0.227944651669807,0,0,0,0.00919703494796014,0,0,0,0,0,0,0,0,0.0804936899489752,0,0,-0.102118251157517,0,0,0,0,0,0,0,0,0.281678327456735,0,0,0,0,0,0,0,0.306421846195758,0,0,0,0,0,0.237314373955234,0.0034755653973446,0,0,0,0,0,0,0,0,0,0,-0.00404398182435723,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.146218145625733,0,0,0,0.0610390483486944,0,0,0.143474272262211,0,0,0.139271693280548,0,0,0,0,0,0,0,0.0269089494832563,0,0,0.0166956034550305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.00575439682240832,0.00115164393609386,0,0,0,0,0,0
