,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X002304.SZ,X600104.SH,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X000063.SZ,X600690.SH,X003816.SZ,X002241.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X600703.SH,X000596.SZ,X300014.SZ,X002007.SZ,X600741.SH,X000625.SZ,X000100.SZ,X002371.SZ,X300142.SZ,X002129.SZ,X601877.SH,X002236.SZ,X000157.SZ,X002049.SZ,X002179.SZ,X300003.SZ,X600584.SH,X002414.SZ,X000800.SZ,X600183.SH,X000066.SZ,X300136.SZ,X000977.SZ,X601799.SH,X002456.SZ,X002008.SZ,X600066.SH,X600118.SH,X002185.SZ,X300146.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.173432677525093,0.0576716671655671,0,0,0,0,0,0.0497564994169018,0,0.208589713296956,0,0,0,0,0,0,0,0,0,0.176478713373797,0,0,0,0,0.108443172088288,0,0,-0.0103722690737442,0,0,0,0.0338092278645881,0,0,0,0,0,0,0,0,0,0,0,-0.00102019054931429,-0.0647147801928384,0,0,0,0,0,0.0932213637144457,-0.0516365178062614,0,0,0,0,0,0
X000858.SZ,0.0502985588342658,0,0,0,0,0,0.18890606765805,0,0,0,0.250920157456175,0,0,0,0,0.0727901502949319,0,0,0.0724914360074757,-0.0242856752935166,0.0565392416422569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186862277420244,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0921920446204371,0,0,0,0.019631947078132,0,0.167483847350167,0,0,0,0,0,0,-0.0106887250406973,0,0.0517835942219663,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.14827350465217,0,0,0,0,0,0,0,0,0,0.043749863824834,0,0,0,0,0,0,0,0,0,0,0,-0.0224421029472314,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356289243679399,0,0,0,0,0,0,0,0,0,0.119537228190001,0,0,0,0,0,0,0,0,0,0.086502802892343,0,0,0,0,0,0,0.0322654949444403,0,0.106609588667267,0,0,0,0,0.0883007505711102,0,0,-0.00920038792690281,0,0,0,0,0,0
X002415.SZ,0,0,0,0.127626929877138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00863219211992602,0,0,0,0,0,0,0.176954889635333,0,0.0290377566192556,0.124878727522334,0,0,0,0,0,0,0.0756220558174726,0,0,0,0,0,0,0,0,0,0,-0.00311052716116227,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667836764105541,0,0,0,4.33680868994202e-19,0,0,0.143729912482562,0,0.000519644228011108,0,0,0,0,0,0,0.0463413316089497,0.0269941802129369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00765644441728062,-0.0606898923411229,0,0,0,0,0,0
X002304.SZ,0,0.140672808807194,0,0,0.0570560059850591,0,0,0,0.329134761490914,0,0.00849466133131235,0,0,0,0,0,0,0,0,-0.00304052542095275,0,0.128837032312835,-0.078595734742104,0,0,0,0,0,0,0,0,0,0,0.103373244376614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737611956524819,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.169171190159544,0,0,0,0,0,-0.0195277493360974,0,0.0476707907493502,0,0.0536266349645608,0,0,0,0.110362042399342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138825424753702,0,0,0,0,0,0.0820403921480267,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.119005996026514,0,0,0,0,0.473974400386887,0,0,0,0,0,0,0,0,0.125064551140099,0,0,0,0,0.114714026061151,0.0334538463780486,0,-0.0494713229105266,-0.124593540583118,0,0,0,0,0,-0.109561186970872,0,0,0,0,0,0,0,0.140951679375001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166747918935843,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176100936781542,0.271937774775821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417892981962456,0,0,0,0,0,0,0,-0.00343088739767881,0.0553081719289711,0,0,0,-0.135540201582758,0,0,0,-1.73472347597681e-18,0,0,0.0781801870568839,-0.0292305567963539,0,0,0,0,0,0
X600809.SH,0.170898902614739,0.182503516968235,0,0,0,0,0,0,0.204021847027891,0,0,0,0,0,0,0,0,-0.0952383405262337,0,0,0,0,0.179723435100684,0,0,0,0,0,0,0,0.0611307370432677,0,-0.0780515652001234,0,0,0,0,0,-0.0669621086021588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372368861848639,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0441385871370736,0,0,0,0,0,-0.00991230006307031,0,0,0,-0.0778784603830942,0.10771142212289,-0.0982580496544083,0.0272836465710236,-0.0391645364467953,0.485587039533613,0.0261711464791482,0,0.0855834811088672,0,0,0,-0.0292812072256718,0,0,0,0,0,0,0,0,0,0,0,0,0.0198873484163624,0,0,0,0.390758925366629,0,0,0.0224823097553185,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.396976756537264,0,0,0,0,0,0,0,0.0786776018882628,-0.0941516930430802,0,0,0,0,0.0092386927861334,0,0,0,0,0,0,0,0,0,0,-0.0453818543681017,0,0,0,-0.00457714936203172,0,-0.0297195677095942,0,0,0,0.09364508562633,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559907053207553,0,0,0,0,0.217775959719731,0,0,0.165168282888233,0,-0.0845496414626754,0,0.0323925520100708,0.0564170842563605,0,0.0577010695945263,0,-0.0417772310901688,0,0,0,0,0,0,0,0,0,0.00602364038841793,0,0.108609059845673,0,0,0,0,0,0,-0.0225573564556141,0,0,0,0,0,0,0
