,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X002241.SZ,X000625.SZ,X600703.SH,X000596.SZ,X002371.SZ,X000100.SZ,X300142.SZ,X002129.SZ,X002049.SZ,X000157.SZ,X002179.SZ,X600741.SH,X000799.SZ,X600702.SH,X002007.SZ,X601877.SH,X002236.SZ,X600584.SH,X600779.SH,X002414.SZ,X300146.SZ,X601799.SH,X600460.SH,X300003.SZ,X600183.SH,X000800.SZ,X002074.SZ,X600089.SH,X000066.SZ,X000977.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0544096213186091,0.0379658244983203,0,0,0,0,0,0,0,0,0,0,0,0,0.0575352030640894,0.0511347058730692,0.0762917937860258,0.042926176374221,0,0.0241712276790603,0,0,0,0,0.10793549696898,0,0,0,0,0,0.0162223251837902,0,0,0,0,0,0,0,0.0929136418081476,0,0,0,-0.154857516672325,0,0,0,0,0,0,0.00589111468656274,0,0
X000858.SZ,0,0,0,0.26533846368145,0,0.424468343987237,0,0,0.0196114589250017,0,0,0,0,0.0252519504171979,0.0129516971660837,0,0,0,0,0.0414198402494438,0,0,0,0,0,0,0,0,0,0,0,0.0259567797791095,0,0,0,0,0,0,0,0,0,-0.00798980564831744,0,0,0,0.0753822780311273,0,0,0,0,0,0,0,0,0,0,-0.00770165543079872,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0707562665839771,0,0,0,0,0,0.0442260660046809,0,0,0,0,0.123714658232651,0,0,0,0.0182775789501072,0,0,0,0,0,0,0.0308646341119127,0.0162161763111355,0,0,0.0325505870052208,0,0,0.016531626723587,0,0,0.105669642986707,0,0,0,0,0,0,0,0,0,-0.0234337209383604,-0.0246298764562878,0,0,0,0.00632445725839984,0,0
X600276.SH,0,0,0,0,0,0,0,0.0682820350307604,0,0,0,0,-0.0477050100183048,0,0,0,0,0.0823238478292443,0,0,0,0,0,0,0,0.0512453812449957,0,0.0484603001350047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246581183842438,0,0,0,0,0,0,0,0,0,0.15962614617755,0,0,0,0,0.0279412892490439,0,0
X600809.SH,0,0,0,0,0,0.292862641128412,0,0.0430954932718808,0,0,0,0,0,0,0.0370290753085106,0.194663426024402,0,0.0480777500066956,0,-0.0543719700381821,0,0,0,0,0,0,0,0,0,0,0,0.410743685328417,0.038620285829311,0.12357260947447,0,0,0,0,0,0,0,0,0,0,0,0.0265929837229844,0,0,0,0,0,0,0.00366097565285979,0,0,0,0.0133134537815998,0,0
X000568.SZ,0,0.304579918100551,0,0,0.247047602375946,0,0,0.117810225693037,0,0,0,0,0,0,0,0,0,0,0,0,-0.118906325118144,0,0.12832338539382,0.0418419113953337,0.00421787922820323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263983536842847,0,0,0,0,0,0,-0.0214428537581304,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0497942836475159,0,1.73472347597681e-18,0,0,0,0,0.0628318878478223,0,0,0,0,0,0.0310808725741085,0,0,0,0.242003685432881,-0.0439326234806999,0.0404569252947869,0,0.0318536792898394,0,0,0,0.0135686678629015,0,0,0,0,0.0521289159745717,0,0,-0.00592674414229069,-0.0571575923249408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00136197993088982,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00893927091131822,0,0,0,0,0,0,0,0.508472427156422,0.0948214898742166,0,-0.0320733012846629,0.0536859189496369,0,0,0,0,0,0,0,0,0,0,0,0.118645219732678,0,0.261056090481702,0,0,0,0,0,0,0,0,0,0,0,-0.0299901777193948,0,0,0,0,0.00693891057297232,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0226423471594385,0,0,0,0.00630397014128942,0,0,0.20155697642709,0,0.0182764434033453,-0.12662556108106,0.208242694127886,0,0.0298559995995042,0.214689184957417,0,0.170762461580116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420778879971391,0.0228389333441348,0,0,0,0,0,0,0,-0.0104903452356025,0,0.0169526667083647,0,0,0,0,-0.0578730291499732,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0641610059097512,0,0,0,0.316009303257886,0,0,0.107139788889256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437514806435707,-0.0215437471241623,0,0.227942151715349,0.146492653216649,0,0,0,0,0,0.0155657680266195,0,0,0,0,0,-0.100430355542835,0,0,0,0,0,0,0,0,0.00652211442756018,0,0
