,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X000100.SZ,X600703.SH,X601877.SH,X600118.SH,X000581.SZ,X000559.SZ,X000623.SZ,X002236.SZ,X000550.SZ,X000568.SZ,X600066.SH,X600271.SH,X000050.SZ,X600839.SH,X002475.SZ,X600177.SH,X002294.SZ,X000869.SZ,X300124.SZ,X000800.SZ,X002456.SZ,X000400.SZ,X002129.SZ,X002465.SZ,X002292.SZ,X600435.SH,X002007.SZ,X600252.SH,X002038.SZ,X300003.SZ,X600809.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0.0260728730407745,0,0,0,0,0.0404725372019269,0,0,0,0,0,0,0.523350305634461,0,0,0,0,0,0,0,0,0,0,0.07025244512074,0,0,0,0,0.0389138797499262,0,0.00774505076501328,0,0.0675542780158988,0,0,0,0,0,0,0,0,0,0,0,0,0.0327229960676592,0,0,-0.0174335244679846,0.00767104920967501,0,0,0,-0.0239610818600767,0,0
X600519.SH,0,0,0,0.0813098369867772,0,0,0.0937897079293312,0.259468082705802,0,0,0.148642979983404,0,0,0.00865928065893505,0,0.128553067302491,0,0,0,0,0,0,0,0,0,0,0.0253826306170873,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0160456250003841,0,0,0,0,0,0,0,0,0,0,0,0.00705111211248433,-0.0549028768177685,-0.0390163047704104,0,0,-0.0200254521412311,0,0
X000651.SZ,0.0597041435427776,0,0,0.142599919606267,0,0,0,0,0,0,0.206263706317434,0,0.158802415941472,0,0,0,0.319831084621893,0,0,0,0,0,0,0,0.128300909191702,0,0,0,0,0,0,0,0,0.093085707543921,0,0,0,0,0,0,0,0,0,0,0.0196710431182015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.139119511378141,0,0,0.12689779788872,0,0,0,0,0,0,0,0,0,0,0,0,0.20165455455887,0,0,0,0,0,0.0801382209325329,0,0,0,0,0.237346258130039,0,0,0,0.175435643410277,0,0,0,0,0,0,0,0.0121786846461318,0,0,0,0,0,0,0,0,0,0,-0.0340687197391343,0,0,0,0,0,0
X002415.SZ,0,0,0.0159825691723682,0,0,0,0,0,0,0,0,0,0,0.178073457392943,0,0,0,0.0571191290031939,0,0.178950990735943,0,0,0,0,0,0.166403767704297,0,0,0,0,0.0861411808185194,0,0,0,0,0,0,0,0,0,0.128266073346212,0.0319284232162524,0,0,0,0,0,0,0,0,0,0,0.0149989426230885,0,0,0,0,0,0
X000625.SZ,0.112382240192648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123738773983789,0,0,0,0,0,0.0501912995126844,0,0,5.0680954908025e-05,0.0980441988086748,0,0,0,0.282044430092922,0,0,0,0,0,0,0,0.0212755146380424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196536620723602,0,0,0,0,0,0
X000858.SZ,0,0.0592527843530962,0.0817221860502085,0,0,0,0,0.0750514951272258,0,0,0.118499073753491,0,0,0,0,-4.33680868994202e-19,0,0,0.013985665374724,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0208439534206162,0,0,0,0,0,0,0,0,0,0,0,0.0743880566540878,0.00137976930723804,0,-0.00682434456509526,0.0165241478106379,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178255813464946,0,0,0,0,0,-0.0153357491401784,0,0,0,0,0,0,0,0,0,0,0,-0.106151310462994,0,0,0,0,0,0,-0.028275063181748,0,0,0.239074621284777,0,0.346054403183445,0,0,0.00754061543679435,0.0180434059878742,0,0,0,0,0,0
X600031.SH,0,0.0448854322757318,0,0,0,0,0,0,0,0,0.00719035260713527,0,0,-3.46944695195361e-18,0.688203385875619,0,0,0,0.0102876561018714,0,0,0,0,0,0.132549777595717,0,0,0,0.0160195788973564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0.210776552491971,0,0,0,0,0,0,0,0.0911644360034264,0,0,0,0,0,0,0,0,0,0,0.173695883915557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415050154629412,0,0,0,0,0,0,0,0,0,0,0.0462185626851624,0,0,0.0119040156225039,0,0,0,-0.00401193961442524,0.0122111519892745,0,0,0,0,0,0
