,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X000559.SZ,X600118.SH,X600066.SH,X600372.SH,X000157.SZ,X002236.SZ,X002475.SZ,X600741.SH,X002241.SZ,X600089.SH,X000338.SZ,X002292.SZ,X300124.SZ,X002465.SZ,X600839.SH,X000568.SZ,X600177.SH,X300003.SZ,X002294.SZ,X002074.SZ,X002129.SZ,X000977.SZ,X600867.SH,X000869.SZ,X600582.SH,X000800.SZ,X600498.SH,X002085.SZ,X002276.SZ,X002498.SZ,X000547.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.106390064061304,0,0,0,0,0.172179206288073,0,0,0,0,0,0,0,0,0,0,0.360364471673011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00734535878211537,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.524757346098884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243916141484002,0,0.150058626685877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167712842601726,0,0,-0.0558086170975771,0,0,8.67361737988404e-19,0.125340443791833,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167403652452338,0,0,0,0,0,0.080142781135458,0,0,0,0,0.00689555427710688,0.059578325938778,0.0949147898381889,0,0,0,0,0,0.0202658429497158,0,0,0,0,0,0,0.0125017021335172,-0.101850988258423,0,0,0,0,0,-0.0236804606510953,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.247580491558621,0,0.0032634006172162,0.0350655129797536,0.0738895270000244,0,0,0,0,0.0976905569453973,0,0,0.019934226963126,0,0,0,0.0392936975012426,0,0,0,0,0,0.156293161765631,0,0,0,0,0,0.0604905562692026,0,0,0,0.0485069685398422,0,1.73472347597681e-18,0,0,-0.0247296238525616,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407764491877903,0.0163679196291921,0,0,0,0,0,0,0,0,0,0,0.0198262748985154,0,0,0.0136817556676928,0.165751373972612,0.0131082756141357,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.012732724200085,0.0796807666299194,0,0.0322751485784007,0,0,0,-0.0448283055673701,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.237370520023172,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119555164734233,0,0.373567723394366,0,0,0,0,0.0172288121969344,0,0,0,0,0,0,-0.155450213435125,0,0,0,0.0741963129005377,0,0,0,0,0,0,0,0,0,-0.0364556323086544,-0.0121059545010121,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.353224952996999,0.00248292525633438,0,0,0.0582213093962563,0,0,0,0,0,0,0.197442132794882,0,0,0,0,0,0,0.147486292569757,-0.0220105406961781,0,0,-0.0019555344494972,0,0,0,0,0,0,0,0,0,-0.0493209688476633,0,0,0,0.00112837268296215,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.00354822800412145,0,0,0,0,0
X002304.SZ,0,0.405370063642188,0,0,0,0,0.0553579986190845,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.270988201850285,0,0,0,0,0,0,0,0,0,0,0.190800575073129,-0.054730390530023,0,-0.0282508854181488,0,-2.77555756156289e-17,0,0,0,0,0.0678297736721674,0,-0.0313210273903781,0,0,-0.0527119912379648,0.114785860985531,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0468376638528012,0,0,0.0097397176463392,0.0553731955190367,0,0,0,0.0417333825813328,0.01855359269028,0,0,0.145180239185755,0,0,0.278742943856275,0,0,0,0,0.107170421792271,0,0,0,0,0,0,0,0,0,0.0540574638157573,0,0,0,-0.0152553754455915,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0.00176411430035431,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,6.93889390390723e-18,0,0,0.251058166710745,0,0.0493593103018055,0,0,0,0,0,0,0.372370053131068,0,0.0976612700956721,0,0.0776283592597761,0,0,0,0,0,0.00643768986831909,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0632542293950434,0,0,0,-0.030533138442342,-0.00543378980186223,0,0,0,0,0,0
