,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X000725.SZ,X600031.SH,X003816.SZ,X002129.SZ,X000625.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X600702.SH,X600522.SH,X600741.SH,X002074.SZ,X000157.SZ,X600460.SH,X600584.SH,X000799.SZ,X300003.SZ,X600884.SH,X002007.SZ,X600779.SH,X300146.SZ,X002294.SZ,X600563.SH,X600487.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0549587241306007,0.239529441503132,0.113571706918889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259876270719627,-0.0325552296836413,0.0868930702832438,0,0,0,0,0,0,0.0699116493659732,0,0,0.0647331315388677,0.117169809892324,0,0.0653000484558058,0,0,0,0,-0.0177803322181633,0.0295439775421738,0,0,0,0,0,0
X000858.SZ,0,0,0.153376138585156,0.270981521485615,0,0.201335338003757,0,0,0,0,0,0,0,0.0477163831130806,0,0.148868697329376,0,0,0.0255320851069826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223467062965268,0,0,0,0,0,0,-0.0851250017569341,0,0,0,-0.0169305422035427,0.0065954747386896,0,0,0,0,0,0
X600809.SH,0.162255670140608,0,0,0.56053363383196,0,0,0,0,0,0,0,0.0119541787065907,0,0,0,0,0,0,0,0,0,-0.0199772793716193,0,0,0,0,0,0,0.0262269359085502,0,0.067712465705539,0,-0.177998513742648,0.0535086176661878,0,0,0,0,0,0,0,0,0,0,0.00625899417506341,0,0,0,-0.0250309845804887,0,0,-0.0100321854006225,0.0107865383300947,-0.058897377823454,0,0,0,0,0
X000568.SZ,0,0.480337763272874,0.348548938202374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138618734607713,0,0,0,0,0,0,0,0,0,0,0,0.0152729558124306,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.13146994776335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165973237600719,0,0,-0.00743713239643971,0,0,0,0,0,0,0,0.0631861663579141,0.0626899672313683,0,0,0,-0.0324135923429247,-0.070309014455525,0,0,-0.00332550431248789,-0.000580680207227399,0,0,0,0,0,0
X002304.SZ,0,0.0770336351934218,0.0484359528095515,0.406769406739606,0,0,0,0,0,0,0,0.0298417833646472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344014895671166,0,0,-0.0146010163756267,0,0,0,-0.0405164241604591,0,0,0,0,0,0.10228688293962,0.0543407676255437,0,0,0,0,0,0.0144067231533127,0.0107923568972848,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239697097737506,0,0,-0.303447979603693,0,0,0.0278997867741064,0,0,-0.0516657245318784,0.20148559878867,0,0,0,0,0,0.0591083130603266,0,0,0,0,0.0124071453448533,0.0772583081051549,0,0,-0.0288578325532266,-0.014590662728765,0,0,0,0,0,0,0
X600690.SH,0.104239125398541,0.0518624378369408,0.0643331042110606,0,0,0.00927062430284299,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.227024175634649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0845457896054813,0,0,-0.00490550227390658,0.00887411228843396,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.174126034651028,0,0,0.141229280531476,0,0,0,0,0,0,0.0647734598713993,0,0,0,0,0,0,0,0.20470804453851,0,0,0.351866908663865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31602876759018,0,0,0.0600199591256204,-0.00402910157785651,-0.050247554306555,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0566846024311759,-0.0324967775629357,0,0,0,0,0,0,0.169794185847659,0,0,0,0,0,0,0,0,0,0.241308707487681,0,-0.0533390771264516,0,0,0,0,0,0.0072345151647688,0,0,0,0,0,0,0,0,0,0.0239925401909586,0,0,-0.075795883786062,-0.0749453062511968,0,0,0,0,0.00908411399619609,0,0,0,0,0,0
