,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X000651.SZ,X300124.SZ,X000063.SZ,X600104.SH,X000725.SZ,X000625.SZ,X003816.SZ,X600031.SH,X002371.SZ,X000596.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X002241.SZ,X601877.SH,X000661.SZ,X000157.SZ,X600584.SH,X600522.SH,X600702.SH,X002074.SZ,X002180.SZ,X000733.SZ,X300142.SZ,X600460.SH,X000800.SZ,X002007.SZ,X002463.SZ,X601799.SH,X000066.SZ,X300003.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.303244911598156,0.129559758259761,0,0,0.028118549574571,0,0,0,0,0,-0.0253193206622244,0,0,0,0,0,0,0,0,0.0831007359967476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640006243655388,0,0,0,0,0,0,0,-0.0673449448078121,0,0,0,0,-0.0333612202754015,0.00929215366471701,0.0497683643573495,0,0,0,0,0,0
X000858.SZ,0.0407633587775761,0,0.648906583536767,0,0,0,0.0381726270487265,0,0,0.0289343943639522,0,0,0,0,0,0,0.111105098944038,0,0,0,0,0,0,0,0,0,0,0,0,-0.00350441136946532,0,0,0,0,0,-0.0787629386841326,0,0.0732181819121039,0,0,0,0,0,0,0,0,0,0,0,0,0.0345236678970623,-0.00255766633168308,0.0202886233907728,0,0,0,0,0,0
X000568.SZ,0.420869787801508,0.251003539982708,0,0,0,0,0,0,0.0600102332649829,0,0,0,0,0,-0.0164340355600421,0,0,0.0645915664787165,0.0469017289956369,0,0,0,0,0,0,0,0,0,-0.0450236533036769,0.00564434664137588,0,0,0,0,0,0,0,0.235851297219133,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0580825974364077,0,0,0,0,-0.011797907353823,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.00979454542275693,0,0,0,0,0,0,0,0,0,-0.222570353318873,0,0.309428965041913,0,0,0.0146297195734111,0,0,-0.0988027517079941,0.211093247831301,0,0,0,0,0.279786387998877,0,0,0,0,0.0234757757783069,0,0,-0.0840286955941375,0,0,0,0,0,0,0,0,-0.0509537289782905,0,0,0,0,0,0,-0.00919724045619643,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.540851000032012,-6.93889390390723e-18,0,-0.000326511272975009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152775747488737,0,0,0.0400269227177206,0,-0.113756780206528,0,0,0,0,0.0933377050981461,0.116946243960158,0.0298616696680106,0.116056931502277,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0860449613293845,0,0,-0.337657701237954,0,0,-0.0764696314904994,0.272721543608683,0,0.199131864345073,0,0,-0.32586406297822,0,0,0,0,-0.183058870548585,0.239473272682319,0,0,0,0.192810409855463,0,0,0.273558638872212,0,0,0,0,0.18285041807654,0,0,0,-0.0548758577510649,0.0723255881175588,0,0,0,0,0,-0.0622700711685335,0,0,0,0,0,0
X600690.SH,0,0,0,0.0483400418951662,0,0.19444657151518,0,0,0,0.273479127543311,0,0,0,0.069946992444104,0,0,0.0705277871823613,0,-0.0407095058224267,0,0,0,0,0,0,0,0,0,0,0.0522862830109527,0,0,0,0,0,0,0,0,0,-0.0204615215573061,0,0.152973951861484,0,0,0,-0.0909408026294674,0,0,0,0,0,0.042902654428106,-0.00208426841401865,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,-0.026469676210997,0,0,0,0,0,0,0,0,0,0,0,-0.00948351015232498,0,0,0.155045964604101,0,0,0.0743852026833363,0,0,0,0,0.110882311313249,0,0,0.490168243036908,0,0,0,0.386240363129175,-0.0319829579679805,-3.46944695195361e-18,0,0,0.109279289230735,0,0,0,0,-3.46944695195361e-18,0.117723306639735,0,0,0,0,0.0539203808417992,-0.0422499249285386,0,0,0,0,0,0
X002304.SZ,0,0.171702147765369,0.256739171338384,0,4.33680868994202e-19,0,0,0,0,0.0697865538008054,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116768385526606,0,0,0,-0.00447831678174774,0,0,0,0,0,0,0,0.0790157429317132,0,0,0,0,0,0,0,0.024618951099183,0,0.0122796298429758,0,0,0,0.0159655394778964,0,0,0,0,0,0,0
X000651.SZ,0,0.0392503816846981,0,0,0,0,0.154347265451632,0,0.520227711499822,0,0,0,0,0,0,0,0,0,-0.15024611962146,0,0.200111345695793,-0.461729563611373,0,-0.0513717245791854,0,0,0,0,-0.00668103222243276,-0.0608892319992237,0,0,0,0,0,0,0,0.0188678966703716,0,0,0,0,0,0,0,0,0,0.156216577861521,0,0,0,0.0661980476895391,-0.0376041770622866,0,0,0,0,0,0
