,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X000725.SZ,X600031.SH,X000596.SZ,X003816.SZ,X000625.SZ,X002129.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X002049.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600089.SH,X002241.SZ,X002180.SZ,X000100.SZ,X600702.SH,X601877.SH,X300142.SZ,X600741.SH,X002074.SZ,X000733.SZ,X000157.SZ,X600522.SH,X600460.SH,X000799.SZ,X600584.SH,X000977.SZ,X300003.SZ,X000066.SZ,X002294.SZ,X600884.SH,X600183.SH,X600779.SH,X002236.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0477317278973446,0.233231925508604,0.254891868901368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066404796287672,0,0,0,0,0.0334846096669944,0,0,0,0,0,0,0,0,0,0,0,0,-0.006525846903166,0,0,0,0,0,0,0,0.0114887050071644,-0.00431862246434234,0,0,0,0,0,0
X000858.SZ,0,0,0,0.214864981327983,0.0445051919170483,0,0.584104774987903,0.0576867052895184,0,0,0.192078954937587,0,0,0,0,0,0,0.00604226495567245,0,0,0,0,0,0,0,0,0,0,0.0184140362201498,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201632318696737,0,0,0,0,0,0,0,0,-0.0336339644718632,0.0103335061039269,0,0,0,0,0,0
X000568.SZ,0,0.154938489695458,0,0.22932695972107,0,0,0.273454080191274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186145106481515,0,0,0,0,0,0,0,0,0,0,0,0.307156970397738,0,0,0,0,0,0,0,0,0,0,0,0,-0.013957699703335,0,0,0,0,0,0
X600809.SH,0,0.103098821522727,0.396598516027485,0,0,0,0.0369127621860112,0,0,0.055048306320156,0,0,0,0,0.147544342206562,0,0,-0.0474842069131042,0,0,0,0,0,0,0,0,0,-0.0151512983370413,0,0,0,0,0,0,0,0,0,0,0,0.0909235731193316,0,0,0,-0.0391156322485834,0,0,-0.156098611253964,0,0,0,0,-0.00823844677714976,0.00211020635008986,0,0,0,0,0,0
X002415.SZ,0,0.1696590145137,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0172450096592835,0,0,0,0,0.133671102082968,0,0.1338659998408,0.0935166271496389,0,0.000236632541610838,0,0,0,0,0,0,0,-0.0736468135622773,0,0.0983278088604634,0,0,0,-0.108974149461754,-0.0722873936900107,0,0,0,0.153715540197855,0,0,0,0,-0.0376841375142548,0,0,0,0,0,-0.0184065417215085,0,0,0,0,0,0
X600276.SH,0,0,0.0305580920641514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17787244432977,0,0,0,0,0,-0.249625172077984,0,0.212664725214802,0,0,0,-0.0498600513323588,0,0,0,0,0.0601465008761102,0.09967722275895,0.132966526912717,0,0,0.075643053777595,0,0,-0.0372844593173843,-0.00345389436706652,0,0,0,0,0,0,0
X002304.SZ,0,0.364651568817769,0.346732519794039,0,0,0,0,0,0,0,0,0,0,0,0,0.0778365135651131,0,0,0,0,0,0,0.0493437502412764,0,0.0500583402116593,0,0,-0.0420289783536393,0,0,0,0,-0.041355986328756,0,0,0,0,-0.0286799902938958,0,0,0,0,0,-0.120908195788023,0,0,0,0.0455142997125342,0,0,0,0,0.00697418675810997,0,0,0,0,0,0
X600690.SH,0,0,0.0601513525040668,0,0.0527653644791276,0,0.0164274665605322,0,0,0,0,0,0,0,0.289554905958257,0.0560004653220668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985655254625753,-0.0168353605765275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500753911368205,0,0,0,0.00431971105275206,-0.00411433583309196,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.268523667140299,0,0,0.160735077275624,0,0,0,0,0,0,0.180284282111974,0,0,0,0,0,0,0,0.238540827430491,0,0,0,0,0.10919310916042,0,0,0.0685225983426897,0,0.13497597742827,0,0,0,0,0,0,0,0,0,0,0,0.0212151450999296,0.230468254622627,0,-0.0359786115668666,0,0,0,0,0,0
X300124.SZ,0.0034835147559562,0,0,0,0,0,0,0,0.0550893028926296,0,0,0,0.0506157300451201,0,0.0262061067526596,0,0,0,0,-3.46944695195361e-18,0,0,-0.196113542126222,0,0,0,0,0.0205738644603269,0.169858793717734,0,0.169513464183165,0.0547226177159754,-0.0564249456199292,0,0,0,0,0.193302838714735,0,0,0,0,0,-0.0589763036297763,0,0,0,0,0,0.220692657313456,0,0,-0.0170445010063317,0,0,0,0,0,0
