,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000063.SZ,X000338.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002236.SZ,X002241.SZ,X002129.SZ,X600372.SH,X000661.SZ,X002049.SZ,X000157.SZ,X600584.SH,X000977.SZ,X600741.SH,X601877.SH,X600522.SH,X002007.SZ,X000800.SZ,X002463.SZ,X600183.SH,X002074.SZ,X601799.SH,X600418.SH,X600460.SH,X002028.SZ,X002180.SZ,X000066.SZ,X002294.SZ,X300142.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.23620265428404,0,0,0.229419347371516,0.032247184647686,0,0.0253037335627313,0.0328473378561272,0,0,0,0,0,0,0,0,0.0121482529731438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913029232127994,0,0,0,0,0,0,0.0178951026965691,0.00841613050041174,0,0,0.141522755381881,0,0,0,0,0,-0.00775685235624171,0,0,0,0,0,0,0
X000858.SZ,0.248640687888145,0,0,0,0.119845249292037,0.21517358362983,0,0,0,0,0,-0.127319396757436,-0.0800428333609423,0,0,0,-0.0100819133339539,0,0,0,0.0930486173858217,0,0.138930910376308,0,0,0,0,0.00827052991403653,0,0.0296436131197526,0,0,0,0,0,0,0,0,0,-0.00507158573758797,0,0,0,0,0.0789571405532908,0,0,0,0,0.0182340878530001,0,0.0020396749244245,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.027336516188041,0,0,0,0,0,0.0519507415736362,0,0,0.0699264287741265,0,0,0,0,0.157578842555519,0,0,0,0,0,0,0.113127378699078,0,0,0,0,0,0,0,0,0,0.00867472100397206,0,0.0937273395720981,0,0,0,0,0.114301391887582,0.00576153425836129,0,0,0,0,-0.00861734039148742,0,0
X600276.SH,0,0,0,0,0,0,0.0850554543840271,0.0681912844803751,0.0221768739116722,3.46944695195361e-18,0,0,0,0,0,0,0,0.118864281934082,0,0,0,0,0,0,0,0,0,0,0,0.0201247966308099,0,0,0,-0.0110057877623369,0,0,0,0,0,0,0,0,0.0112823946652798,0,0,0,0,-0.00473838009904402,0.263476649629679,0,0,0.0131612763978872,-0.00897849553606383,0,0,0,0,0,0
X600809.SH,0.266578554490492,0,0,0,0,0.206240237296457,0,0,-0.00458514612952077,0,0,0,0,0,0,0.242401206343006,0,0,0,0,0,0,0,0,0,0.0988904787649629,0.00686476373602831,0,0,0,0,0,0,0.00190977034869791,0,0,-0.0443953572640501,0,-0.0826850185524174,0,0,0,0,0,0,0,0,0,0,0,-0.0496044462692188,0.0509389811328429,-0.0936076312402356,0,0,0,0,0,0
X000568.SZ,0,0.378244680534153,0,0,0.504032335685413,0,0,0,0,0,0,0,0,0,0,0,0,0.0177219015580857,-0.000878355941586231,0,0,-0.0280841834930936,0,-0.0295037211452947,0,0,-0.0459378155077217,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448279885312459,0,-0.112820639490878,0,0,0,0,0,0,0,0,0.00227094784410672,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081872068840046,0,0.112987377184614,0,0,0,0,0.0567427821055618,0.249976421978933,0,0,0,0,0,0,-0.121523051241977,0,0,0,0,0,0,0,0,0.0718676833258768,0.132376974205082,0,0,0,0,0,0,0,-0.0325622897309326,0.0247284636719129,-0.00814962525895674,0,0,0,0,0
X600690.SH,0.154465309594756,0.0398975809056356,0,0,0,0,0,0,0,0.0535743831201799,0,-0.0308043758116061,0,0,0,0.130318566283434,-0.0342908538412663,0.0745958555521299,0,0,0.0165665345632314,0,0,0,0,0,0,0,0,0,0,0,0,-0.00203693656142037,0,0,0,0,0,-0.0247964356991192,0,0,0,0,0,0,0,0,0,0,0,0.0123558897193342,8.67361737988404e-19,0,0,0,-0.0344203442716267,0,0
X000625.SZ,0.00299653838063563,0,-0.2755663113511,0,0,0,0,0,0,0,0.162408836843191,0,0.10260126635185,0,0,0,0,0.337982419733657,0.0332624600824423,0,0.0411481958351115,0,0,0,0,0,0,0.207529927927737,0,0,0,0,0,0,0,0,0,0,0.149245770256738,0.0555970738946154,0,0,0.0759087918066027,0.325480691796367,0,0,0,0,0,0,0,0.0140952072420346,0,0,0,0,0,0,0
X000651.SZ,-8.67361737988404e-19,0,0,0.000668209621361717,0,0,0,0.0285909215272479,0,0,0,0,0,0,0,0,0,0.00611688820007621,0,0,0,-0.130061698589575,0,0,0,0,0,0,0,0.0219971520321418,-0.18305680814255,0.156646862049448,0,0,0,0,0.0843385322321773,0,0.0243476235804419,0,0,0,0.155799472927791,0,0,0,0,-0.0196187463403788,0,0.0739381122375029,0,0.0600246408604432,-0.127882402953336,0,0,0,0,0,0
