,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000063.SZ,X000725.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X000100.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X002241.SZ,X000157.SZ,X601877.SH,X600584.SH,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X000733.SZ,X300142.SZ,X600460.SH,X000800.SZ,X002007.SZ,X601799.SH,X002463.SZ,X000066.SZ,X002028.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.412783017105226,0.0836043163667968,0,0.0208498820638006,0.027743464443042,0,0,0,0.0727399464728667,0,0,-0.0724778966907329,-0.0341086700756304,0,0.00280960433286657,0,0,0,0,0.0513828688070988,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0117996679985407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258045854819237,0.00904020750816613,0,0,0,0,0.0142345731639384,0,0,0,0,0,0
X000858.SZ,0.127748779295207,0,0.548568296818129,0,0,0,0,0.0745681339377462,0.0226484665611184,0,0,0,0,0.00175130124635512,0,0,0,0,0.00046302582210995,0,0,0,0,0,0,0,0,0,0,-0.0111951804998991,0,0,0,0,0,0,0,0,0,0.0978709778204202,0,0,0,0,0,0,0,0.0647001616970032,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.542367911187721,0.242227311564852,0,0,0,0,0,0,0.0438503639510346,0,-0.0484056816440531,0,0,0,0,0,0,0.0724900319220566,0,0,0,0,0,0,0,0,0,0,-0.0300761517313422,-0.025741098054941,0,0,0,0,0.0219724149283973,0,0,0,0,0.259502048659255,0,0,0,0,-0.0366271264950611,-0.00265548406314795,0,0,-0.0984838148841785,0,0,-0.0266400726875001,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.197621497949958,0,0,0,0,0,0,0,0,0,0,-0.0308687729117423,0,0,0.0502986173764638,0.0649187947682106,0,0,-0.103528211547065,0,0.155008483596257,0.0285713912981828,0,0,0.285408072647584,-0.0195201252579104,0,0,0,0,0,0.0249944573785508,-0.322296399007836,0.393573285729197,0,0.0419192638601115,0,0,0,0,0,0,-0.0914435941401,0,0,0,0,0,-0.03562009975453,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,-0.0482226334380714,0,0.303884418872698,0,0,0,-0.0245211110332659,0,0,0,0,0,0.129599240271171,0.0739419289491814,0,0,0,0,0.081109135665788,0,0,0.214263071168105,0,0,0,0,0,0,0,0.021235506857328,0,-0.0883482877738983,0,0.0772704376783483,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.112333334485351,0.0794822246099716,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.19488952954893,0,0,-0.206244171898484,0,0.224803224611433,0,0,0.136380362025802,0,0,0,-0.345582160398981,0,0,0,-0.365829046828549,0.15333429615097,0,0,0,0,0,0.19922056794832,0,0,0,0,0,0,0,0,0,0,-0.0181086304730233,0,0,0,0,-0.0222542383907717,-0.0740220442462758,0,0,0,0,0,0
X002475.SZ,0,0,0,0.113258382490628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25176583588237e-05,0,0,0,0.0604683554474828,0.0699700597338327,0,0.65162397374523,0,0,0.11014611351949,0,0,0,0,0.00136295429309059,0,0,0,0,0,0,0,0,0,0,0,-0.0173712174117271,0,0,0,0,0,0,0
X600690.SH,0,0.262524362917873,0,0,-0.0184630322286685,0.0326177018524587,0,0,0,0,0,0,0,0,0,0,0,0,0.0132995402904987,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,-0.0242443901036955,0,0,-0.00302073050094447,0,-0.0243868422669351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225065883604689,0,0,0,0,0,0,0,0
X002304.SZ,0,0.131014699452059,0.34755830674061,0,0.0322208964285207,0,0,0,0,0,0,0,0,0.0475889359732277,0,0,0,0.0906926216333829,0,0,0,0,0,0,0,0,0,0,0.00570686441922907,0.00246396284562147,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.0134813015398274,0,0,0,0,0,0,0
X000651.SZ,0,0,0,-2.16840434497101e-19,0,0,0,0.436376718661101,0,0,0,0,0,0,0,0.06539612745098,0,0,0,0,0.0933440924181615,0,0,0,-0.0426626394673685,0,0,0,-0.0414963374265528,-0.0382690140291628,0,-0.00839204583844333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020316269681632,0,0.0200765059512401,0.0460486153627464,0,0,0,0,0,0
