,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X300124.SZ,X000063.SZ,X000725.SZ,X600104.SH,X002371.SZ,X002129.SZ,X000596.SZ,X003816.SZ,X600031.SH,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X002236.SZ,X002241.SZ,X000100.SZ,X000661.SZ,X600702.SH,X600584.SH,X002180.SZ,X601877.SH,X600522.SH,X300142.SZ,X000977.SZ,X600460.SH,X000157.SZ,X600741.SH,X002074.SZ,X000733.SZ,X002463.SZ,X300003.SZ,X600183.SH,X002007.SZ,X002294.SZ,X000066.SZ,X600487.SH,X000799.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.113337791327302,0.0937659776036437,0,0.0430516493797867,0,0,0.071207854151176,0,0,0,0.0225595277865528,0,0,0.0433289411962107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330589107528676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124226875971974,-0.0270025327088684,0,0.0251566225235622,0,-0.0176779883939484,0.0306845639087698,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0455181365480605,0,0.451579443194467,0,0,0,0,0,0,0,-0.00529284227956698,0,0,0,0,0,0.114128253116746,0,0,0,0,0,0.0457180948279707,-0.0395184017332449,0,0,0,0,0,0,-0.00496894039869135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158499930097515,-0.0147464312724568,0,0,0,0,0,0
X002415.SZ,0,0.076025721084014,0,0,0,0,0,0.0186146239683146,0,0,0,0,0,0,0.0739891469127096,0,0,0,0,0.164074160448995,0,0,-0.0796730481489614,0.00271003820299978,0,0,0.212657768102739,0,0,0,0,0,0.0824422093292123,0,-0.127853708781783,0,0.0479917507991068,0,0,0,0.0984734394679334,0,0,0,0,0,0,0,0,0,0,0,-0.0259555445594593,0,0,0,0,0,0
X000568.SZ,0.0586304158787075,0.271436417000903,0.18089589039244,0,0,0,0.353643098621874,0,0,0.0298936246431733,0,0,0,0,0,0,0,0,0,0,0.0371447778915958,0,0,0,0,0,0.0772003871889043,0,0,0.0404026709580499,0,-0.055018080653281,0,0,-0.0292043691981685,0,0,0,0,1.0842021724855e-19,0,-0.0406676196621861,0,0,0,0.0325390350023646,0,0,0,0,0,-0.00768898926379019,0,0,0,0,0,0,0
X600809.SH,0,0.168162017913648,0,0.171667567763193,0,0,0.224664104151846,0,0,0,0,0,0,0,-0.00315512476395445,0,0.0626788578359424,0,0,0,0,0,0,0,-0.0394418434743422,0,0.0534377629016425,0,0,0.0251786053668208,0,0,0.144870114804426,0,0,0,-0.0356630593290037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243200388331848,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0583933525616113,0.0645563816307841,0,0,0,0.05744929137737,0,0,0,0.169836817909333,0.0284066976898967,0,0,0,0,0,0,0,0,0,0,0.00900725976100258,0.168724707989162,0,0,0.109980547041149,0.00314747156774337,0.0372271250940367,-3.46944695195361e-18,0,-0.0107386336321965,0,0,0,0,0,0,0
X002304.SZ,0,0.35402605944454,0,0.397221945786065,0,0,0,0,0.0514384413897775,0,0,-0.0584037998442312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0324491292542032,0,0,0.0729117361489957,0,0.0775910201801944,0,0,0,0,0.0156177161170927,0,0,0,0,0,0,0,0.0205518003153243,0,-0.086032410912863,0,0,0,0,-0.0163951803929681,0.0130323801074292,0,0,0,0,0,0
X002475.SZ,0,0,0.072412231205351,0,0,0,0,0,0,0,0.213310745242622,0,0,0,0,-6.93889390390723e-18,0,0,0,0.298310177016923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236757899628804,0,0,0,0,0,0.149118315957321,0,0.0369702198133904,0,0,0.185241357110774,0,0,0,0,0.414359067344291,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.155182477629093,0,0,0.249091393721964,0,0,0,0,0,0,-0.137572366612339,0,0,0,0,0,0,0,0,0,-0.287884956830693,-0.00376380736537088,0,0.0177949279836633,0,0.197117864404371,0,0,0,0,-0.00346639461790285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151840984092148,0.021668008277015,0,0,0,0,0,0
X000651.SZ,0,0.165342468378547,0,0,0,0,0,0,0.31427140775298,0,0,0,0,0,0,0,0,0,0,0,0.12540929898216,0,0,0,0,0,0,0,0,0,0,0,0,0.00657449328519781,0,0,0,0,0,0.00181394389307203,0,0,0,0,0.0673352211113047,0,0,0,0,0,-0.0145632694215217,-0.00480342368842842,0,0,0,0,0,0,0
