,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002506.SZ,X000100.SZ,X002292.SZ,X600031.SH,X600066.SH,X002241.SZ,X600118.SH,X000559.SZ,X600741.SH,X002236.SZ,X000157.SZ,X600372.SH,X002475.SZ,X002049.SZ,X002465.SZ,X000338.SZ,X600089.SH,X000568.SZ,X600498.SH,X600177.SH,X300124.SZ,X002294.SZ,X000869.SZ,X300003.SZ,X600867.SH,X601877.SH,X002456.SZ,X002129.SZ,X600582.SH,X002085.SZ,X002426.SZ,X002074.SZ,X000977.SZ,X300146.SZ,X000623.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.0551346711543287,0,0,0,0,0,0.00404198288492624,0,0,0.0915647321922891,0,0.00932900219347747,0,0,0,0,0,0,0,0,0,0,0,0.112908007825648,0,0,0,0.0369836306899,0,0,0.00167727508452219,0.0133397269895022,0,0.0150969378335264,0,0.013465384973122,0,0.025338003101407,0,0,0,0,0.00714144254067262,0,0,0,0,0,0
X600104.SH,0,0,0,0.14495599710064,0,0,0,0,0.0992604703524387,0,0,0,0,0,0.0250364725759982,0,0,0.147587480378571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140203138768082,0,-1.73472347597681e-18,0,0,1.0842021724855e-19,0.00513651525972301,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0503000513502263,0,0,0.0823861632110744,0,0,0,0,0.0228889023924809,0.0569000051744036,0,0,0,0,0,0,0,0,0,0.415622164185385,0,0,0.0425570523656766,0.0729554692879019,0,0,0,0.0446388540150612,0,0.0191986614828914,0,0,0,0,0,0,0,0.019991763231324,0,0,0,-0.030441870888379,0,0,0,0,0,0
X000651.SZ,0,0,0.049645918167348,0,0,0,0,0,0,0,0,0,0,0.430162736551798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253980785297235,0,0.111881466644777,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0622330726311795,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540341553318284,0,0.0610863619712471,0,0,0,0,0,0,0,0,0,0,0,0.100208182326496,0,0,0,0,0,0,0.0747819897941767,0.0139301626115291,0.0324301249020005,0,0,0,0,0,0.196230441336529,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.036376153501464,0,0.124350186999282,0,0.162566598666944,0,0.140620498211948,0,0,0,0,0,0,0,0.07401686638281,0,0,0,0.023898440300018,0,0,0,0.199399085842459,0,0,0,0,0,0,0,-0.0321921673864348,0.0436396452460353,0,-0.119981877714244,0,-0.0188377821459225,0,-0.0055638118263402,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0658529685349819,0,0,0,-0.0925764661318248,0,0,0,0,0,0.0341009419591369,0.0694817040074665,0,0,0,0,0,-0.0553172214788812,0,0,0,0,0.0223125190110129,0.125346483464713,0,0,0,0,0,0,0,0,0,0,0,0,0.0499456187611382,0,0,0,0,-0.0067586116447801,0.011156196734906,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.108787782152707,0,0.0234137531544956,0,0,0,0,0,0.0488518711190088,0,0,0,0,0,0,0,0,0,0,0,0,0.109443662914168,0.198719443570368,0,0,0,0,0,0,0,0,0,0,0.00438033866219144,0,0,0.0738824345158645,0,0,0,0.025825215145592,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0292334701404855,0,0,0,0,0,0,0,0,0,0,0.00531798551588865,0,0,-6.93889390390723e-18,0,0.209760593484361,0,0,0,0.0129353382116711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368836193303119,0.00549643686573808,0,0.245274441227823,0.239052399022042,0,0,-0.0194925971825004,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0361674351169738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580993474027237,0,0.051197359019627,0,0,0,0,0,0,0,0,0,0,0,0.170658096496166,0.205085897879207,0,0,0,0,0,0,0.0692119854769746,0.032177207941415,0,0.130556461542487,0.000310705146575423,0,0,0,0,0,0,-0.017592792929719,0,0,0,0,0,0
