,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600372.SH,X600741.SH,X000157.SZ,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X002236.SZ,X600118.SH,X000581.SZ,X601877.SH,X002475.SZ,X000550.SZ,X600177.SH,X000800.SZ,X600582.SH,X002129.SZ,X000568.SZ,X300124.SZ,X002294.SZ,X000559.SZ,X000623.SZ,X002292.SZ,X600060.SH,X000050.SZ,X300003.SZ,X002456.SZ,X000400.SZ,X000869.SZ,X300146.SZ,X000977.SZ,X002465.SZ,X600839.SH,X002007.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600276.SH,0,0,0,0.0125407960071031,0,0,0.0196028915691515,0,-0.0779746102085247,0,0,0,0.0326311176203187,0,0,0,0,0,0.0637260076974601,0.216692389081317,0,0.00348098107905284,0.104957218442645,0,0,0,-1.73472347597681e-18,0,0,0,0,0.122526721110897,0,0,0,0,0,0,-0.0591481180365001,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127399300254857,-0.00227747244270521,0,0,0,0,0,0
X600031.SH,0.151522898366114,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-6.93889390390723e-18,0,0,0.808959993316712,0,0,0,0.0113986192059362,0,0,0,-0.00968378839725333,0,0,-0.0485921906088244,0.0349883923633319,0,0,0,0,0,0,0,0,0,-0.00129130757320922,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199146475472649,0,0,0,0,0,0,0
X000100.SZ,0.101810656872684,0,0,0,0.208268069767463,0,0,0.0708582612451101,0,0.039243561532757,0,0.00991150976494903,0,0,0,0,0.0223818052528626,0,0,0,0,0,0,0,0,0.03167211669236,0,0.0263824086027523,0,0,0,0,0,0,0,0,0,0,0.290709905689256,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199537802013114,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0966685785405758,0.0208943071740667,0,0,0,0,0,0,0.623576522918338,0,0,0,0,0.0127128472706776,0,0,0,0,0,0,0,0,0,0,0,0.00371049948224181,0,0,0,0,0.0175936195573553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637786547983225,0,0,0,0,0,0
X600372.SH,0,0,0.0717380388406806,0,0,0,-0.0247726865868047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781498949662689,0,0.18996996685138,0,0,0.145343364930532,0,0,0,0,0,0,0,0,0,0.0866409367256007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441771285140054,0.0359588681599722,0,0,0,0,0,0
X600741.SH,0.402396966414958,0,0.0642267290656133,0,0,0,0,0,0,0.0775918653048315,0,0,0,0,0,0,0,0,0,0,0.101693145540145,-0.030562290787444,0,0,0,0,0,0.0313237765429655,0,0,0,0,0,0.0629560302460224,0,0,0,0,0.0260480390507957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143763926504739,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0.78450940069816,0,0.010981505484081,0,0,0,0,-0.0263136957788459,0,0,0,0,0,0,0,0,-0.0149815535623351,0,0,0,0,0.0375964062869936,0.0547467813065765,0,0,0,0,0.00609592484626122,0.212395692250975,0,0,0,0.0126453227437263,0,0,0,0.0392454182675164,0,0,0,-0.0604926220746926,0.00965522780467576,0.11883748608899,0,0,0,0,0
X002241.SZ,0.269216135956388,-0.0517634251449246,0.0510309289073336,0,0,0,0,0,0,0,0,0,-0.0128236692650139,0,0,0,0,0,0,0,0,0.0801326432630398,0.145524642679595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106709724423556,0,0,0,0,0,0,0.00197265704778524,0,0,0,0,0,0,-0.0153986295257309,-0.0120973929746311,0,-0.153095646518883,0,0,0,0
X600703.SH,0.0262174174417388,0,0,0,0,0,0,0.242098383451412,0.0378812177104533,0,0,0,0,0,0,0.000947414113638541,0,0,0,0.08342622180625,0,0.0327079025901602,0,0,0.106612221608815,0,0,0,0,0,0,0.236305792825101,0,0,0.089166349254601,0,0,0,0.0404334077305742,0,0,0,0,0,0,0,0,0.0583957323392882,0,0,0,0,-0.014495098916061,0,0,0,0,0,0
X600066.SH,0,0,0.201627882418583,0,0,0,0,0,0,0,0,0.133777576767734,0.0854404694350514,0.0649103696963872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235602441438271,0,0.0894732637407691,0,0,0,0,0,0,0,0,0.0244057732998694,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000395793610810072,0,0,0,0,0,0
