,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X000100.SZ,X600703.SH,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X600839.SH,X000559.SZ,X000338.SZ,X002236.SZ,X002241.SZ,X600066.SH,X600089.SH,X000016.SZ,X600741.SH,X002475.SZ,X002129.SZ,X300124.SZ,X000547.SZ,X600435.SH,X002465.SZ,X600582.SH,X002506.SZ,X000568.SZ,X000066.SZ,X000800.SZ,X600177.SH,X300003.SZ,X002294.SZ,X600312.SH,X000977.SZ,X600867.SH,X002456.SZ,X600252.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0559282071298479,0,0,0,0,0,0.187578810323037,0.137537310504483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173143947386863,0,0.019730608165412,0,0,-3.46944695195361e-18,0.0459583533444692,0,0,0,0,0,0,0.0717935917172694,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.022453827036141,0,0,0,0,0,0,0
X600104.SH,0.0577766886820133,0,0,0,0,0,0,0.227466156545692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221804897804862,0,0,0,0.0389864735029207,0.0527696065793454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460185803063354,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.150890877411984,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011381153331577,0,0,0,0,0.179923813148942,0.032237551308956,0,0,0,0.0791864890192052,0.0867403958532919,-0.0880846239019777,0,0,0,-0.054445600419023,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.112760191436607,0,0.19631180100029,0,0,0,0,0,0,0.220033025861163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247687891750734,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.136777613492704,0,0,-0.0033541035391211,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0187264567593191,0,0,0,0,0.0691790202510537,0.0688487737044083,0,0.0365507013665044,0,0,0.114495839253588,0.0326821023316441,0.00612906780949257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388096116738274,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147291396117439,-0.000302459680341276,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,8.67361737988404e-19,0.192967533030017,0,0,0,0,0,0,0,0,0,0.0807042768015919,0,-0.0483559490922283,0.098188472477745,0,0,0.0570816075275981,0,0,0,0,0,0,0,0,0,0,0,0.452445453123987,0,0,0,-0.0690582317044509,0.00776071985015005,0,0,0.0284936494498557,0,0,0,0,0.00932079077539144,-0.0336893802903064,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.360927066520163,0,0.175026997102313,0,0,0,0.0546105147954366,0,0,0,0,0,0.00751636205486666,0.0413406260115473,0,0,0,0.145954096563933,0,0,0,0,0,0,0,0,0,0,0.00904553899061428,0,0,0.0228750105984119,0,0,0,0,0,0,0,0,0.009857455159048,0,0,0,0,0,0
X002304.SZ,0,0.242094527807761,0,0,0,0.0785725882458135,0,0,0,0,0.0366367789762334,0,0,0,0,0,0,0.0212827972877509,0,0.0742701713114648,0,0,0,0,0,0,0,0,0,0.184719604944285,0,0,0,0,0,0.00148156280905929,0,0,0,0,0,0,0,0.0682185992467693,0,0,0,0,0.0204910515294739,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.143670987940766,0,0,0,0,0.0325162647968967,0,0,0,0,0,0.0483737729549253,0,0.254668132741599,0,0.172445500601221,0,0,0,0,0.0321461578974719,0.0919937751247382,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0146953408311896,-0.0151673326937066,0,0,0,0,0,0
X000625.SZ,0,0.0139510689252141,0,0,0,0,0.0401130777716668,0,0,0,0.0419625454943357,0,0.134581382630136,0,0,0.0071506927114242,0,0.0252261095925932,0,0,0.0101036592813701,0,0,0.043759714955348,0.0263202974749409,0,0.106946887504312,0,0,0,0,0.0458212300730215,0,0,0,0.204766591405263,0,0.0695032966825769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
