,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X000063.SZ,X300124.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000725.SZ,X600031.SH,X000596.SZ,X000625.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X000977.SZ,X000100.SZ,X600372.SH,X002236.SZ,X002241.SZ,X601877.SH,X000157.SZ,X600741.SH,X600584.SH,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X000733.SZ,X000066.SZ,X300003.SZ,X600702.SH,X600460.SH,X300142.SZ,X300146.SZ,X002007.SZ,X000800.SZ,X000921.SZ,X002463.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.29365747988119,0,0,0,0,0,-0.0125192117286566,0,0,0,0,0.0255066222016758,0,0,0,0,0,0,0,0.0951238549856622,0,0,0,0,0,-0.031980637212049,0,0,-0.0340687951744637,-0.0551336534269506,0,0,0,0,0,0,0,0,0,0,0,0.110506089148327,0,0,0,0,0,0.0991190007689392,0,0,0,-0.00393207796400816,0,0,0,0,0,0
X000858.SZ,0,0,0.408123942560499,0,0,0.0373041939082585,0,0,0,0,0,0,0.00331846427624004,0,0,0,0.0845300092696174,0,0,0,0,0,0,0,0,0.0203121140959018,0,0,0,-0.039766399826858,0,0,0,0,0,0,0,0,0,0,0.0518450750393612,0,0.154642680397339,0,0,0,0,0,0.0192290343738441,0,0.00757248285014833,-0.0369524106583244,-0.00964431642253168,0,0,0,0,0,0
X000568.SZ,0,0.433293166079641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00408309529973826,0,-0.132489054444353,0,0,0,0,0,-0.0153375233710232,0,-0.0507442874522229,0,0,0.067400559083424,0,0,0,0,0,0,-0.0291962613668805,0,0.0920189347006619,0,0,0,0.283693229442999,-0.0301837321311656,0,0,0,0,0,-0.0281209645985999,0,0,-0.0207763229542398,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0195052114713121,0,-0.163701454653696,0,0,0,0,0,-0.149534701955329,0,0.285125915418897,0,-0.0997188360938365,-0.0182727979184709,0.208245465072581,0,0,0,0,0.287677634883189,0,0,0,0,0,0,-0.0924267207267907,0.177485430332484,0,-0.0317860422479887,0.0982655425666762,0,0,0.0690294442436467,0,0.22134757310558,0,0,0,-0.151165181219251,0,0.00157359763978191,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.297001488490333,0,0,0,0,0,0,0,0,0,0,0.0506705478920831,0,0,0,0,0,0,0,0,0.0252330940906696,0,0.0505492250814732,0,0,0,0,0,0,0,0,0,0,0.0423284703538836,0,0,0,-0.0186554270468929,0,0,0,0,0.0531235609474578,0,0,0.193115627434808,-0.239026840684365,0,-0.00429761163197127,0,0,0,0,0,0,0
X600809.SH,0,0,0.186852916858461,-0.0494378116480961,0,0,0,0,0.0325038600799934,0.0135678105488308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801639859524339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113389692407723,0,0,-0.13056054118846,0,0,-0.200923188821686,0,0.170747863453868,0,0.468493618487841,-0.00957897923606066,0.0674012336574086,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.254083701194403,0,0,0.0298427781955984,0.189432836814298,0.5032463081682,0,0,0,0,0,0,0.0971708054164531,-0.248761035493858,0,0,0,0,0,0,0,0,0.0432864290129419,0,0,-0.0231240651600465,0,0,0,0,0,0,0,0,0,0,-0.14835867165351,0,0,0,0,0,0,0,0,0,0.0724038222214528,0.0987246870354783,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0685657629054124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995227289698408,0.691337197620405,0,0,0,0.150400905964365,0,-0.0249102071102842,0,0,0,-0.0547716431442426,0,0,0,0,-0.212819359070514,0,0,0,0,0,0,-0.0124564391627816,0,0,0,0,0,0
X000651.SZ,0,0,0.0788261522961738,0,0,0,0,0,0,0,0.283238064975821,0.0813522593926817,0,0,0,0,0,0,0,0,0,-0.439777654084494,0,0,0,0,-0.00410980213227596,0,0.0839710395078197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450464664595317,0,0,0,0,0,0,0,0,0.016728821772615,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0719783415073088,0,0,0.0450834791645474,0.0660139102929378,0,0.0543210437932367,0,-0.00865404860525287,0,0,0,0,0,0.069586263844332,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861260102197727,0,0,0,0,0.00823744139650684,0,0,0,0,0,0,0,0.108610557264041,0,0,0,0,0,0,0.0086967065341108,0,0,-0.0224308544376078,0,0,0,0,0,0
