,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X002236.SZ,X600089.SH,X000100.SZ,X000581.SZ,X600118.SH,X002475.SZ,X000050.SZ,X000559.SZ,X601877.SH,X000550.SZ,X002294.SZ,X002129.SZ,X600271.SH,X000568.SZ,X600066.SH,X002456.SZ,X002292.SZ,X600435.SH,X300124.SZ,X000400.SZ,X300003.SZ,X000869.SZ,X000800.SZ,X002049.SZ,X600839.SH,X000977.SZ,X002038.SZ,X600566.SH,X000623.SZ,X002008.SZ,X600177.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0.043466351100831,0,0,0,0,0,0.00458835260304602,3.46944695195361e-18,0,0,0,0,0,0.397805312035304,0,0,0,0,0,0,0,0.0335054769224508,0,0.0496698607574344,0,0.0056540995828275,0,0,0,0.0229054579664533,0,0,0,0.202015489219325,0,0,0,0,0,0,0,0,0,0.0416099161737291,0,0,0,0,0.00152248100190866,0,0,0,0,0,0
X600519.SH,0.186015440595354,0,0,0,0.00256095767927511,0,0.322513992215382,0.0116383214035764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959333579620114,-0.0328491399225878,0,0,-0.0248361621689083,-0.0392402515013524,0,0,0,0,0,-0.0362132777374311,0,0,0,0,0,0,-0.00290138534769392,0,0,0,0,0,0,0,0,-0.0134791629857153,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421433953199742,0,0.164808068707957,0,0,0,-0.0256577293004991,0,0,0.122982731142962,0.05794841913879,0.139347168830072,0,0,0,0,0,0,0,0,0,0,0,0.0149493490806086,0,0,0,0,0,0,0,0.0285326377683674,0,0.0167889154691282,0,0,0,0,0,0,0
X000651.SZ,0,0.0998889729179968,0,0,0,0,0,0,0,0,0,0.15359590800703,0,0.0306106336258357,0.0940249209313456,0,0,0,0,0,0.0292238824494414,0,0,0,-0.0113100262470462,-0.0359094997328106,0.0537441129513124,0,0,0,0,0,0,0,0.190348039030203,0,0,0,0,0,0,0,0,0.186898633758081,0,0,0,0,0,0,0,0.0539065232724559,-0.0762038391661722,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0394047650409251,0,0,0,0,0,0.0374166126463341,0,0.314032759492658,0,0,0,0,0,0,0,0,0,0,0.00785963334401086,0,0,0,0,0,0,0,0,0.077820688285986,0,0,0.158825980254005,0,0,0.135802583199922,0,0,0.181032981715602,0,0,0,-0.015294427973036,0.0329549342726064,0,0,0,0,0,0
X000625.SZ,0.414185286906726,0,0,0,0,0,0,-0.0256603767610955,0,0,0,0,0,0,0,0,0.232238895032013,0,0,0,0,0,0.0283715448378373,0,0,0.0107267553897518,0,0,0,0,0,0,0.0720104722835159,0.0779482937129709,0,0,0,0,0,0,0.0794453163093366,0,0,0.0339816082764867,0,-0.0714611689226118,0,0,0,0,0,-0.00748517718860101,-0.0132911561409751,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.045628251405617,0,0,0,0,0,0,0.19099612323207,0,0,0,0,0,-0.0952807204991972,-0.0569467264667641,0,-0.00846379824876511,0,0,0,0,0.126276840782653,0,0,0,0,0.0676754877239086,0,0.106903960814399,0.282521738603369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.121690177715599,0,0,0,0,0,0,0,0,0,0,0.0855304128868987,0,0,5.42101086242752e-20,0,0,0,-0.0948711762793519,0,0,0,0,0,0,0.266163188000255,0,0,0,0,-0.0513738436297098,0,0,0.122771191304563,0.0960171090196626,0,0,0,0.24982937236328,-0.103260838048207,0,0,0,0,0,0.031835755903883,0,0.298697489292734,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134035531766836,0,-8.67361737988404e-19,0,0.0189630121784306,0,0,0,0,0.133467062296911,0.0583624446800959,0,0,0,0,0,0,0,0,0,0,0,0.0416190104581768,0,0.00764390364802463,0,-0.110314964436854,-0.0373627446170528,0,0,0.00034749532025473,0,0,0.0949503958807704,0,0.016182883420821,0.00193564807735981,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0423043601093354,0.0120037720968689,0,0,0,0,0,0,0,0,0,0,0,0,0.0632661675440678,0,0,0,0,0,0,0,0,0,0,0.00773008186327592,0,0,0,0.211855354051056,0,0.0151445062932536,0,0.0555656933513201,0.0655839336663653,0,0,0,0,0,0,0,0.0853793556244766,0,0,0.0155358937327851,0,0.00411781444896147,0,0,0,0,0,0,0
