,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600703.SH,X000100.SZ,X002241.SZ,X600741.SH,X002292.SZ,X600066.SH,X002506.SZ,X600118.SH,X600031.SH,X002049.SZ,X002465.SZ,X600372.SH,X002236.SZ,X000157.SZ,X002475.SZ,X000559.SZ,X000338.SZ,X000568.SZ,X600089.SH,X300003.SZ,X300124.SZ,X600867.SH,X600177.SH,X002294.SZ,X002007.SZ,X002456.SZ,X600584.SH,X000869.SZ,X300146.SZ,X600498.SH,X002512.SZ,X002129.SZ,X002074.SZ,X600699.SH,X000550.SZ,X002085.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0171303082019696,0.0614380280284499,0,0,0,0,0,0,0,0.108381442352659,0.109335937658314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666284518585742,0,0,0,0,0,0.0435882772116864,0,0,0,0,0,0,0,0,0,0,0.0184458230664957,0,0,0,0,0,0,0
X600104.SH,0.111734680130954,0,0,0.0666004786235521,0,0,0,0,0.23929509744473,0,0,0.036031854049024,0.0867860388562514,0,0,0,0,0,0,0.0199144148621359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952733950312895,0,0,0,0,0,0,0,0,0,0,-0.0343113955774128,-0.00993354005830614,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.128848981555398,0,0.227641883553016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207654721742698,0.309150118276568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275862143826751,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.127441140124368,0.0987232330525547,0.199431132558748,-0.0297158343659629,0,0.0622852833749348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141535513800759,0,3.46944695195361e-18,0,0,0.00648342254103911,0.0734007154159757,0.179576615867022,0.0915169280798292,0,0,0,0,0,0,0,0,0,-0.00277081986357555,-0.0150938577512988,0,0,0,0,0,0
X002304.SZ,0,0.0537655564859789,0,0,0,0,0,0,0,0,0,0,0.026131060308212,0,0,0,-0.0472625996459612,0.0893140854198157,0,0,0,0,0,0,0,0,0,0.177486545614178,0,0,0,0.215656061731601,0.0714040466303957,0,0,0,0,0.0984337137366461,0,0.0536944210105597,0,0,0,0,0,0,0,0,0,-0.0280780818116608,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146490754664093,0.248676122526832,0.0294468147470337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911857910291921,0,0,0.137693652150665,0.0213852307094038,0.0241832101893014,0.037412345845837,0,0,0,0,-0.01482837337492,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.150660245798595,0,0,0.0601089416945096,0,0,0,0,0,0.0892601263175912,0,-0.124893317997658,-0.0205011821898202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060935896874937,0,0,-0.00573493967065911,0,0,0,0,-0.0923455039510023,-0.0105820438797957,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773128515391141,0.0552579746207285,0,0.118024455977801,0,0,0,0,0,0,0.148555518970316,0,0.0317705653096224,0.0779892723664177,0,0,0,0,0,0.138727830475722,0,0,0,0,0,0,0,-0.0282903585519294,0,0,0,0,0,0
X000625.SZ,0,0,0.26627462083393,0,0,0.0351088216063277,0,0,0,0,0,0,0,0,0,0,0,0.034697797451425,0,0,0,0,0,0,0,0.241240259342494,0,0,0,0,0,0,0.120681182958304,0,0,0.00200206356456503,0,0,0.0680577754897192,0,0,0,0,0,0.123009182049513,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.184646168733715,0,0,0,0.123358646755075,0,0,0,0,0,0,0,0,0,0,0,0,0.122558941582776,0,0,0,0,0.203320525966533,0,0.168248176941332,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.132313978084717,0,0.0222378431826108,0,0.00944596090702087,0.0335999449595563,0,0,0,0,0,0,0,0.168470065282863,0,0,0,0,0,0,0.015740148186997,0,0,0.138332882838903,0,0,0.0414973676197804,0.0941758419495332,0,0,0,0,0,0,0.047914402217738,0,0,-0.0213298984181679,0,0,0,0,0,0
X000100.SZ,0,0,0.0700312381384356,0,0,0,0,0,0.0510120561245299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375071398745227,0,0,0,0,0.0232976337332213,0,0,0,0.0122179794927288,0.250802135200278,0,0,0,0,0,0.0681254396973171,0,0,0,0,0,0,0,-0.0799023483873719,0,0,0,0,0,0
X002241.SZ,0,0,0.0201402164181774,0,0,0,0,0,0,0,0.1284617234227,0,0,0,0,0,0,0,0,0.00820017061066155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462939756155853,0.064163533946809,0,0,0.109052129329832,0.0700370424944043,0.190092918320857,0,0,0,0,0.199179272853148,0,0,0,0,0,0,0,0,0
