,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000568.SZ,X000725.SZ,X003816.SZ,X600809.SH,X000338.SZ,X002241.SZ,X600703.SH,X600690.SH,X300142.SZ,X002007.SZ,X300014.SZ,X000596.SZ,X002371.SZ,X300124.SZ,X000100.SZ,X002049.SZ,X300003.SZ,X600741.SH,X002129.SZ,X000157.SZ,X000800.SZ,X002414.SZ,X600584.SH,X002236.SZ,X600183.SH,X601877.SH,X000625.SZ,X000977.SZ,X000066.SZ,X002456.SZ,X002179.SZ,X300136.SZ,X002185.SZ,X002463.SZ,X002008.SZ,X600118.SH,X601799.SH,X002180.SZ,X000021.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.157875051250547,0,0,0,0,0,0.116290674780349,0,0,0,0,0,0,0,0,0,0,0,0.158860172777614,0,0,0.133580176342794,0,0,0,0.0176847350105413,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0280632629898428,0,0,0,0,0,0,0,0,0,0.0707756993265979,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.22647951276626,0,0,0,0.215690368140132,0,0,0.345063928289826,0,0.0728606983737529,0.0429571969360519,0,0.0293110426602269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229782137867996,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00736218917201228,0.00295141989279716,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0745792727986353,0.254060356831159,0,0,0,0,0,0.0277711515830583,0,0,0,0,0,0.0401967832611139,0,0,0.145978997339268,0,0,0.0145743258986533,0.131697241537678,0,0,0,-0.0561872254481303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165666172736163,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275762544971302,0,0.0354101186577427,0,0,0,0.105242039253151,0,0,0,0.0713730875611199,0,0,0,0,0,0,0.0456760745139259,0,0.055353568598283,0,0,0,0,0.113563853327896,0,0,0,0,0,0,0,0,0,-0.0163593736843141,0.000349993629011161,-0.0363842056961768,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0751312231189022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122156722262318,0,0.017454259433395,-0.0279777337445723,0,0,0,0,0.311400266735333,0,0,0,0.151600274837046,0,0,0,0,-0.0253165639941535,0,0.0308880322345952,0,0,0.00374981201411483,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0283738414183358,0,0,0,0.0837728991261829,0,0,0,0.102954248636984,0,0.0120262446479638,0,0.0642364343500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305348484553953,0,0,0,0,0,0.0187602718953161,-0.0248392471912732,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0814966518677057,0.0448853218109474,0,0,0,0,0,0,0,0,0,0,0,-0.0301573267568087,0,0,0,0,0,0,0,0,0,0.0444102709216347,0,0,0.201922539265404,0,0,0.104778989484872,0,0,0.000449960369226052,0,0,0.106170964211918,0,0.055942020485282,0,0,0,0,-0.111428184520316,-0.0066975571626405,0.0063423438639165,0,0,0,0,0,0
X002304.SZ,0,0.201774636988841,0,0,0,0,0,0,0,0,0,0.356350288023323,0,0,0,0,0,0,0.113431634022053,0.0463505921773757,0,0,0.137847334586823,0.0498477342790227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129781076185374,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.147976151986898,0,0,0,-0.113674664019726,0,0,0,0,-0.0220810750298148,0,0.0946854197714743,0,0,0,0,0,0.278703170989523,0,0,3.46944695195361e-18,0.0376934735862159,0,0,0.012219079877717,0,0,0,0,0,0,0,0,0,0,0,0.0411788456344314,0,0,0,0,0,0,0,0,0,0,0,0.01448812899496,-0.0316788991484919,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0335539469547709,-0.101837832684266,0,0,0,0,0,0,0.397522756586871,0,0,0,0.047439503143982,0,0,0.0631327140600786,0,0,0,0.0907719964468644,0,0,0.0207468264973361,0.199956356752948,0,0,-0.132584958937021,0,0,0,0,0,-0.0170189503819049,0,0,0.0834625992516267,0,0.178472504823604,0,0,0,0,0,0,-0.00930725295287315,-0.0135044742343392,0,0,0,0,0,0
