,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X600104.SH,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X002241.SZ,X000063.SZ,X600703.SH,X003816.SZ,X000625.SZ,X002129.SZ,X002049.SZ,X601877.SH,X000596.SZ,X300142.SZ,X000661.SZ,X000100.SZ,X600089.SH,X002179.SZ,X600460.SH,X000799.SZ,X000157.SZ,X600741.SH,X002074.SZ,X002236.SZ,X600702.SH,X600884.SH,X002414.SZ,X600779.SH,X600584.SH,X000800.SZ,X601799.SH,X600183.SH,X002007.SZ,X002176.SZ,X300003.SZ,X000733.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.309144630554353,0,0,0,0.132047719715546,0,0.0586699221889375,0,0,0,0,0,0,1.73472347597681e-18,0.0482542762577471,0,0,0.0143540837076521,0,0,0,0.0414409467717999,0,0,0,0.000897011110120026,0,0,0,0,-0.0482220902687318,0,0,0,0,0,0.0675825547595826,-0.0140835354146186,0,0,0,0,0,0,0,0,0,0,0,0,-0.000760712026419376,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.121454665988742,0.354097948068562,0,0,0,0,0,0.0998269589080095,0,0,0.0259557946324119,0,0,0,0,0,0,0,0.0315725049819545,0,0,0,0,0,0,0,0,0,0,0,0,0.00448264571821704,0,0.00425029614187829,0,-0.110773194723745,0.190128637756077,0,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,0,0,0.0371732800805076,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138455481239569,0,0,0,0,0.14700119198142,0,0,0,0,0,0.0472019652550562,0,0.0589287258619108,0,0,0,0,0,0,0,0,0.0475103566306062,0,0.0590957394867871,6.93889390390723e-18,0,0,0,0.0841770289474312,0,0.0185776759565216,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0385575581803403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107249038340227,0,0,0,0,0,0,0,0,0,-0.103811557536124,0.415571433481066,0,0,0,0,0.321986037770195,0,0,0,0,0,0,0,0,0.0408380105734873,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X600276.SH,0,0.264512307777825,0,0,0,0,0,3.46944695195361e-18,0,-0.0963046099201521,0,0,0,0,0.268537916488932,0.328945588378547,0,0,0,0,0,0,0,-0.293273443709735,0,0,0,0.0837025440714641,0,0,-0.190389677406029,0,0.0197915499532902,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.00579585856667963,0,0,0,-0.00787784883895503,0.0862557081078245,0,0,0,-0.0145017278065665,0,0,0,0,0,0,0
X000568.SZ,0,0.538358468049555,0,0.136128983988076,0,0,0,-0.0297800782652163,0,0,0,-0.0545986655796311,0,-0.0411934768850443,0,0.0397140797954325,0,0,0,0,0,0,0,0,0,0.0355626404263744,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,-0.143267011375293,0.0176648124776126,-0.0747657387928621,0,0.0587809104538497,0,0,0,0,0,0,0,0,0,0,-0.0338230326420356,0.00497624270870231,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.222487977797979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050629919947116,0.0582336139841406,0,0.0150981030043783,0,0,0,0,0,0.170229964939957,0,0.0975521181371476,0,0,0,-0.0482753474251839,0,0.0930575515294486,0,0,0,0,0.0710613143245298,0.0592675341291303,0,0,0,0,-0.030192307844873,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.153248998442897,0.109633485482076,0,0,0,0,0,0.0565214363089004,0,0,0.0484299639513368,0,0,0,0,0,0,0,0,0,0,0,0,0.0069852555192127,0,0,0,0,0,0.149973423280984,0,0,0,0.0281302435664689,0,0,0.0672164731949785,0,0,0,0,0,-0.0481066761242604,0,0,0,0,-0.0170066620082385,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0359657060561792,0,0,0,0,0,0,0,0,0,0.0223004204903179,0,0,0,0,0,0,0,0,-0.00534628242494027,0,0,0,0,0.0103078561855105,0,0,0,0,0,0.0775518281090938,0,0,0,0,0,0,0,0,0,-0.13151685323504,0,0,0.0249963391333194,0,-0.0214435239531598,0,0,-0.0473190006370702,0.0781484016383611,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0218715742825483,0,0.160268545356761,0,0,0,0.239013926424296,0,0,0,0.0371594269103287,0,0.0313540661363829,-0.201416797775019,0,0,0,0,-0.169404546244694,0,0.0976618177806983,0,0,0,0,0,0,0.0014372349206039,0,0,0.0303586487771539,0,0.132297209495506,0,0.116175861393559,0,0,0,0,0,0,-0.0257365107013148,0,0,0,0,0,0
