,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600276.SH,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000625.SZ,X000725.SZ,X600031.SH,X000063.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X002179.SZ,X000100.SZ,X002463.SZ,X600089.SH,X000157.SZ,X600584.SH,X600703.SH,X600372.SH,X000977.SZ,X600183.SH,X600066.SH,X600741.SH,X002236.SZ,X600522.SH,X002028.SZ,X600418.SH,X002049.SZ,X601877.SH,X000661.SZ,X002180.SZ,X002223.SZ,X000921.SZ,X000800.SZ,X600487.SH,X601799.SH,X002129.SZ,X002156.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.197371228499636,0,0.215225714154466,0,0,0,0,0,0,0,0,0,0.0128957412892583,0,0,0,0,0,0,0,0,-0.0593337547607438,0,0,0,0,0,0,0,0,-0.00419862122536883,-0.000628929771927398,0,0,-0.00962438217821406,0,0,0,-0.0544316777461601,0,0,0.0208759833016114,0,0,-0.0410249598298556,-0.0458042467891185,0,0,0,0.00928702212452147,0,0
X000858.SZ,0.261130790009874,0,0,0,0.00614417078918969,0,-0.0507888754078914,0,0,0.310010960231578,0,0,0,0,0.0408676779266017,0,0,0,0,0.0266314821620446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835237190673492,0,-4.33680868994202e-19,0,0,0,0,0.011377988668702,0,0.0580610977771309,0,0,0,0,0,0.0420047865780638,0,0,-0.000524276782462864,-0.0042729222502805,0,0,0,0.0430466332312921,0,0
X002475.SZ,0,0,0,0,0,0,0.0563525192799831,0,0,0,0,0,-0.0546462163487125,0,0,0,0,0,0,0,0.188778436815121,0.455533641311811,0,0,0,0,0,0.088471588641867,0,0,0,0,0.105312576317626,0,0,0.000127502600646483,0.0377995332864764,0,0,0,0,0,0,0,0,0,0,0.0333220379401311,0,0,0,0.0386727975169138,0.0460888615813575,0,0,0,-0.0307850475223789,0,0
X002415.SZ,0,0,0,0,0.0661818350763935,0,0,0,0,0,0,0,-0.178999709733619,0,0,0,0,0,0,0,0.0312151480683254,0,0,0,0,0,0,0,0,0,0,0.0369075067108518,0,0,0,0,0,0,0.0486669605148624,0,0,0,0,0,0,0,0,0.158311257537005,0,0,0,-8.67361737988404e-19,0.0103954884514692,-0.152515602964444,0,0,0.0576894693086066,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037443925373097,0,0,0,0,0,0.0851095030148429,0,0,0.0269554605590489,0,0,0,0,0,0,-0.10066242661633,0,-0.0667822947829603,0,0,0,0,0,0.0899722867513287,0,0,0,0,0,0,-0.00193271990498534,0.208172633098956,0,0,0,0,0.114330695305312,-0.212805776603428,-0.0212033932697591,0,0,0,0,0
X600690.SH,0,-0.253876151776551,0,0,0,0,0,0,0,-0.0892617797471222,0,0,-0.0606524534933141,0.193797918796951,0.00955231184406169,0,0,0,0.0770635608748668,0,-0.052867933138672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0753594833027155,0,0,0,-0.0370181626285792,0,0.39127048051885,0,0,0,0.0597698814323513,0,0,0,0,0,-0.0282683525866185,0,0,0.082466016432882,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.238027656997124,0,0,0,-0.105966710949092,0,0,0,0,-0.0445951826261566,0,0,0,0,0.00624102941559823,8.67361737988404e-19,0,-0.136012012806442,0,0,0,0,0,0,0,0.0808647283654476,0,0,0,0,-0.0685397369841151,0,0,0,0,0,0,0,0,0.128883692749539,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0.111660977107607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32603210799332,0,0,0,0,0,0,0,-0.0191138760178975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617014669212614,0.0465375768329001,0,0,-0.0776439364638625,0,0,0,0,0,0,0,0.234549942132187,0,0,0.0243867325049099,0,0
X000651.SZ,0,0,0,0,0,0.0701103336543317,0.0838167256347344,0,0,0,0,0,-0.0137949075325456,0,0.159804876309005,0,0,0,0,0,0,0,-0.036299173254952,0,0,0,0.0240606591183254,0,0,0,-0.0225458846093815,0,0,0,0,0,0,0,-0.00782886266525063,0,0,0,0,0.0760826431056267,-0.0941942756140017,0,0,0,0,0,0,0,0.0277757834070625,0,0,0,0,0,0
X000568.SZ,0.200721301521837,0.505346824125545,0,0,0,0,0,0,0,0,0.0535745448638585,0,0,0,0,0,0,0,0,0.150012509874671,0,-0.00370138298170958,-0.0212825678713196,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442833568978938,0,0,0,0,0.00833922820117294,0,0
