,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X000568.SZ,X002236.SZ,X600271.SH,X002241.SZ,X000100.SZ,X600031.SH,X600118.SH,X600177.SH,X002292.SZ,X002007.SZ,X000338.SZ,X600372.SH,X002475.SZ,X002456.SZ,X000559.SZ,X600522.SH,X002506.SZ,X002074.SZ,X002180.SZ,X300003.SZ,X000157.SZ,X600867.SH,X002294.SZ,X002426.SZ,X300124.SZ,X600089.SH,X000981.SZ,X002508.SZ,X601877.SH,X002085.SZ,X000869.SZ,X600498.SH,X000050.SZ,X002465.SZ,X002179.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.376389075210859,0.0165021473342287,0.0136099487467095,0,0,0,0,0.125740182800117,0,0,0,0,0,0.129297062746147,0,0,0,0,0,0,0,0.0236455366897632,0,0,0,-0.134649252625127,0,-0.0119264483624661,0,0.109534194862722,0,0,0,0,0,0,0.220220072313007,0,0,-0.0537357353066293,0,0,0,0,0,0,0,0,0,0,0.00519685836908441,0,0,0,0,0,0
X600104.SH,0.104671294823012,0,0,0,0,0,0,0.234495578890558,0.0810073883822732,0,0.0855529027747426,0,0,0,0,0,0,0,0,0,0,-0.116779036385087,-0.0350508718018161,0.0140549135358092,0,0,0,0.0551733523426733,0,-0.0471120901701097,0,0.00843064682932917,0,0,0,0,0,0,0,0,0,0,0,0,0.134985158462509,0,0,0,0,0,0.00704369416709917,0.0126543455030601,0,0,0,0,0,0
X002415.SZ,0.0594115402458893,0,0,0,0,0,0,0,0.142936758134219,0,0,0,0,0.0577760293706637,0,0,0,0,0,0,0,0,0.144399144200601,0.0873364520505935,0.0687440911246183,0.0637933870320496,0,0,0,0,0.0348501871576189,0,0,0,0,0,0,0,0,0,0.0814604321200806,0,0.0580705115566701,0,0.042405848319244,-1.73472347597681e-18,0,0,0,0,0.027166902528058,0,0,0,0,0,0,0
X000858.SZ,0.0479227172539004,0,0,0,0.309692263578899,0,0,0,0.280387896762832,0,0,0,0,0.272761863497506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000322766466350008,0,0,0,0,0,0.00147091983152095,0,0,0,0,0,0.0477405050099159,0.128310068150153,0,0,0,0,0,0,0,0.0253946498548003,0,0,0,0,0,0
X002304.SZ,0,0,0,0.76473448396269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050486639910963,0,0,0,0,0.0163377023753813,0,0,0,0,0,0,0,0,0,0,0,0.0360402820576148,0,0,0,0,0,0,0,0,0.0101571341774419,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0337552739595301,0,0,0,0,0.17218518411096,0,0,0,0.097544656119783,0.0206217283405651,0.0490399964446758,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00217269622062244,0,0.0244518240827394,-0.0289771742664085,0,0,0,0,0.0130360527655574,0,0,-0.026807273029198,0,0,0,0,0,-0.0248400221064111,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0623102534278447,0,0,0.0580644007150355,0,0,0,0,0,0.135354023794147,0,0,0,0,0,0.118418690636882,0,0,2.16840434497101e-19,0,0,0,0,0.00306067437517421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164902776069033,0,0.0415574303195716,0,0,-0.0249245609488386,0.0274530827977315,0,0,0,0,0,0
X000625.SZ,0.065867389067708,0.169874983877006,0,0,0,0,0,0,0,0.0678273367871095,0.00792123582493223,0,0.0727729262943103,0,0.0714440258701989,0.10022565609194,0,0,0,0,0,0,0,0,0,-0.00385780548162989,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.0262978390892717,0,0,0,0,-0.152107361349979,0,-0.010420144604088,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0753297652057919,0,0,0,0,0,0,0.0100630955882758,0,0.0290499487303988,0,0,0,0,0,0,0,0,0,0.136066035909372,0,0,0,0,0,0.133781853232983,0,0,0,0,0,0,0,0,0,0,0,0.0202949240290767,0,0,0.12824221033852,0,0,0,0.0827962865933126,0,0,0,0.0352860598105791,0,0,0,0,0,0
X000063.SZ,0,0,0.048015556602961,0.0740411072049905,0,0,0,0,0,0,0,0,0,0,0,0,0.0760419191993849,0,0,0,0,0,0,0,0,0,0.0932045219407551,0,0.0241398070786862,0,0,0.0570606362953104,0,0,0,0,0,0,0,0.0828320622375227,0.0227358387391579,0.0257705133036624,0,0,0.136297541375874,0.0393347776392958,0,0,0,0,0.0015501984676747,0,0,0,0,0,0,0
