,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X300014.SZ,X002371.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X600703.SH,X000338.SZ,X000625.SZ,X002241.SZ,X002129.SZ,X000596.SZ,X000661.SZ,X002049.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002179.SZ,X600089.SH,X000799.SZ,X600741.SH,X600460.SH,X600702.SH,X002236.SZ,X000157.SZ,X600779.SH,X002074.SZ,X600584.SH,X601799.SH,X002414.SZ,X002007.SZ,X600884.SH,X000733.SZ,X600183.SH,X000800.SZ,X300003.SZ,X000977.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.431868441949544,0,0.00481236258606141,0,0.0386427605814288,0,0,0,0,0,0,0,0,0,0.00922162095291934,0.0111929118387272,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0408660708428221,0,0.0162506762695572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285187197868564,0,0,0,0,0,0,0,0.0552786581536446,0,0
X000858.SZ,0,0,0,0,0.0798451890334785,0.221975916654748,0,0,0,0,0,0.00301903217465687,0,0,0,0,0.0149691143714104,0,0,0,0,1.73472347597681e-18,0,0,0.0750864967274975,0,0,0,0,0,0,0,0,-0.0734890783924765,0.0845529481844803,0,0,0.274591466810523,0,0,0,0,0,0,-0.0134949154460144,0,0,0,0,0,0,-0.0259884993781256,0,0,0,0,0.0376809897059455,0,0
X002415.SZ,0,0.0117159117235943,0,0,0,0,0,0,0.153736503946511,0,0,0,0,0,0,0,0,0,0.0690530046151066,0,0,0,0.0588334965343745,0,-6.7762635780344e-21,0,0,0,0.0225663125469111,0,0,0,0,0,0,0,0,0.156127825947225,0,0,0.0836531851126421,0,0,0.122302391809225,0,0,0,0,0,0.0429326079776132,0,0.0175461616343237,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.00204509884303087,0.17901680448559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713269496998121,0,0,0,0,0.522851050462749,0,0,0.172696919218357,0,0,0,0,0,0,0,0,0,0.0579898350155642,0,0,0,0,0,0,0.00290807443009101,0,0,0,0,0,0,0
X600276.SH,0,0.0628341516299245,0,0,0,0,0.028773523270393,0,0,0,0,0,0,0.192234624159177,0,0,0.0417923209266544,0,0,0,0,0,0,0,0.171629532722567,-0.145823542065803,0,0,0,0,0,0.308686660238952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461731044738842,-0.080709123602194,0,0,0,0,0,0,0,0.121168316753782,0,0
X000568.SZ,0,0.544202497718015,0,0.0804054482106065,0,0,0,0,0,0,0,0,0,0,0,0,0.0310621396406975,0,0,0,0,0,0,0.0456365677873293,0,0,-0.0556880837182907,0,0,0,0,0.0605504237088951,0,0,0,0,0,0.0586645737391161,0,0,0,0,0,-0.00684873804424058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.162787250781325,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12581031609887,0,0,0,0,0,0.179562403259463,0,-0.11039115121395,0,0,0,0,0,0.0696163641263031,0,-0.0388379742212051,0,0,0.0160971580877117,0.0734650773292131,0,0,0,0,0,-0.0142356304926713,0,0,0,0,0,0,0,-0.00785414245342551,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056060617730588,0.0866605157530936,0,0,0.0404669719564439,0,0,0.135838341415807,0,0,0,0.0670363736784551,-0.105930772383825,0,0,0,-0.241943704771099,0,0,0.0865978179020437,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0980396525878905,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0404519771898994,0,0.21693619698407,0,0,0,0,0,0,0.084231025690374,0.0169081542732077,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0939525125316194,0,0.0176647927079834,0,0,0,0,0,0,0.148718424261618,0,0,0,0,0.0462745655254566,0,0,0,0,0,0,0.0668950690229526,0.0293811626056417,0.00227194767965946,0,0,0,0,-0.0959685481373231,0,0
X000651.SZ,0,0.0918269628519636,0,0.048449931643308,0,0,0,0,0,0,0,0.0674405088721374,0,0,0,0,0,0,0,0,-0.0100299390034055,0,0,-0.0859927388026046,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106294696232278,0,0,0,0,0,0,0,0,0,0.0242379973367717,0,0,0,0,0,0
