,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X600703.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600839.SH,X600522.SH,X600741.SH,X600183.SH,X600066.SH,X002456.SZ,X601877.SH,X600460.SH,X002156.SZ,X000661.SZ,X002129.SZ,X000800.SZ,X600487.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00907922062706711,0,0.101951941422217,0,0,0,0,0.311865461869113,0,1.38777878078145e-17,0,0,0,0.0213878208153353,0,0,0,0,0,0,0,0,-0.141247783640787,-0.0156682637774025,0,0,-0.117239471536724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355815496796759,0,0,-0.080920134572292,0,0
X600104.SH,0,0,0,0,0,0,0.213034633003362,0,0,0.252917458050018,0,0,0,0,0,0,0.0301726209747382,0,0,0,0,0,0,0,0,0,-0.126332664867212,0,0,0,0,0,0,0,-0.0214146486766998,0,0,0.0929800260432306,0,0,0.043913031765448,0.0452739829073126,0,-0.126716878743483,0,0,0,0,0,0,0,0,0,0,0,0,0.0363680773378474,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093223714397693,0,0,0,0,0,0,0.00812019654838072,0.424046164214741,0,0,0.00408625008483981,0,0,0,0,0.0175841470580477,0,-0.0170870076033648,0,0,0,0.0963556193603078,0.106360352161292,0,0,0,0,0,0,0.021685462525297,-0.0479214785012167,0,0.00582820457199743,0,0,0,0,0,0,0,0,0,0.0207782795570009,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512376140823513,0,0,0.251767539921512,-0.00669757158945685,-0.091799673934289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250113786392325,0,0,0,0,0,0,0.0228481887027519,0.00136079665180385,0,-0.130098852932019,0,0,0,0,-0.0836578347676472,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.125113245312623,0,0.134245114032458,0,0,0,0,0,0,0,0,0,0,0,0.0919181940630119,0,0.209292463078482,0,0,0,0.127408464556486,0,-0.0110535234970783,0.377577085120459,0,0,0,0,0,0,0,0,-0.124865406657756,0,0,0,0,0,0,0,0.0577392088933919,0.0304133870678697,0,0,0,0,0,0
X600031.SH,0,0,0,0.0760219278583478,0,0.0308022638831807,0,0.333420925835779,0,0.117065612944386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497088237527388,0,0,0,0,0,0.186421068079478,0.000912205859926398,0,0,0.0155937377243057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314837505964346,0,0,0,-0.0204954320504695,0,0
X000625.SZ,0,0.284041450245967,0,0,0,0,0,0,0,0,0,0.0386138747485431,0,0,0,0,0,0,0,0.102662239624208,0,0,0,0,0,0,0,0,0.0656498032528428,0,0,0,0.169448721233152,0,0,0,0,0,0,0,0,0.0931975971498259,0,-1.0842021724855e-19,0,0,0,0,0,0.0408841309863415,0,0,0,0,0,0,0.0149700550897703,0,0
X002304.SZ,0,0.534616304780165,0,0,0,0,0,0,0,0.0843245626119444,0,0.114589614006463,0,0.0844303537669312,0,0,0,0,0,0,0,0,0,-0.122295372337179,0.0033839834624363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167130073541547,0,0,0,0,0,0,0,0,-0.0914114128857492,0,0,0,0,0,0,0
X000338.SZ,0,0.180756607638573,0,0,0,0,0,0,0,0.15360467979985,0.139372880266414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256735726353006,0.241344841631663,0,0,0,0,0,0.0109950690652001,0,0.0795583735063831,0,0,0,0,0.0656886346345441,0,0,0,0,0,0,0,0,-0.0354961757403492,0,-0.0173657966341176,0,0
X300014.SZ,0,0,0.375664736976416,0,0.00748612960264656,0,0,0,0.0456009071934953,0,0.0972062425955674,0,0,0.200908010024492,0,0,0,0,0,0,0,0.0562841849850291,0.0847538895412265,0,0,0,0.12406855902636,0.191134436796155,0.165761276103176,0,0,0,0,0,0,0,-0.0211130013099274,0.116907714441623,0,0,0,0,0,0,0,0,0.299545232833964,0,0,0.0338565575156445,0,0.0246949199438773,0.12414468650249,0,0,0,-0.0461164744733549,0,0
