,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X000568.SZ,X600271.SH,X000100.SZ,X600118.SH,X002241.SZ,X600031.SH,X002236.SZ,X002292.SZ,X600372.SH,X600177.SH,X000559.SZ,X002074.SZ,X002506.SZ,X002475.SZ,X000157.SZ,X000338.SZ,X300003.SZ,X300124.SZ,X002007.SZ,X002456.SZ,X002508.SZ,X000869.SZ,X002294.SZ,X000050.SZ,X002085.SZ,X600867.SH,X002180.SZ,X600089.SH,X002426.SZ,X002249.SZ,X601877.SH,X600435.SH,X600498.SH,X002465.SZ,X000981.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.306955430886713,0,0,0,0,0,0,0.144960406819335,0,0,0,0,0,0,0,0,-0.190728653843459,0,0.218861032316457,0,0,0,0,0.093034610573519,0,0,0,0,0,0.290354842922849,0.101942052817781,-0.179775485705013,-0.0801684028698671,0,0,0,0.0206749783550598,0,0.0667566668315891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0.0224751455744985,0,0,0.0560040072228651,0,0,0,0.0778612456439361,0.0463372610911806,0,0,0.132736118963267,0,0,0.030848967407105,0,0,0,0,0,0,0,0,0,0,-0.00641678572384153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338001215776195,0,0,0,0,0,0,0,0,0,0,-0.00257714260260529,0.0736659821068547,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553072998587267,0,0,0.0577428958810502,0,0.0584925288663158,0,0,0.0716233705172943,0,0.0777850776292066,0,0,0,0.0644215090515737,0.128025674780971,0.0910857874904028,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.010770397212587,0,0,0.00259898695367941,0.0243172877937762,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.297540502476708,0,0,0,0.0633016530285348,0,0,0,0,0,0,0,0,0,0,0,0.0472230940738056,0.0165312532477475,0,0,0,0.0619356886349303,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00713232833389341,0,0.0990732631621814,0,0,-8.67361737988404e-19,0.00853154104021951,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.733561553968027,0,0,0,0,0,0,0,0,0,0,-0.031262569284133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148011808739718,0,0,-0.000801889034161756,0,0,0,-0.0389315493754153,0.0222107856763383,0,-0.0582506796676387,0,0,0,0,0,0,0,0,0,0,0.0482657632208685,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.139128893216755,0,0,0,0.0117451479908288,0,0.0590184162853863,0,0,0,0,0,0,0.140074388750678,0,0,0.05365869262396,0,0,0,0,0,0,0,0.0456430591007349,0,0,0,-0.0208402749716228,-0.177166975258935,0,-0.0662345821464682,0,0,0,0,0,0,0,0,0,0,-0.013987929149179,0,0.0176248362507069,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.00590991992127073,0,0,0.0487381606066095,0,0,0,-4.33680868994202e-19,0.311385843810466,0,0,0,0,0.0316226544453346,0,0,0.16233176065968,0,0,0,0,0.0470673953609798,0,0,0.0114884377041552,0.0537552135348458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464560302870662,0,0,0,-0.0396230914461754,0.0403643564809127,0,0,0,0,0,0
X000625.SZ,0,0.350328682342908,0,0.0657142193510477,0,0,0,0,0.102668515269888,0,0,0.326182996451272,0,0,0,0,0,0.100389337443927,0,0,8.67361737988404e-19,-0.165345687481332,0,-0.100048784676225,0,0.0706744080627082,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.0500489716865707,0,0,0,0,0,0,-0.0175389674905433,0.139589393061832,0,0,0,0,0,0
X600690.SH,0,0,0.141607534797307,0.149720059851975,0,0,0,0,0,0,0,0,0,-0.106566607529314,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.147134888572102,0,-0.0173428855628129,0,0,0,0,0,0.0388935919436072,0,0.0425205251038732,0,0,0.0530061684783551,0,0,0.00978266378314731,0,0,0,0,0,0,0,0,0.0643127019959373,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.108582005507362,0,0,0,0,0,0,0,0,0.152823017813925,0,0.100818856761556,0,0,0,0.0909267692212627,0.00831654498330415,0,0,0,0,0,0,0.0378673403864404,0,0,0,0,0.0309178121069816,0,0,0,0,0,0,0,0.102456762807472,0,0,0.0356422524445968,0,0,0,0,0,0,0,0,0,0
