,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X002415.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X002475.SZ,X600690.SH,X600031.SH,X000338.SZ,X600741.SH,X000596.SZ,X600703.SH,X601877.SH,X000661.SZ,X002236.SZ,X600809.SH,X000100.SZ,X600271.SH,X300003.SZ,X300124.SZ,X000625.SZ,X300142.SZ,X600487.SH,X002008.SZ,X002007.SZ,X000157.SZ,X000977.SZ,X002506.SZ,X002241.SZ,X600498.SH,X600776.SH,X002179.SZ,X002456.SZ,X600177.SH,X600066.SH,X300146.SZ,X600522.SH,X600867.SH,X000050.SZ,X002371.SZ,X600566.SH,X600183.SH,X600089.SH,X002129.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.24199431571907,0,0,0,0.0630335119321529,0,0,0,0,0,0,0,0,0,0.0688870427524139,0,0,0,0,0.0526610222503343,0,0,0,0,0,0,0,0,0,0,-0.0377388183534135,0,0,0,0.00239965039997613,0,0,0,0.0607087332644494,4.33680868994202e-19,0,-0.0149081209423898,0,-0.000232318353408531,0,0,0,0,-0.0211101447811421,0,0.0154695009451678,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.386128958158806,0,0.17108524482335,0,0,0,0,0,0,0.256608570197192,0,0,0,0,0,0,0,0,0,0,0,0,0.093939460724998,0,0,0,0,0,0,0.0653668703442393,0,0,0,0,0,0,0,0,0,0,0,0.065624197872825,0,0,0,-0.00831132479308412,0,0
X000651.SZ,0,0,0,0.207883092296573,0,0,0,0,0,0,0,0.115460426099726,0.258090317855182,0,0,0,0,0,0.0599589591628976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243128351167902,0,0,0,0,0,0,0,-0.0143444805991952,0,0,0,0,0,0,0,-0.0371747825678606,0,0,0,0,-0.0132769998778948,0,0
X600104.SH,0,0,0.0597187781955856,0,0,0,0,0,0,0,0,0,0,0.119877168885317,0.122398641444947,0,0,0,0,0,0,0,0,0,0,0.170631376364377,0,0,0,0,0,0.0524231718134233,0,0.075625479053965,0,0,0,0.0139821978931845,0,0.0439337017568964,0,0,0,0,0,0,0,0,0,0,0,0,-0.00245969448574463,0,0,0,0.027678831323785,0,0
X002415.SZ,0,0,0.0590053134489044,0,0,0,0,0.0697744732775751,0,0,0.0107039115130891,0,0.0195740568873735,0,0.091565702397737,0,0,0,0,0.317899498765024,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.00977089519653059,0,0.0347857451383174,0,0,0,0.00899586139202163,0,0.0195760334448219,0,0,-0.0320162980333006,0.00450408311411229,0,0,0,0,0,0
X600276.SH,0,-0.0341278567139908,0.155831423537705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103901844787624,0,0.117440957695774,0,0,0,0,0.258473060788792,0,0,0,0,0,0,0,0,-0.0694169823848939,0,0,0,0,0,0,0.0446416602581188,0,0.101475438890854,0,0,0,0,0,0,0,0,0,0.0128677858911208,0.0189558709956545,0,0,0,3.46944695195361e-18,0,0
X002304.SZ,0,0.191601686531047,0.0153712230445113,0,0,0,0,0,0,0,0.0940289060368543,0,0.0182951640672682,0,0,0.0953170556357103,0,0,0,0,0.272950761348691,0,0,0,0,0,0.00645467444973792,0,0,0,0,0.0158818583832474,0,0,0,0,0,0,0,0,0,0,0.0608927466440073,0,0,0,0,0,0,0,0,0.019202105491797,-0.00511035031461368,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.156034361005914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0111821431831806,0,0.0636224756676884,0,0.217323764800669,0,0,0,4.33680868994202e-19,0,0,0,0.0617910482579663,0.128286107792972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00102442697039707,-0.00757736144201169,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.227815068038669,0,0,0,0,0,0,0,0,0,0,0.162451746427609,0.0791493855551425,0,0,0,0,0,0,0,0,0,0,0,0,0.0188675270367647,0,0.103992992004263,0,0.0702701052984482,0,0,0,0.0627043221286254,0,0,0,0,0.196527569304245,0,0,-0.0286618612991768,0.00497100809369907,0,0,0,0.06354194199735,0,0
X000568.SZ,0,0.258962686047322,0,0,0,0,0.0312048427158301,0,0,0,0,0,0,0.202005738900395,0,0,0.0338722716082734,0,0,0,0.0278331424424855,0,0,0,0,0,0,0.0674113442075645,0,0,0,0,0,0,0,0.00968074769214473,0,0,0,0,0.170617171980643,0,0,0,0,0,0,0,0,0,0,-0.0241216685314043,-1.73472347597681e-18,0,0,0,0,0,0
