,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X600276.SH,X000651.SZ,X300124.SZ,X300014.SZ,X002371.SZ,X600031.SH,X002129.SZ,X000725.SZ,X002241.SZ,X003816.SZ,X000625.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X601877.SH,X300142.SZ,X600741.SH,X002074.SZ,X000661.SZ,X600460.SH,X600522.SH,X002180.SZ,X000733.SZ,X000100.SZ,X600702.SH,X600884.SH,X000157.SZ,X000799.SZ,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X600563.SH,X002414.SZ,X600372.SH,X600183.SH,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0591596999987331,0,0,0.0957286846726907,0,0.087374578906139,0.0304616156799948,0,0,0,0,0,0,0,0,0,0,0.000812253720143569,0,0.20391907719265,0,0.0576421416100557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354206582679659,0,0,0,-0.0197044989805162,0,0,0,0,0,0
X000858.SZ,0.174146498404749,0,0,0,0.390021572197834,0,0,0,0,0,0,0,0,0,0.0562787613315965,0,0,0,0,0,0.00956239753850829,0,0,0,0,0,0,0,0,0,0,0,-0.124174788163807,0,0,0,0.144522953020113,0.0773420778538205,0,0,0.168903753059389,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0152776477357677,-0.0478792941192827,0,0,0,0,0,0
X600809.SH,0,0.249072105186128,0,0.113749218861297,0.285698227661423,0,0,0,0,0,0,0,0.0449063212917477,0.0669147410149695,0,0,0,0,0,0,0.164651456394793,0,0,0,0,0.134581454295604,0,0,-0.0197002075142784,-0.0871657063641526,0,0,0,0.00741541589015471,0,0.129605161787313,0,0.107587817169277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278829725562312,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.124240527668459,0,0,0,0,0,0,0,0,0,0,0.18926861341014,0,-0.259231843247786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558593938698034,0,0,0,0.101821881175723,0.0648513007605122,0,0.016159033059419,0.67509433070513,0,0,0,0,0,0,0,0.059312809769411,0,-0.0523700559064077,0.115712044936473,0,0,0,0,0,0
X000568.SZ,0,0.388075033526504,0.301099972325585,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.296358698373479,-0.00803649110501749,0.0692579632254468,0,-0.10431272009963,0,0,0,0.0471000228429738,0,0,-0.0539528275454584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0896378260308623,0,0,0,0.00365814497546972,0.0594526793504172,0,0,0,0,0,0
X002475.SZ,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.103279449982328,0,0,0,0.376783353475394,0,0,0.074137897962456,0,0,0,0,0,0,0,0,0,0,0,0,0.0524109858173194,0.0101817374781196,0,0,0,0,0,0,0.152045853280318,0,0,0,0.00884429774971896,0,0,0,0,0,0,0.00405540200422388,0,0,0,0,0,0
X002304.SZ,0,0,0.0746370561186914,0.0109413354931521,0.0888180897962357,0,0,0,0,0,0,0.0957060912362813,0,0,0,0,0,0,0.363931955092771,0,0.11221668337066,0,0.0737072458702071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241566067412397,0,0,0,0,0,0,0,0,0,0,0,-0.0154843023298139,0,0,-0.0527032215485743,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.185074001193981,0,0,0,0,0,0.221006201212592,0,0,0,0.103241931509176,0,0,0,0.00820457235533889,-0.000559060863571872,0,0,0.133547528472693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108435162648333,0,0,0,0.0536305185045358,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106138153562442,0.12032414667843,0,0,0,0,0,0,0,0,0,0.187652690528293,0,0,0,0.00510556940225252,0.0474124064492914,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0813759141088188,0,0,0,0,0,0.0312697730598164,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0575456769919429,0,0.130932104600074,0,0,0,0,0,0,-0.0023268643711573,0,0,0,0,0.0604745694994514,0,0,0,0,0,0.0959593397553664,0,0,0,0,0,0,0,0,0,0,0,0.180156509102863,2.66065765937267e-05,0,0,0,0,0,0.249700567421827,0,0,0.251715572204016,0,-4.33680868994202e-19,0,-0.00419240241891373,0.0189347822211088,0.0091430834824456,0.293083050992798,0,0,0,0
